"time","PI.x","aimc.is[1]","aimc.is[2]","aimc.idq_rr[1]","aimc.idq_rr[2]","aimc.idq_sr[1]","aimc.idq_sr[2]","loadInertia.w","powerSensor.flange_a.phi"
2.2715000000000001,-7.4171740644284731e-06,3.8211624337952159,4.5238504710682177,-0.15998913764054229,0.18794320412072893,-6.1700593708319085,-5.5877569511648595,157.04190597809807,356.71997237698747
2.27155,-7.4441258900658578e-06,3.7039881449056766,4.6336228429585811,-0.15998984656572235,0.1879426004669166,-6.1700382901438866,-5.5877802286614351,157.04190597816449,356.72782447228633
2.2716000000000003,-7.4708710500798715e-06,3.5858999523652448,4.7422519377508161,-0.15999055548801314,0.18794199680968712,-6.1700172093686936,-5.5878035060777043,157.04190597823077,356.7356765675853
2.2716500000000002,-7.4974086059005495e-06,3.466926992671743,4.8497109528381035,-0.1599912644074174,0.18794139314903976,-6.1699961285063294,-5.5878267834136661,157.04190597829688,356.74352866288416
2.2717000000000001,-7.5237376189586451e-06,3.3470986206218702,4.9559733743172893,-0.15999197332393802,0.18794078948497397,-6.1699750475567878,-5.5878500606693189,157.04190597836279,356.75138075818296
2.2717499999999999,-7.5498571506846679e-06,3.2264444020708316,5.0610129835283635,-0.15999268223757776,0.18794018581748906,-6.1699539665200698,-5.5878733378446617,157.04190597842853,356.75923285348188
2.2718000000000003,-7.5757662625093601e-06,3.1049941066432636,5.1648038635179203,-0.15999339114833949,0.18793958214658438,-6.1699328853961717,-5.5878966149396936,157.04190597849413,356.76708494878079
2.2718500000000001,-7.6014640158627721e-06,2.9827777003822655,5.2673204054395084,-0.15999410005622605,0.18793897847225932,-6.1699118041850891,-5.5879198919544137,157.0419059785595,356.77493704407971
2.2719,-7.6269494721756489e-06,2.8598253383581111,5.3685373148696689,-0.15999480896124016,0.1879383747945132,-6.1698907228868212,-5.5879431688888204,157.04190597862473,356.78278913937856
2.2719499999999999,-7.6522216928784991e-06,2.7361673572245753,5.4684296180521361,-0.15999551786338476,0.18793777111334539,-6.1698696415013661,-5.5879664457429126,157.04190597868981,356.79064123467748
2.2720000000000002,-7.6772797394020574e-06,2.6118342677380788,5.5669726680558238,-0.15999622676266259,0.1879371674287553,-6.1698485600287194,-5.5879897225166903,157.04190597875467,356.79849332997645
2.2720500000000001,-7.7021226731763928e-06,2.4868567472306458,5.6641421508555796,-0.15999693565907649,0.18793656374074216,-6.1698274784688802,-5.588012999210151,157.04190597881933,356.80634542527531
2.2721,-7.7267495556322402e-06,2.361265632032671,5.7599140913377589,-0.1599976445526293,0.18793596004930546,-6.1698063968218442,-5.5880362758232929,157.04190597888385,356.81419752057423
2.2721499999999999,-7.7511594482001072e-06,2.2350919098733915,5.8542648592084383,-0.15999835344332383,0.18793535635444447,-6.1697853150876121,-5.5880595523561167,157.04190597894819,356.82204961587314
2.2722000000000002,-7.7753514123107235e-06,2.1083667122297776,5.9471711748281368,-0.1599990623311629,0.18793475265615858,-6.1697642332661786,-5.5880828288086208,157.04190597901231,356.82990171117211
2.2722500000000001,-7.7993245093941701e-06,1.9811213066499418,6.0386101149524594,-0.15999977121614936,0.18793414895444718,-6.1697431513575411,-5.5881061051808043,157.04190597907626,356.83775380647103
2.2723,-7.8230778008811748e-06,1.8533870890326973,6.1285591183918653,-0.16000048009828599,0.18793354524930955,-6.1697220693616988,-5.5881293814726671,157.04190597914001,356.84560590176994
2.2723500000000003,-7.8466103482024589e-06,1.7251955758839301,6.2169959915763835,-0.16000118897757565,0.18793294154074508,-6.169700987278647,-5.5881526576842049,157.04190597920359,356.85345799706892
2.2724000000000002,-7.8699212127881117e-06,1.5965783965431362,6.3038989140296575,-0.16000189785402114,0.18793233782875315,-6.1696799051083859,-5.5881759338154176,157.04190597926694,356.86131009236783
2.2724500000000001,-7.8930094560688596e-06,1.4675672853737849,6.3892464437566323,-0.16000260672762526,0.18793173411333311,-6.1696588228509119,-5.5881992098663078,157.04190597933012,356.86916218766675
2.2725,-7.9158741394752119e-06,1.3381940739361413,6.4730175225321371,-0.16000331559839087,0.18793113039448431,-6.1696377405062197,-5.5882224858368694,157.04190597939308,356.87701428296572
2.2725500000000003,-7.9385143244378832e-06,1.2084906831351185,6.5551914810953322,-0.16000402446632078,0.18793052667220608,-6.1696166580743119,-5.5882457617271042,157.04190597945586,356.88486637826469
2.2726000000000002,-7.9609290723869796e-06,1.078489115342494,6.6357480442510672,-0.16000473333141779,0.1879299229464978,-6.1695955755551815,-5.5882690375370112,157.04190597951845,356.8927184735636
2.2726500000000001,-7.9831174447532173e-06,0.94822144649793483,6.7146673358740392,-0.16000544219368476,0.18792931921735884,-6.1695744929488283,-5.5882923132665869,157.04190597958083,356.90057056886258
2.2726999999999999,-8.0050785029671075e-06,0.81771981820128747,6.791929883808776,-0.16000615105312449,0.18792871548478854,-6.1695534102552498,-5.5883155889158322,157.04190597964296,356.90842266416149
2.2727500000000003,-8.026811308459356e-06,0.68701642977371336,6.8675166246794852,-0.16000685990973981,0.18792811174878626,-6.1695323274744425,-5.5883388644847463,157.04190597970492,356.91627475946052
2.2728000000000002,-8.0483149226600845e-06,0.55614353032331287,6.9414089085872464,-0.1600075687635335,0.18792750800935135,-6.1695112446064044,-5.5883621399733272,157.04190597976668,356.92412685475949
2.27285,-8.0695884070000023e-06,0.42513341077965983,7.0135885037167229,-0.16000827761450848,0.18792690426648317,-6.1694901616511331,-5.5883854153815733,157.04190597982821,356.93197895005841
2.2728999999999999,-8.0906308229096188e-06,0.29401839592745826,7.0840376008340629,-0.16000898646266742,0.18792630052018108,-6.1694690786086248,-5.5884086907094854,157.04190597988955,356.93983104535738
2.2729500000000002,-8.1114412318196299e-06,0.16283083643462426,7.1527388176786832,-0.16000969530801329,0.18792569677044443,-6.1694479954788797,-5.5884319659570609,157.04190597995068,356.94768314065641
2.2730000000000001,-8.1320186951601807e-06,0.031603100870294831,7.2196752032523817,-0.16001040415054885,0.18792509301727262,-6.1694269122618923,-5.588455241124298,157.04190598001156,356.95553523595538
2.27305,-8.1523622743619671e-06,-0.099632432286406392,7.2848302420041779,-0.1600111129902769,0.18792448926066493,-6.1694058289576619,-5.5884785162111967,157.04190598007222,356.96338733125435
2.2730999999999999,-8.1724710308555001e-06,-0.23084338263145643,7.3481878579032518,-0.16001182182720031,0.18792388550062081,-6.1693847455661865,-5.588501791217757,157.0419059801327,356.97123942655332
2.2731500000000002,-8.192344026071469e-06,-0.36199737582723834,7.4097324184064153,-0.16001253066132187,0.18792328173713949,-6.169363662087461,-5.5885250661439754,157.04190598019295,356.97909152185235
2.2732000000000001,-8.2119803214400289e-06,-0.49306205158659822,7.4694487383134378,-0.16001323949264437,0.18792267797022041,-6.1693425785214853,-5.5885483409898526,157.04190598025298,356.98694361715133
2.27325,-8.2313789783918724e-06,-0.6240050716629808,7.5273220835164505,-0.16001394832117069,0.18792207419986295,-6.1693214948682567,-5.5885716157553871,157.04190598031278,356.9947957124503
2.2733000000000003,-8.2505390583576783e-06,-0.75479412782654265,7.5833381746338988,-0.16001465714690366,0.18792147042606641,-6.1693004111277698,-5.5885948904405769,157.04190598037235,357.00264780774933
2.2733500000000002,-8.2694596227676207e-06,-0.88539694983384187,7.6374831905332696,-0.16001536596984603,0.18792086664883018,-6.1692793273000257,-5.5886181650454221,157.04190598043169,357.01049990304836
2.2734000000000001,-8.2881397330523834e-06,-1.015781313391928,7.6897437717416084,-0.16001607479000068,0.18792026286815361,-6.1692582433850207,-5.5886414395699191,157.04190598049078,357.01835199834733
2.27345,-8.3065784506424726e-06,-1.1459150481101616,7.7401070237425875,-0.16001678360737043,0.18791965908403602,-6.1692371593827522,-5.5886647140140706,157.04190598054967,357.02620409364624
2.2735000000000003,-8.3247748369685653e-06,-1.2757660454415145,7.7885605201593959,-0.16001749242195806,0.18791905529647682,-6.1692160752932166,-5.5886879883778739,157.04190598060833,357.03405618894539
2.2735500000000002,-8.3427279534608493e-06,-1.4053022665888824,7.8350923058141371,-0.16001820123376645,0.18791845150547537,-6.1691949911164139,-5.5887112626613273,157.04190598066671,357.04190828424436
2.2736000000000001,-8.3604368615499982e-06,-1.5344917504308935,7.8796908996861914,-0.16001891004279839,0.18791784771103096,-6.1691739068523388,-5.5887345368644308,157.04190598072492,357.04976037954333
2.2736499999999999,-8.3779006226665249e-06,-1.6633026213965278,7.922345297740276,-0.16001961884905666,0.18791724391314302,-6.1691528225009904,-5.5887578109871807,157.04190598078284,357.05761247484236
2.2737000000000003,-8.3951182982410931e-06,-1.791703097329945,7.963044975641532,-0.16002032765254418,0.18791664011181086,-6.169131738062366,-5.5887810850295789,157.04190598084051,357.06546457014139
2.2737500000000002,-8.4120889497039055e-06,-1.9196614973350981,8.0017798913535927,-0.16002103645326371,0.18791603630703385,-6.169110653536463,-5.5888043589916228,157.04190598089798,357.07331666544042
2.2738,-8.4288116384856342e-06,-2.0471462495915418,8.0385404876156077,-0.16002174525121801,0.18791543249881137,-6.169089568923277,-5.5888276328733122,157.04190598095522,357.08116876073944
2.2738499999999999,-8.4452854260167871e-06,-2.1741258991443297,8.0733176943005507,-0.16002245404641005,0.18791482868714271,-6.1690684842228096,-5.5888509066746455,157.04190598101218,357.08902085603847
2.2739000000000003,-8.4615093737280191e-06,-2.3005691156659669,8.1061029306533321,-0.16002316283884252,0.1879142248720273,-6.1690473994350548,-5.5888741803956226,157.04190598106888,357.09687295133756
2.2739500000000001,-8.4774825430495536e-06,-2.426444701183037,8.1368881074070316,-0.1600238716285183,0.18791362105346449,-6.1690263145600106,-5.5888974540362399,157.04190598112535,357.10472504663659
