"time","loadInertia3.phi","loadInertia3.w","loadInertiaM.phi","loadInertiaM.w","smpm3.is[1]","smpm3.is[2]","smpm3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpm3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpm3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpm3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpmM.is[1]","smpmM.is[2]","smpmM.is[3]","smpmM.is[4]","smpmM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpmM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","vfController.x","vfController3.x"
0.34605000000000002,8.7367977605449987,47.505086226755644,8.7367977605449898,47.505086226755203,-136.11325160531908,36.256562593023332,-0.51293537329719108,0.079011123487552168,0.029234749398207516,0.53200125536248466,-81.667950963185206,-46.190205187161183,53.12083421018697,79.020686239805542,-0.51293537329719141,0.079011123487553916,0.029234749398213043,0.53200125536248288,18.810380653858235,18.810380653858235
0.34610000000000002,8.7391725541089613,47.486667688554881,8.7391725541089524,47.486667688554434,-135.48754630527239,35.609788969815895,-0.51293851119499567,0.079109881529640755,0.026585556653217716,0.53203507582547194,-81.292527783157311,-46.294217341257109,52.68112798368454,78.852945000858043,-0.51293851119499601,0.07910988152964249,0.02658555665322325,0.53203507582547027,18.815816787246192,18.815816787246192
0.34615000000000001,8.7415464283072879,47.468311604532516,8.741546428307279,47.468311604532076,-134.8605030886589,34.967428027298041,-0.51294135862296875,0.079207618159449378,0.023936501357848194,0.53205503711191349,-80.916301853189296,-46.394633082724631,52.242841712484051,78.682484929921188,-0.51294135862296908,0.079207618159451099,0.023936501357853749,0.53205503711191182,18.821253706032309,18.821253706032309
0.34620000000000001,8.7439193862656932,47.450018089358252,8.7439193862656843,47.450018089357805,-134.23217110439879,34.329510099687504,-0.51294391552848129,0.07930433365263688,0.021287657623969895,0.5320611400653753,-80.539302662633233,-46.49145772910552,51.806001599515568,78.509327538838932,-0.51294391552848162,0.079304333652638587,0.021287657623975456,0.53206114006537364,18.82669141021659,18.82669141021659
0.34625,8.7462914311156261,47.431787256972584,8.7462914311156172,47.431787256972143,-133.60259954621898,33.696065190368643,-0.51294618185261864,0.079400028292896205,0.018639099564568336,0.53205338593623641,-80.16155972772502,-46.584696839001225,51.370633725612279,78.333494505051249,-0.51294618185261898,0.079400028292897926,0.018639099564573904,0.53205338593623464,18.832129899799035,18.832129899799035
0.3463,8.7486625659942341,47.413619220586121,8.7486625659942252,47.413619220585673,-132.97183764967411,33.067122969385096,-0.5129481575301934,0.079494702371945128,0.015990901291634354,0.5320317763821405,-79.783102589798332,-46.674356212189252,50.936764047644772,78.155007670568068,-0.51294815753019363,0.079494702371946779,0.015990901291639936,0.53203177638213883,18.837569174779645,18.837569174779645
0.34634999999999999,8.7510327940443311,47.395514092678781,8.7510327940443222,47.39551409267834,-132.339934689177,32.442712770935564,-0.51294984248975806,0.079588356189516665,0.013343136914054799,0.53199631346844667,-79.403960813500007,-46.760441889747725,50.504418396671213,77.973889040936029,-0.51294984248975839,0.079588356189518331,0.013343136914060404,0.531996313468445,18.843009235158419,18.843009235158419
0.34640000000000004,8.7534021184143693,47.377471984999062,8.7534021184143604,47.377471984998621,-131.70693997502826,31.822863590868764,-0.5129512366536173,0.07968099005335022,0.010695880535500321,0.53194699966868009,-79.024163985011072,-46.842960154173525,50.073622476073893,77.790160784218486,-0.51295123665361753,0.07968099005335183,0.010695880535505936,0.53194699966867842,18.848450080935358,18.848450080935358
0.34645000000000004,8.7557705422583751,47.359493008563319,8.7557705422583663,47.359493008562886,-131.07290285040025,31.207604084157531,-0.51295233993784062,0.079772604279181411,0.0080492062523277921,0.53188383786498261,-78.643741710234082,-46.921917529496028,49.644401859685217,77.603845229940703,-0.51295233993784095,0.079772604279183049,0.0080492062523334195,0.53188383786498095,18.853891712110457,18.853891712110457
0.34650000000000003,8.7581380687359509,47.341577273655005,8.758138068735942,47.341577273654565,-130.4378726884008,30.596962562404247,-0.51295315225227611,0.079863199190733744,0.0054031881514534155,0.53180683134856377,-78.262723613034225,-46.997320781407772,49.21678198994239,77.414964868085889,-0.51295315225227633,0.079863199190735354,0.0054031881514590586,0.5318068313485621,18.85933412868372,18.85933412868372
0.34655000000000002,8.7605047010122217,47.323724889823843,8.7605047010122128,47.32372488982341,-129.80189888908004,29.990966991318107,-0.51295367350056142,0.079952775119708483,0.0027579003082551837,0.53171598382015184,-77.881139333441979,-47.069176917384361,48.790788176015681,77.22354234805924,-0.51295367350056165,0.079952775119710079,0.0027579003082608372,0.53171598382015028,18.864777330655144,18.864777330655144
0.34660000000000002,8.7628704422577997,47.305935965885219,8.7628704422577908,47.305935965884785,-129.16503087644315,29.389644988200128,-0.5129539035801377,0.080041332405775698,0.00011341678446063488,0.53161129939044383,-77.499018525859896,-47.137493186807674,48.366445591945819,77.029600477652707,-0.51295390358013793,0.08004133240577728,0.0001134167844663,0.53161129939044227,18.870221318024733,18.870221318024733
0.34665000000000001,8.7652352956487452,47.288210609919325,8.7652352956487363,47.288210609918892,-128.52731809546151,28.79302381941892,-0.51295384238226138,0.080128871396564758,-0.002530188373962434,0.53149278258055699,-77.116390857271298,-47.202277081085569,47.943779274769007,76.833162222016242,-0.5129538423822616,0.080128871396566326,-0.0025301883739567558,0.53149278258055543,18.875666090792482,18.875666090792482
0.34670000000000001,8.7675992643663196,47.270548929382315,8.7675992643663108,47.270548929381881,-127.8888099786936,28.201130549808351,-0.51295348979390754,0.080215392447263306,-0.0051728411532572143,0.53136043823623991,-76.733285987210451,-47.263536218030097,47.522814175955133,76.634250619816299,-0.51295348979390776,0.080215392447264861,-0.0051728411532515244,0.53136043823623835,18.881111648958402,18.881111648958402
0.34675,8.7699623515813965,47.252951038610675,8.7699623515813876,47.252951038610242,-127.24955390208301,27.614002230991773,-0.5129528458245598,0.080300895894326887,-0.0078144685361080483,0.53121426574266228,-76.349732341243637,-47.321270576163542,47.103578734344765,76.432883225744774,-0.51295284582456002,0.080300895894328428,-0.0078144685361023428,0.53121426574266062,18.88655799252248,18.88655799252248
0.3468,8.7723245604987969,47.235417037384657,8.7723245604987881,47.235417037384231,-126.60960101447462,27.031656792631154,-0.51295191024412434,0.080385382130532396,-0.01045499575577283,0.53105427554964812,-75.965760608679446,-47.375494676220114,46.686094664933933,76.229087981145639,-0.51295191024412456,0.080385382130533908,-0.010454995755767114,0.53105427554964646,18.892005121484726,18.892005121484726
0.34684999999999999,8.7746858943156596,47.217947031026824,8.7746858943156507,47.217947031026398,-125.96900076396606,26.454120330864086,-0.51295068292246415,0.080468851534586397,-0.01309434887482421,0.53088047367772329,-75.581400458374034,-47.42621678229969,46.270386529091219,76.022888329874036,-0.51295068292246437,0.080468851534587882,-0.013094348874818475,0.53088047367772162,18.897453035845132,18.897453035845132
0.34690000000000004,8.7770463562343721,47.200541124131803,8.777046356234365,47.200541124131377,-125.32780260180456,25.881418593340719,-0.51294916372350785,0.080551304493069353,-0.015732453983564855,0.5306928665515438,-75.196681561079444,-47.473445389742061,45.856478747156189,75.8143078598725,-0.51294916372350807,0.080551304493070824,-0.01573245398355911,0.53069286655154224,18.902901735603706,18.902901735603706
0.34695000000000004,8.7794059494625518,47.183199420566055,8.7794059494625429,47.183199420565622,-124.68605597940052,25.313576977105235,-0.51294735250526802,0.080632741400424979,-0.018369237202160726,0.53049146100013178,-74.811633587634645,-47.51718922498727,45.444395596731468,75.603370301964006,-0.51294735250526824,0.08063274140042645,-0.018369237202154953,0.53049146100013023,18.908351220760437,18.908351220760437
0.34700000000000003,8.781764677212994,47.165922023467218,8.7817646772129851,47.165922023466791,-124.04381034520244,24.750620526409254,-0.51294524911985784,0.080713162658950358,-0.021004624682803587,0.53027626425711083,-74.426286207116235,-47.557457245415073,45.034161210928204,75.390099528612154,-0.51294524911985806,0.080713162658951801,-0.021004624682797804,0.53027626425710928,18.913801491315333,18.913801491315333
0.34705000000000003,8.7841225427036456,47.148709035243733,8.7841225427036385,47.1487090352433,-123.40111514169574,24.192573930581457,-0.51294285341350887,0.08079256867878537,-0.023638542611844289,0.53004728396094258,-74.040669085014429,-47.594258639196433,44.625799576636908,75.174519552699394,-0.51294285341350909,0.080792568678786786,-0.023638542611838488,0.53004728396094103,18.919252547268393,18.919252547268393
0.34710000000000002,8.7864795491575673,47.131560557574353,8.7864795491575585,47.131560557573934,-122.75801980234338,23.639461521864661,-0.51294016522658881,0.080870959877902424,-0.026270917211940647,0.52980452815516454,-73.654811881400747,-47.627602825138148,44.219334532783421,74.95665452630162,-0.51294016522658903,0.080870959877903825,-0.026270917211934822,0.5298045281551631,18.924704388619617,18.924704388619617
0.34715000000000001,8.78883569980289,47.114476691407681,8.7888356998028812,47.114476691407262,-122.11457374851747,23.091307273256696,-0.51293718439361824,0.080948336682096125,-0.028901674744202386,0.52954800528862367,-73.268744249105211,-47.657499452542353,43.814789768603156,74.736528739471538,-0.51293718439361835,0.080948336682097499,-0.028901674744196554,0.52954800528862223,18.930157015369002,18.930157015369002
0.34720000000000001,8.7911909978727962,47.097457536961677,8.7911909978727873,47.097457536961258,-121.47082638649169,22.548134796361218,-0.51293391074328798,0.081024699524972946,-0.031530741510336163,0.52927772421571539,-72.882495831889557,-47.683958401058071,43.412188821899257,74.514166619020017,-0.51293391074328809,0.081024699524974306,-0.031530741510330307,0.52927772421571395,18.935610427516551,18.935610427516551
