"time","aimc3.is[1]","aimc3.is[2]","aimc3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimcM.is[1]","aimcM.is[2]","aimcM.is[3]","aimcM.is[4]","aimcM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimcM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","loadInertia3.phi","loadInertia3.w","loadInertiaM.phi","loadInertiaM.w"
0.90920000000000001,97.067919734830156,40.536508410939348,-0.09920759947985297,-0.40338032769499949,-0.42619094196600221,0.1026773147996328,58.240751840874815,76.686918600216913,-10.845629653474004,-83.389886355462963,-0.099207599469922983,-0.40338032769744153,-0.42619094196600349,0.10267731479962783,83.94195655515189,150.84400704536114,83.941956555139583,150.84400704536105
0.90925,95.440451156951994,42.659663185085591,-0.098956047397301239,-0.40344211141388248,-0.42775114874845099,0.095970331299025421,57.264270694147811,77.247961262872735,-9.5224050720877038,-83.13313125207209,-0.098956047387369711,-0.40344211141631831,-0.42775114874845221,0.095970331299020495,83.949498755504038,150.84400704031862,83.949498755491732,150.84400704031853
0.9093,93.789434618597483,44.772291889299375,-0.09870445683745914,-0.40350373826226249,-0.42920581468288493,0.089239668676847586,56.273660771162483,77.789944138870297,-8.1968313103911594,-82.855864488724293,-0.098704456827526113,-0.4035037382646921,-0.42920581468288627,0.089239668676842715,83.957040955855931,150.84400703528641,83.957040955843624,150.84400703528632
0.90934999999999999,92.115277555804965,46.873873204138761,-0.098452827898152351,-0.40356520821617714,-0.43055458089837861,0.082486987640807544,55.269166533486121,78.312733499866596,-6.869235478662806,-82.558154502390906,-0.098452827888217784,-0.40356520821860059,-0.43055458089837995,0.082486987640802714,83.964583156207567,150.84400703026446,83.96458315619526,150.84400703026438
0.9094000000000001,90.418391170459984,48.963890073456575,-0.098201160677221316,-0.40362652125172527,-0.43179711341514881,0.075713953915284737,54.251034702253925,78.816200365533973,-5.5399440122598334,-82.240074060888404,-0.098201160667285223,-0.4036265212541425,-0.43179711341515026,0.075713953915279936,83.972125356558976,150.84400702525289,83.97212535654667,150.84400702525281
0.90945000000000009,88.699195456871536,51.041825790674835,-0.097949455272522593,-0.40368767734506628,-0.43293310649316658,0.068922238916926434,53.219517274125757,79.300220512771944,-4.2092856818770716,-81.901702132516789,-0.097949455262584986,-0.40368767734747729,-0.43293310649316802,0.068922238916921674,83.979667556910101,150.84400702025161,83.979667556897795,150.84400702025152
0.90950000000000009,86.958115046215397,53.107167327651318,-0.097697711781926072,-0.40374867647242091,-0.43396228012682359,0.062113518477615197,52.174869027708191,79.764674529673357,-2.8775890668234307,-81.543122378632191,-0.097697711771986967,-0.40374867647482576,-0.43396228012682508,0.062113518477610499,83.987209757260999,150.8440070152607,83.987209757248692,150.84400701526062
0.90955000000000008,85.195579812858739,55.159404879000988,-0.097445930303316955,-0.40380951861007114,-0.43488438056688339,0.055289472597885872,51.117347887694123,80.209447827316126,-1.5451829115778706,-81.164423385513587,-0.097445930293376337,-0.40380951861246978,-0.43488438056688489,0.05528947259788123,83.994751957611626,150.84400701028022,83.99475195759932,150.84400701028014
0.90960000000000008,83.412022483934919,57.198033653991182,-0.097194110934595498,-0.40387020373435956,-0.43569917892814375,0.048451784646935094,50.047213490362168,80.634430589809654,-0.21239472237231491,-80.765697747255913,-0.097194110924653382,-0.40387020373675198,-0.4356991789281453,0.048451784646930493,84.002294157962027,150.84400700531006,84.00229415794972,150.84400700530998
0.90965000000000007,81.607884517267109,59.222549646421193,-0.096942253773676379,-0.40393073182168998,-0.43640647505774544,0.041602141949356866,48.96473071036155,81.039518013351127,1.1204458537924289,-80.34704439314315,-0.09694225376373275,-0.40393073182407618,-0.43640647505774699,0.0416021419493523,84.009836358312157,150.84400700035036,84.00983635829985,150.84400700035027
