"Time","smee.stator.stray.port_p.Phi.re","constantSpeedQS.phi","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.stator.stray.port_p.Phi.im","smeeQS.short.port_p.reference.gamma","smee.excitation.electroMagneticConverter.Phi.re","constantSpeed.phi"
14.9104,0.080499969,2339.7734,-0.44265294,-0.080578201,0.013180619,4.6936231,0.34615189,2338.988
14.9105,0.080046408,2339.7891,-0.43990374,-0.094442554,0.015701847,4.693644,0.34615183,2339.0037
14.9106,0.079513907,2339.8047,-0.4367204,-0.10821372,0.018207589,4.693665,0.34615174,2339.0193
14.9107,0.078902982,2339.8206,-0.43310606,-0.12187812,0.020695375,4.693686,0.34615168,2339.0352
14.9108,0.078214243,2339.8362,-0.42906433,-0.13542224,0.023162752,4.693707,0.34615159,2339.0508
14.9109,0.077448368,2339.8518,-0.42459914,-0.14883274,0.025607286,4.693728,0.34615153,2339.0664
14.911,0.07660611,2339.8674,-0.4197149,-0.16209637,0.028026566,4.693749,0.34615144,2339.082
14.9111,0.075688295,2339.8833,-0.41441649,-0.17520005,0.030418206,4.6937699,0.34615138,2339.0979
14.9112,0.07469584,2339.8989,-0.40870905,-0.18813084,0.03277985,4.6937909,0.34615129,2339.1135
14.9113,0.073629722,2339.9146,-0.40259826,-0.20087598,0.035109162,4.6938119,0.3461512,2339.1292
14.9114,0.072490983,2339.9304,-0.39609018,-0.21342289,0.037403852,4.6938329,0.34615114,2339.145
14.9115,0.071280755,2339.946,-0.38919118,-0.22575921,0.039661653,4.6938534,0.34615105,2339.1606
14.9116,0.070000224,2339.9617,-0.38190809,-0.23787273,0.041880339,4.6938744,0.34615096,2339.1763
14.9117,0.068650655,2339.9773,-0.37424809,-0.24975152,0.044057723,4.6938953,0.3461509,2339.1919
14.9118,0.067233391,2339.9932,-0.36621875,-0.26138386,0.046191655,4.6939163,0.34615082,2339.2078
14.9119,0.065749809,2340.0088,-0.35782796,-0.27275825,0.048280034,4.6939373,0.34615076,2339.2234
14.912,0.064201385,2340.0244,-0.34908408,-0.28386346,0.050320797,4.6939583,0.34615067,2339.239
