"time","aimc.idq_rr[1]","aimc.idq_rr[2]","aimc.idq_sr[1]","aimc.idq_sr[2]","aimc.is[1]","aimc.is[2]","inductor.inductor[1].i","inductor.inductor[3].i","loadInertia.phi","loadInertia.w"
2.4107000000000003,28.784822640025549,126.3309303314627,-73.677146598862961,-120.76871109950521,-33.402072007155823,135.75261651770282,68.94829453395424,-238.10376181641459,206.16739360580451,150.83833198367344
2.4107500000000002,28.705970420799733,126.34887027854182,-73.60175718024071,-120.81467081932362,-35.557218441982045,136.36113605948594,65.24650869919283,-237.16564566314815,206.17493552240566,150.83833206318769
2.4108000000000001,28.627107020601713,126.36676100620512,-73.526339092077023,-120.8605834752409,-37.703591652357517,136.93601054634487,61.528624316918886,-236.16901251090059,206.1824774390108,150.8383321425888
2.4108499999999999,28.548232470166298,126.38460250747572,-73.450892363765419,-120.90644904936391,-39.840662053119033,137.47709813695087,57.79555874205635,-235.11410833032397,206.19001935561988,150.83833222187658
2.4109000000000003,28.469346800231357,126.40239477539596,-73.375417024709222,-120.95226752381816,-41.967902354475996,137.98426532639462,54.048232974764936,-234.00119317550303,206.19756127223303,150.83833230105097
2.4109500000000001,28.390450041541001,126.42013780302688,-73.299913104324759,-120.99803888074629,-44.084787691977127,138.45738697909448,50.287571660695889,-232.83054179116942,206.20510318885002,150.83833238011178
2.411,28.311542224841105,126.4378315834491,-73.22438063203704,-121.04376310231036,-46.190795756209809,138.89634635971862,46.514502714506449,-231.60244311212264,206.21264510547098,150.83833245905885
2.4110499999999999,28.232623380882128,126.45547610976226,-73.148819637282429,-121.08944017069048,-48.285406921522977,139.30103516195189,42.729957014498119,-230.31719991674049,206.2201870220959,150.83833253789206
2.4111000000000002,28.153693540417734,126.4730713750854,-73.073230149507197,-121.13507006808547,-50.368104374299804,139.67135353523329,38.934868376338237,-228.97512944578295,206.22772893872479,150.83833261661118
2.4111500000000001,28.074752734207589,126.4906173725561,-72.997612198170529,-121.18065277671127,-52.438374240425134,140.00721010938358,35.130173203668825,-227.57656292308087,206.23527085535758,150.83833269521611
2.4112,27.995800993013162,126.50811409533173,-72.921965812740197,-121.22618827880338,-54.49570571214123,140.30852201716101,31.316810212693053,-226.12184528243048,206.24281277199429,150.83833277370667
2.4112500000000003,27.916838347599789,126.52556153658877,-72.846291022694629,-121.27167655661574,-56.539591174056554,140.5752149147018,27.495720294704896,-224.61133546293559,206.25035468863499,150.83833285208271
2.4113000000000002,27.837864828738759,126.54295968952242,-72.770587857525001,-121.31711759241939,-58.569526328338171,140.80722299985689,23.667846271237313,-223.04540627289276,206.25789660527954,150.83833293034414
2.4113500000000001,27.758880467202864,126.56030854734757,-72.694856346730816,-121.36251136850505,-60.585010319226342,141.00448902843922,19.834132599916369,-221.42444401776024,206.26543852192799,150.83833300849071
2.4114,27.679885293769331,126.57760810329822,-72.619096519822804,-121.40785786718148,-62.585545856572153,141.16696432834144,15.995525174985955,-219.74884856465667,206.27298043858036,150.83833308652228
2.4114500000000003,27.600879339218615,126.59485835062767,-72.543308406321771,-121.45315707077616,-64.570639338537816,141.29460881154506,12.152971138214767,-218.01903346977591,206.28052235523668,150.83833316443875
2.4115000000000002,27.521862634337186,126.61205928260806,-72.467492035761254,-121.49840896163393,-66.539800973347369,141.38739098401032,8.3074185819290456,-216.23542553647758,206.28806427189684,150.83833324223991
2.4115500000000001,27.442835209913575,126.62921089253111,-72.39164743768373,-121.5436135221192,-68.492544900210945,141.44528795345133,4.4598163155013006,-214.39846469543227,206.29560618856087,150.83833331992562
2.4116,27.363797096740349,126.64631317370768,-72.315774641642534,-121.58877073461446,-70.428389309158248,141.4682854349808,0.61111369530072179,-212.5086043251377,206.30314810522876,150.83833339749569
