"Time","rootMeanSquareVoltage.mean.y","rectifier.thyristor_p.off","pulse2.twoPulse.timerPositive[1].entryTime","inductor.i","meanCurrent.x","meanVoltage.y","rootMeanSquareVoltage.mean.x","meanVoltage.x","pulse2.twoPulse.timerNegative[1].entryTime","meanCurrent.y","rectifier.thyristor_n.off"
4.9621964,12099.977,1,4.96,6.1943226,0.01378277,1.401282,7.6692271,-0.11329141,4.9499998,6.1476111,0
4.9623966,12099.977,1,4.96,6.1730399,0.015019579,1.401282,9.7809715,-0.13383858,4.9499998,6.1476111,0
4.9625964,12099.977,1,4.96,6.1504192,0.016251996,1.401282,12.195805,-0.15581188,4.9499998,6.1476111,0
4.9627967,12099.977,1,4.96,6.1265526,0.017479761,1.401282,14.91381,-0.17912459,4.9499998,6.1476111,0
4.9629965,12099.977,1,4.96,6.1015358,0.018702637,1.401282,17.930288,-0.20368472,4.9499998,6.1476111,0
4.9631968,12099.977,1,4.96,6.0754709,0.019920401,1.401282,21.235832,-0.2293953,4.9499998,6.1476111,0
4.9633965,12099.977,1,4.96,6.0484629,0.021132858,1.401282,24.816481,-0.25615487,4.9499998,6.1476111,0
4.9635963,12099.977,1,4.96,6.0206218,0.022339828,1.401282,28.653927,-0.28385782,4.9499998,6.1476111,0
4.9637966,12099.977,1,4.96,5.9920592,0.023541154,1.401282,32.725815,-0.3123948,4.9499998,6.1476111,0
4.9639964,12099.977,1,4.96,5.9628906,0.024736706,1.401282,37.006096,-0.3416532,4.9499998,6.1476111,0
4.9641967,12099.977,1,4.96,5.9332337,0.025926372,1.401282,41.465431,-0.37151751,4.9499998,6.1476111,0
4.9643965,12099.977,1,4.96,5.9032087,0.027110068,1.401282,46.071659,-0.40186989,4.9499998,6.1476111,0
4.9645967,12099.977,1,4.96,5.8729358,0.028287733,1.401282,50.790302,-0.43259051,4.9499998,6.1476111,0
4.9647965,12099.977,1,4.96,5.8425369,0.029459327,1.401282,55.585114,-0.46355817,4.9499998,6.1476111,0
4.9649649,12099.977,1,4.96,5.8169441,0.030440701,1.401282,59.652283,-0.48972422,4.9499998,6.1476111,0
4.9649649,12099.977,0,4.96,5.8169441,0.030440701,1.401282,59.652283,-0.48972422,4.9499998,6.1476111,1
4.9649968,12099.977,0,4.96,5.8219848,0.030624995,1.401282,60.418621,-0.48479787,4.9499998,6.1476111,1
4.9651966,12099.977,0,4.96,5.8537183,0.031792957,1.401282,65.251923,-0.45370612,4.9499998,6.1476111,1
4.9653969,12099.977,0,4.96,5.8852134,0.032966912,1.401282,70.048477,-0.4227328,4.9499998,6.1476111,1
4.9655967,12099.977,0,4.96,5.9163413,0.034147121,1.401282,74.770294,-0.39200184,4.9499998,6.1476111,1
4.9657965,12099.977,0,4.96,5.9469814,0.035333507,1.401282,79.38092,-0.36163509,4.9499998,6.1476111,1
4.9659967,12099.977,0,4.96,5.9770155,0.036525965,1.401282,83.845787,-0.33175239,4.9499998,6.1476111,1
4.9661965,12099.977,0,4.96,6.0063295,0.037724361,1.401282,88.132607,-0.30247173,4.9499998,6.1476111,1
4.9663968,12099.977,0,4.96,6.0348101,0.038928535,1.401282,92.211967,-0.27390862,4.9499998,6.1476111,1
4.9665966,12099.977,0,4.96,6.0623484,0.040138315,1.401282,96.057693,-0.2461758,4.9499998,6.1476111,1
4.9667969,12099.977,0,4.96,6.0888386,0.041353501,1.401282,99.647308,-0.21938275,4.9499998,6.1476111,1
4.9669967,12099.977,0,4.96,6.1141796,0.042573873,1.401282,102.96236,-0.19363518,4.9499998,6.1476111,1
4.9671969,12099.977,0,4.96,6.1382747,0.043799188,1.401282,105.98872,-0.16903476,4.9499998,6.1476111,1
4.9673967,12099.977,0,4.96,6.1610317,0.045029189,1.401282,108.71684,-0.14567856,4.9499998,6.1476111,1
