"Time","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertia.w","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertia.phi","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.is[2]","transformer.l2sigma.inductor[1].i","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.is[1]","transformer.l2sigma.inductor[3].i"
2.0056977,0.1498736,121.62919,-0.44464025,132.8681,0.18536475,-381.06989,0.01683525,-0.00035014519,637.61133,-0.011671457
2.0057979,0.15074313,121.65575,-0.45298228,132.88026,0.17544213,-370.72775,0.016708931,0.00195264,641.66992,-0.012064741
2.0058978,0.15161966,121.68244,-0.4610022,132.89244,0.165245,-360.03021,0.016566122,0.0042619542,645.23834,-0.012446117
2.0059979,0.1525031,121.70924,-0.46869168,132.9046,0.15478364,-348.98996,0.016406959,0.0065771299,648.3136,-0.012815206
2.0060978,0.15339336,121.73611,-0.47604266,132.91678,0.14406857,-337.62,0.0162316,0.0088975048,650.89343,-0.013171648
2.0061979,0.15429029,121.76307,-0.48304752,132.92896,0.13311055,-325.93365,0.016040221,0.011222421,652.97614,-0.013515089
2.0062978,0.15519376,121.79008,-0.48969883,132.94113,0.12192062,-313.94446,0.015833007,0.013551228,654.56042,-0.013845189
2.006398,0.15610364,121.81715,-0.49598962,132.95331,0.11050998,-301.66629,0.015610164,0.01588328,655.64551,-0.014161624
2.0064979,0.15701976,121.84424,-0.50191325,132.9655,0.098890088,-289.11328,0.015371914,0.018217936,656.2312,-0.014464081
2.006598,0.15794195,121.87135,-0.5074634,132.97769,0.087072581,-276.29971,0.015118489,0.020554565,656.31793,-0.014752261
2.0066979,0.15887004,121.89846,-0.51263416,132.98987,0.075069293,-263.24017,0.014850141,0.022892538,655.90643,-0.015025882
2.0067978,0.15980384,121.92556,-0.51741999,133.00206,0.062892236,-249.94945,0.014567134,0.025231238,654.99811,-0.015284671
2.0068979,0.16074316,121.95264,-0.52181566,133.01427,0.050553579,-236.44244,0.014269748,0.02757005,653.59485,-0.015528373
2.0069978,0.16168778,121.97968,-0.52581638,133.02646,0.038065668,-222.73431,0.013958275,0.02990837,651.69904,-0.01575675
2.007098,0.16263749,122.00668,-0.52941787,133.03865,0.025440974,-208.84035,0.013633026,0.032245599,649.3136,-0.015969574
2.0071979,0.16359206,122.0336,-0.53261596,133.05086,0.012692101,-194.77594,0.013294318,0.034581151,646.44189,-0.016166635
2.007298,0.16455124,122.06046,-0.53540707,133.06306,-0.00016822085,-180.55666,0.012942486,0.036914438,643.08783,-0.01634774
2.0073979,0.16551481,122.08721,-0.53778797,133.07527,-0.013127162,-166.19818,0.01257788,0.039244886,639.2558,-0.016512711
2.007498,0.16648251,122.11388,-0.53975588,133.08748,-0.0261718,-151.71622,0.012200857,0.041571938,634.95074,-0.016661381
2.0075979,0.16745408,122.14042,-0.54130834,133.0997,-0.039289124,-137.12665,0.01181179,0.043895029,630.17798,-0.016793609
2.0076978,0.16842923,122.16684,-0.54244339,133.11191,-0.052466065,-122.44531,0.011411063,0.046213612,624.94336,-0.01690926
2.007798,0.1694077,122.19312,-0.54315937,133.12413,-0.065689489,-107.68817,0.010999072,0.048527148,619.25317,-0.017008221
2.0078979,0.17038919,122.21926,-0.54345512,133.13635,-0.078946218,-92.87117,0.010576224,0.050835107,613.11426,-0.017090395
2.007998,0.17137343,122.24523,-0.54332983,133.14857,-0.092223063,-78.010292,0.010142935,0.053136967,606.53375,-0.017155701
2.0080979,0.17236008,122.27103,-0.54278314,133.1608,-0.10550679,-63.121483,0.0096996324,0.055432219,599.51929,-0.017204076
2.008198,0.17334886,122.29665,-0.5418151,133.17303,-0.11878417,-48.220703,0.0092467545,0.057720359,592.07904,-0.017235469
