"Time","aimc.idq_sr[2]","aimc.idq_rr[1]","aimc.is[1]","aimc.is[2]","loadInertia.w","transformer.l2sigma.inductor[3].i","loadInertia.phi","transformer.l2sigma.inductor[2].i","aimc.idq_sr[1]","aimc.idq_rr[2]"
2.009198,-574.28339,247.65181,496.32196,97.990059,122.54081,-0.016616948,133.29544,0.01232319,-276.21518,546.41089
2.0092981,-571.37451,247.18262,484.84491,111.99273,122.56384,-0.016463198,133.30769,0.012696393,-275.83679,543.37244
2.009398,-568.3681,246.61871,473.06903,125.82357,122.58659,-0.016293205,133.31995,0.01305707,-275.36014,540.24109
2.0094981,-565.26691,245.95911,461.00699,139.46835,122.60907,-0.016107136,133.33221,0.013404863,-274.78418,537.01947
2.009598,-562.07379,245.20288,448.67172,152.91312,122.63125,-0.015905155,133.34447,0.01373942,-274.10788,533.71039
2.0096982,-558.79156,244.34921,436.07651,166.1441,122.65314,-0.015687473,133.35674,0.014060419,-273.33038,530.31665
2.009798,-555.42316,243.39735,423.2348,179.14781,122.67473,-0.015454309,133.369,0.014367542,-272.45084,526.84113
2.0098979,-551.97137,242.3466,410.16031,191.91106,122.69601,-0.015205895,133.38127,0.014660489,-271.46851,523.28644
2.0099981,-548.43909,241.19632,396.86694,204.42091,122.717,-0.01494248,133.39354,0.014938973,-270.38269,519.65558
2.010098,-544.82922,239.94595,383.36874,216.66476,122.73767,-0.01466432,133.40582,0.015202716,-269.19272,515.95129
2.0101981,-541.14471,238.59494,369.67999,228.63036,122.75803,-0.014371673,133.41809,0.015451446,-267.89801,512.17645
2.010298,-537.38837,237.14287,355.81512,240.30568,122.77808,-0.014064839,133.43037,0.015684929,-266.49811,508.3338
2.0103981,-533.56317,235.58939,341.78876,251.67909,122.79781,-0.013744124,133.44264,0.015902933,-264.99255,504.42621
2.010498,-529.67194,233.93416,327.6156,262.73932,122.81723,-0.013409848,133.45493,0.016105244,-263.38098,500.45651
2.0105982,-525.71759,232.17696,313.31052,273.47537,122.83633,-0.013062342,133.46721,0.016291669,-261.66315,496.42755
2.0106981,-521.70312,230.31761,298.8884,283.87674,122.85512,-0.012701948,133.47949,0.016462017,-259.83878,492.34216
2.010798,-517.63129,228.35596,284.36426,293.93326,122.87359,-0.012329003,133.49179,0.01661611,-257.90768,488.20309
2.0108981,-513.50507,226.29198,269.75323,303.63507,122.89175,-0.01194389,133.50407,0.016753804,-255.8698,484.01324
2.010998,-509.32733,224.12567,255.0705,312.97281,122.90958,-0.011546989,133.51637,0.016874965,-253.72508,479.77536
2.0110981,-505.10092,221.85715,240.33122,321.93744,122.92712,-0.011138694,133.52866,0.016979478,-251.47359,475.49225
2.011198,-500.8287,219.48653,225.55067,330.52036,122.94433,-0.010719414,133.54095,0.017067242,-249.1154,471.16669
2.0112982,-496.51355,217.01398,210.74399,338.71347,122.96124,-0.010289543,133.55325,0.017138151,-246.65067,466.80145
2.0113981,-492.15826,214.43977,195.92645,346.50903,122.97784,-0.0098495139,133.56555,0.017192148,-244.07961,462.39932
2.0114982,-487.76572,211.76424,181.11324,353.89972,122.99415,-0.0093997633,133.57785,0.017229175,-241.40253,457.96301
2.0115981,-483.33865,208.98778,166.31955,360.87863,123.01015,-0.0089407368,133.59015,0.017249204,-238.61978,453.49524
2.0116982,-478.87991,206.11082,151.56047,367.43939,123.02586,-0.0084728897,133.60245,0.017252214,-235.7318,448.99872
2.0117981,-474.39221,203.13387,136.85106,373.57605,123.04128,-0.0079966793,133.61475,0.0172382,-232.73903,444.47614
2.011898,-469.87833,200.05746,122.20624,379.28314,123.05642,-0.0075125699,133.62706,0.017207164,-229.64201,439.93015
2.0119982,-465.34097,196.88225,107.6409,384.55554,123.07127,-0.0070210453,133.63936,0.017159149,-226.44136,435.3634
2.0120981,-460.78284,193.6089,93.169792,389.38873,123.08586,-0.0065225917,133.65167,0.0170942,-223.13773,430.7785
2.0121982,-456.2066,190.23817,78.807541,393.77856,123.10018,-0.0060177026,133.66399,0.017012388,-219.73184,426.17804
2.0122981,-451.61493,186.77083,64.568619,397.72147,123.11423,-0.0055068773,133.6763,0.01691379,-216.22449,421.56454
2.0123982,-447.01041,183.2077,50.467323,401.21426,123.12804,-0.0049906098,133.68861,0.016798491,-212.61646,416.94061
2.0124981,-442.39563,179.54971,36.517818,404.25427,123.1416,-0.0044694156,133.70093,0.016666612,-208.90866,412.30872
2.0125983,-437.77319,175.79782,22.73407,406.83929,123.15492,-0.0039438102,133.71324,0.016518287,-205.10205,407.67136
2.0126982,-433.14557,171.95303,9.1298494,408.96762,123.16801,-0.0034143128,133.72556,0.016353665,-201.19763,403.03094
2.0127981,-428.51529,168.0164,-4.2812853,410.63803,123.18089,-0.0028814478,133.73787,0.016172908,-197.19647,398.38986
2.0128982,-423.8848,163.98903,-17.486038,411.84973,123.19354,-0.0023457359,133.7502,0.015976187,-193.09966,393.75058
2.0129981,-419.25653,159.87207,-30.471321,412.60254,123.206,-0.0018077063,133.76251,0.015763694,-188.90834,389.11536
2.0130982,-414.6329,155.66673,-43.224293,412.89661,123.21825,-0.001267892,133.77483,0.015535645,-184.62375,384.48654
2.0131981,-410.0162,151.37428,-55.732376,412.7326,123.23033,-0.00072682614,133.78716,0.015292267,-180.24713,379.86636
2.0132983,-405.40878,146.99603,-67.983284,412.11176,123.24223,-0.00018504381,133.79948,0.015033802,-175.77983,375.25708
2.0133982,-400.8129,142.53333,-79.965012,411.03568,123.25397,0.00035692114,133.81181,0.014760503,-171.22318,370.66089
2.0134983,-396.2308,137.98752,-91.665901,409.50653,123.26555,0.00089853717,133.82413,0.014472628,-166.57855,366.07996
2.0135982,-391.6647,133.36006,-103.07453,407.52689,123.27699,0.0014392672,133.83646,0.014170472,-161.84743,361.51636
2.0136983,-387.11673,128.65245,-114.17985,405.09979,123.2883,0.0019785771,133.84879,0.013854332,-157.03131,356.9722
2.0137982,-382.58896,123.8662,-124.97111,402.22876,123.29948,0.0025159344,133.86111,0.013524523,-152.13173,352.44946
2.0138981,-378.08353,119.00287,-135.43793,398.91782,123.31056,0.0030508081,133.87344,0.013181373,-147.15027,347.95016
2.0139983,-373.60242,114.06403,-145.57031,395.17139,123.32154,0.0035826731,133.88579,0.012825208,-142.08852,343.47626
2.0140982,-369.14758,109.05132,-155.35858,390.99438,123.33244,0.0041110031,133.89812,0.012456384,-136.94817,339.02963
2.0141983,-364.72101,103.96644,-164.79344,386.39209,123.34325,0.0046352763,133.91045,0.012075268,-131.7309,334.61212
2.0142982,-360.32455,98.811066,-173.86597,381.37027,123.35402,0.0051549757,133.92279,0.011682238,-126.43845,330.22556
2.0143983,-355.96002,93.586952,-182.56766,375.93515,123.36473,0.0056695878,133.93512,0.011277684,-121.0726,325.8717
2.0144982,-351.62927,88.295876,-190.89041,370.09335,123.3754,0.0061786049,133.94746,0.010861999,-115.63515,321.55225
2.0145984,-347.33401,82.939613,-198.82651,363.85193,123.38605,0.0066815247,133.95979,0.010435591,-110.12792,317.26889
2.0146983,-343.07593,77.520027,-206.36867,357.21832,123.3967,0.0071778507,133.97214,0.0099988841,-104.5528,313.02325
2.0147982,-338.85666,72.038963,-213.50998,350.20035,123.40733,0.007667094,133.98448,0.0095523121,-98.91169,308.81689
2.0148983,-334.67783,66.498322,-220.24402,342.80624,123.41799,0.0081487708,133.99683,0.0090963161,-93.20652,304.65137
2.0149982,-330.54095,60.900017,-226.56474,335.04468,123.42868,0.008622407,134.00917,0.0086313477,-87.439247,300.52808
2.0150983,-326.44757,55.245987,-232.46664,326.92465,123.43941,0.0090875328,134.02151,0.0081578549,-81.611839,296.44855
2.0151982,-322.39914,49.538193,-237.94456,318.45547,123.4502,0.0095436899,134.03386,0.0076763113,-75.726326,292.41409
2.0152984,-318.39697,43.778633,-242.9938,309.64691,123.46104,0.0099904286,134.0462,0.0071871942,-69.784744,288.42606
2.0153983,-314.4425,37.969315,-247.61015,300.50897,123.47198,0.010427309,134.05855,0.0066909865,-63.789146,284.48575
2.0154984,-310.53696,32.11227,-251.78981,291.05206,123.483,0.010853901,134.07089,0.0061881803,-57.741615,280.59433
2.0155983,-306.68164,26.209538,-255.52953,281.28693,123.49414,0.011269779,134.08324,0.0056792647,-51.644241,276.75308
2.0156984,-302.87772,20.263186,-258.82645,271.22458,123.5054,0.011674535,134.0956,0.0051647429,-45.499149,272.96307
2.0157983,-299.12631,14.275298,-261.67816,260.87634,123.51679,0.012067768,134.10794,0.004645125,-39.308475,269.22537
2.0158982,-295.42853,8.2479706,-264.08276,250.2538,123.52834,0.012449093,134.1203,0.0041209254,-33.074375,265.54105
2.0159984,-291.78543,2.183315,-266.03882,239.36885,123.54004,0.012818134,134.13266,0.0035926623,-26.799009,261.91107
2.0160983,-288.19797,-3.9165483,-267.54535,228.23364,123.55191,0.013174526,134.145,0.0030608557,-20.484564,258.33633
2.0161984,-284.66708,-10.049488,-268.6019,216.86058,123.56398,0.013517914,134.15736,0.0025260262,-14.133226,254.81778
2.0162983,-281.1937,-16.213362,-269.20837,205.2623,123.57625,0.013847962,134.16972,0.0019887059,-7.7472057,251.3562
2.0163984,-277.77859,-22.406015,-269.36526,193.45164,123.58872,0.014164345,134.18208,0.0014494258,-1.3287135,247.95236
2.0164983,-274.42255,-28.625292,-269.07346,181.44168,123.60143,0.01446675,134.19444,0.00090871635,5.120028,244.60704
2.0165985,-271.12637,-34.86903,-268.33435,169.2457,123.61438,0.014754874,134.2068,0.00036710923,11.59679,241.32089
2.0166984,-267.89069,-41.135059,-267.14978,156.87714,123.62758,0.015028436,134.21916,-0.00017485984,18.09934,238.09457
2.0167985,-264.71613,-47.421207,-265.52209,144.34961,123.64104,0.015287166,134.23154,-0.00071665633,24.625439,234.92865
2.0168984,-261.6033,-53.725304,-263.45404,131.67688,123.65478,0.015530809,134.2439,-0.0012577443,31.17284,231.82367
2.0169983,-258.55273,-60.045166,-260.94888,118.87288,123.66881,0.015759125,134.25626,-0.0017975885,37.7393,228.78012
2.0170984,-255.56491,-66.378624,-258.01025,105.95163,123.68314,0.01597189,134.26863,-0.0023356562,44.322575,225.79845
2.0171983,-252.64024,-72.723495,-254.64235,92.927292,123.69778,0.016168896,134.28101,-0.0028714146,50.920422,222.87903
2.0172985,-249.77914,-79.077621,-250.84975,79.81411,123.71275,0.016349943,134.29337,-0.0034043386,57.530594,220.02222
2.0173984,-246.98192,-85.43882,-246.63747,66.626404,123.72805,0.016514853,134.30574,-0.0039339024,64.150848,217.22832
2.0174985,-244.24889,-91.804939,-242.01097,53.378582,123.74371,0.016663464,134.31812,-0.0044595827,70.778946,214.49757
2.0175984,-241.58025,-98.173813,-236.97615,40.085075,123.75971,0.01679563,134.33049,-0.0049808626,77.412666,211.83018
2.0176985,-238.97623,-104.5433,-231.53934,26.760386,123.77608,0.01691122,134.34286,-0.0054972242,84.049774,209.22632
2.0177984,-236.43697,-110.91125,-225.70726,13.419013,123.79285,0.017010121,134.35526,-0.0060081584,90.688057,206.6861
2.0178983,-233.96254,-117.27553,-219.48706,0.075470142,123.80999,0.017092234,134.36763,-0.0065131616,97.325302,204.20955
2.0179985,-231.55302,-123.63402,-212.88631,-13.255735,123.82754,0.017157482,134.38002,-0.0070117344,103.95931,201.79674
2.0180984,-229.20842,-129.9846,-205.9129,-26.560116,123.84549,0.017205793,134.3924,-0.0075033866,110.5879,199.44765
2.0181985,-226.92868,-136.32518,-198.57523,-39.823223,123.86386,0.017237127,134.40479,-0.0079876324,117.20889,197.16219
2.0182984,-224.71375,-142.65369,-190.88194,-53.03067,123.88267,0.017251447,134.41718,-0.0084639927,123.82011,194.94026
2.0183985,-222.56348,-148.96803,-182.84215,-66.168129,123.9019,0.017248744,134.42957,-0.0089319991,130.41942,192.78174
2.0184984,-220.47771,-155.26616,-174.46527,-79.221352,123.92159,0.017229017,134.44196,-0.0093911886,137.00467,190.68642
2.0185986,-218.45624,-161.54604,-165.76109,-92.176193,123.94172,0.017192287,134.45435,-0.0098411087,143.57378,188.65407
2.0186985,-216.49881,-167.80565,-156.73975,-105.01862,123.96232,0.017138591,134.46674,-0.010281314,150.1246,186.68443
2.0187986,-214.60512,-174.04297,-147.41165,-117.73472,123.98338,0.01706798,134.47914,-0.010711372,156.65508,184.77719
2.0188985,-212.77486,-180.25604,-137.7876,-130.31073,124.00493,0.016980525,134.49155,-0.011130856,163.16315,182.93201
2.0189984,-211.00763,-186.44287,-127.87865,-142.73303,124.02695,0.01687631,134.50394,-0.011539354,169.64674,181.14848
2.0190985,-209.30304,-192.60155,-117.69617,-154.9882,124.04948,0.016755443,134.51634,-0.011936462,176.10387,179.42619
2.0191984,-207.66063,-198.73013,-107.25181,-167.06297,124.07249,0.016618039,134.52875,-0.012321789,182.53252,177.76469
2.0192986,-206.07991,-204.82672,-96.557472,-178.94426,124.096,0.016464235,134.54117,-0.012694953,188.93069,176.16347
2.0193985,-204.56035,-210.88945,-85.625336,-190.61925,124.12003,0.016294181,134.55357,-0.013055586,195.29645,174.62199
2.0194986,-203.10139,-216.91646,-74.467827,-202.07527,124.14456,0.016108049,134.56599,-0.013403334,201.62787,173.13971
2.0195985,-201.70245,-222.90593,-63.09758,-213.29999,124.16962,0.015906021,134.5784,-0.013737852,207.92302,171.716
2.0196986,-200.36288,-228.85606,-51.52747,-224.28122,124.1952,0.015688293,134.59082,-0.01405881,214.18005,170.35023
2.0197985,-199.08203,-234.76508,-39.770565,-235.0071,124.22131,0.015455082,134.60324,-0.014365891,220.39708,169.04175
2.0198984,-197.85919,-240.63123,-27.840126,-245.46603,124.24795,0.015206621,134.61566,-0.014658794,226.57231,167.78984
2.0199986,-196.69362,-246.4528,-15.749596,-255.64671,124.27512,0.014943152,134.6281,-0.014937228,232.70393,166.59377
2.0200984,-195.58455,-252.22812,-3.5125759,-265.53812,124.30283,0.014664935,134.64052,-0.015200918,238.79016,165.45279
2.0201986,-194.5312,-257.95551,8.8571844,-275.12952,124.33108,0.014372246,134.65295,-0.015449604,244.82928,164.3661
2.0202985,-193.53276,-263.63333,21.345802,-284.41058,124.35987,0.014065376,134.66539,-0.015683042,250.81958,163.3329
2.0203986,-192.58835,-269.25998,33.93927,-293.37122,124.38921,0.013744622,134.67783,-0.015901001,256.75937,162.35231
2.0204985,-191.6971,-274.83392,46.623482,-302.00174,124.41909,0.013410304,134.69028,-0.016103264,262.64703,161.42348
2.0205986,-190.85808,-280.35361,59.384235,-310.29279,124.44952,0.013062753,134.70271,-0.016289633,268.4809,160.54549
2.0206985,-190.07037,-285.81754,72.20726,-318.23538,124.48051,0.012702311,134.71516,-0.016459927,274.25946,159.71742
2.0207987,-189.33299,-291.22421,85.078224,-325.82092,124.51204,0.012329333,134.72762,-0.016613971,279.98111,158.93832
2.0208986,-188.64497,-296.57224,97.98275,-333.04114,124.54412,0.011944187,134.74007,-0.016751619,285.64438,158.20723
2.0209985,-188.00529,-301.86017,110.90642,-339.88818,124.57675,0.011547254,134.75252,-0.016872732,291.24777,157.52312
2.0210986,-187.4129,-307.08667,123.83482,-346.35464,124.60992,0.011138928,134.76498,-0.016977193,296.78983,156.88498
2.0211985,-186.86674,-312.2504,136.75352,-352.43347,124.64365,0.010719607,134.77745,-0.017064895,302.26917,156.29175
2.0212986,-186.36574,-317.35004,149.64813,-358.11804,124.67793,0.010289708,134.78992,-0.017135756,307.68439,155.74239
2.0213985,-185.90878,-322.38434,162.50427,-363.40216,124.71275,0.0098496554,134.80238,-0.017189704,313.03418,155.23581
2.0214987,-185.49475,-327.35211,175.30762,-368.28,124.74811,0.0093998825,134.81485,-0.017226685,318.31726,154.77089
2.0215986,-185.12248,-332.25208,188.04388,-372.74625,124.78401,0.0089408336,134.82733,-0.017246664,323.53232,154.34651
