"time","constantSpeedE.phi","constantSpeedM.phi","smeeE.is[1]","smeeE.is[2]","smeeE.idq_dr[1]","smeeE.idq_rr[2]","smeeE.idq_sr[1]","smeeE.idq_sr[2]","smeeM.is[1]","smeeM.is[2]","smeeM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smeeM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smeeM.stator.stray.port_p.Phi.im","smeeM.stator.stray.port_p.Phi.re"
0.59050000000000002,91.122889755041868,91.122889755041868,-81.064947254431772,48.09734712757934,0.30820036464473388,-2.1867316223827169,-80.727970760428846,11.437809742362553,-81.064948129705741,48.097373995839092,-0.44378237467263193,-0.062668591006728822,0.0027804986152846845,-0.025803774412661531
0.59099999999999997,91.201377211504038,91.201377211504038,-81.437035404342097,37.222777986053373,0.30842935696853763,-2.1866993357272091,-80.729498852020981,11.446936071866599,-81.437041915760247,37.222806943012557,-0.4285135057514014,-0.13131954595536535,-0.0012848587643516096,-0.025922215543350238
0.59150000000000003,91.279864667966223,91.279864667966223,-79.809253088473668,25.433361502361105,0.30865834591221725,-2.1866670250919449,-80.731027899313943,11.456062241299312,-79.809264873403848,25.433391542709224,-0.40269332136555103,-0.19673646369826753,-0.005318942171645108,-0.025404078018265188
0.59199999999999997,91.358352124428393,91.358352124428393,-76.221437067923247,13.018553745414739,0.30888733146878911,-2.1866346904779981,-80.732557902286416,11.465188250561361,-76.221453331762149,13.018583871151685,-0.36695767931147361,-0.2573085860926847,-0.0092226822471893535,-0.024262042134796328
0.59250000000000003,91.436839580890577,91.436839580890577,-70.761560366563316,0.283188783569368,0.30911631363954162,-2.1866023318849672,-80.734088860925539,11.474314099551886,-70.761579903765266,0.28321823786770967,-0.32218658423388419,-0.31154446211621617,-0.012900203630049985,-0.022524110445352737
0.59299999999999997,91.515327037352748,91.515327037352748,-63.563575204203509,-12.460006201273981,0.30934529242114167,-2.1865699493136237,-80.735620775213604,11.483439788171244,-63.563596523096415,-12.459977610964549,-0.26948251711728805,-0.35810867149550951,-0.016261179615527296,-0.020232921174699221
0.59350000000000003,91.593814493814932,91.593814493814932,-54.804126650163639,-24.898090152562013,0.30957426780799174,-2.1865375427644409,-80.737153645130704,11.492565316319487,-54.804150767252395,-24.89806331921849,-0.21014328561692799,-0.39585470445412707,-0.019223051800963918,-0.017444702993123427
0.59399999999999997,91.672301950277102,91.672301950277102,-44.698217622901929,-36.725593162464833,0.30980323980160462,-2.1865051122371093,-80.738687470664146,11.50169068389585,-44.698244460555145,-36.72556928655726,-0.14563006924852953,-0.4238531938164577,-0.021713056280906438,-0.014227893106854572
0.59450000000000003,91.750789406739287,91.750789406739287,-33.493931619024899,-47.65201855616435,0.31003220839536633,-2.1864726577324771,-80.7402222517929,11.510815890800782,-33.493960248718835,-47.651998465940352,-0.07753143726068952,-0.44141479661622784,-0.023670011821654402,-0.010661458674614111
0.59499999999999997,91.829276863201457,91.829276863201457,-21.466342702204248,-57.408977792742661,0.31026117358980498,-2.1864401792501504,-80.74175798850321,11.519940936933425,-21.466372096010055,-57.408962004900253,-0.007524231589290332,-0.44810716569636361,-0.025045823478450989,-0.0068329584586598732
