"Time","pulse2m.twomPulse.timerNegative[1].entryTime","rectifier.thyristor_n.idealThyristor[1].off","rectifier.thyristor_n.idealThyristor[3].off","meanCurrent.y","meanVoltage.y","rectifier.thyristor_p.idealThyristor[1].off","rectifier.thyristor_p.idealThyristor[3].off","pulse2m.twomPulse.timerNegative[3].entryTime","pulse2m.twomPulse.timerNegative[2].entryTime","pulse2m.twomPulse.timerPositive[1].entryTime","inductor.i","rootMeanSquareVoltage.mean.x","meanVoltage.x","rootMeanSquareVoltage.mean.y","pulse2m.twomPulse.timerPositive[2].entryTime","rectifier.thyristor_p.idealThyristor[2].off","pulse2m.twomPulse.timerPositive[3].entryTime","meanCurrent.x","rectifier.thyristor_n.idealThyristor[2].off"
4.96,4.9533334,0,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.232223,6.9893928,0.0064876936,2097.3906,4.9499998,1,4.9566665,0.044046003,1
4.96,4.9533334,0,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.232223,6.9893928,0.0064876936,2097.3906,4.9499998,1,4.9566665,0.044046022,1
4.96,4.9533334,0,1,13.213806,1.9463081,1,1,4.9466667,4.96,4.9433331,13.232223,0,0,2096.8179,4.9499998,1,4.9566665,0,1
4.9601965,4.9533334,0,1,13.213806,1.9463081,1,1,4.9466667,4.96,4.9433331,13.230371,0.0060311696,-0.00094270206,2096.8179,4.9499998,1,4.9566665,0.0025992319,1
4.9603963,4.9533334,0,1,13.213806,1.9463081,1,1,4.9466667,4.96,4.9433331,13.226562,0.0494553,-0.00383575,2096.8179,4.9499998,1,4.9566665,0.0052450621,1
4.9605966,4.9533334,0,1,13.213806,1.9463081,1,1,4.9466667,4.96,4.9433331,13.220835,0.16775821,-0.0086680483,2096.8179,4.9499998,1,4.9566665,0.0078899385,1
4.9607964,4.9533334,0,1,13.213806,1.9463081,1,1,4.9466667,4.96,4.9433331,13.213214,0.39724383,-0.015420515,2096.8179,4.9499998,1,4.9566665,0.010533479,1
4.9609966,4.9533334,0,1,13.213806,1.9463081,1,1,4.9466667,4.96,4.9433331,13.203733,0.77246332,-0.024066502,2096.8179,4.9499998,1,4.9566665,0.01317531,1
4.9611964,4.9533334,0,1,13.213806,1.9463081,1,1,4.9466667,4.96,4.9433331,13.192435,1.3256676,-0.034571879,2096.8179,4.9499998,1,4.9566665,0.015815061,1
4.9613967,4.9533334,0,1,13.213806,1.9463081,1,1,4.9466667,4.96,4.9433331,13.179367,2.0862999,-0.046895187,2096.8179,4.9499998,1,4.9566665,0.018452374,1
4.9615965,4.9533334,0,1,13.213806,1.9463081,1,1,4.9466667,4.96,4.9433331,13.164586,3.0805335,-0.060987789,2096.8179,4.9499998,1,4.9566665,0.021086901,1
4.9616284,4.9533334,0,1,13.213806,1.9463081,1,1,4.9466667,4.96,4.9433331,13.162083,3.2616565,-0.06338755,2096.8179,4.9499998,1,4.9566665,0.021505445,1
4.9616284,4.9533334,1,1,13.213806,1.9463081,1,0,4.9466667,4.96,4.9433331,13.162083,3.2616565,-0.06338755,2096.8179,4.9499998,1,4.9566665,0.021505445,1
4.9616666,4.9533334,1,1,13.213806,1.9463081,1,0,4.9466667,4.96,4.9433331,13.164972,3.498667,-0.06037198,2096.8179,4.9499998,1,4.9566665,0.022010531,1
4.9617963,4.9533334,1,1,13.213806,1.9463081,1,0,4.9466667,4.96,4.9433331,13.174272,4.2296171,-0.050632216,2096.8179,4.9499998,1,4.9566665,0.023720505,1
4.9619966,4.9533334,1,1,13.213806,1.9463081,1,0,4.9466667,4.96,4.9433331,13.187119,5.1516299,-0.037062,2096.8179,4.9499998,1,4.9566665,0.026356779,1
4.9621964,4.9533334,1,1,13.213806,1.9463081,1,0,4.9466667,4.96,4.9433331,13.198133,5.8474774,-0.025276342,2096.8179,4.9499998,1,4.9566665,0.028995439,1
4.9623966,4.9533334,1,1,13.213806,1.9463081,1,0,4.9466667,4.96,4.9433331,13.207276,6.3443518,-0.015321756,2096.8179,4.9499998,1,4.9566665,0.031636115,1
4.9625964,4.9533334,1,1,13.213806,1.9463081,1,0,4.9466667,4.96,4.9433331,13.214517,6.6725945,-0.0072375182,2096.8179,4.9499998,1,4.9566665,0.034278434,1
4.9627967,4.9533334,1,1,13.213806,1.9463081,1,0,4.9466667,4.96,4.9433331,13.219829,6.8651986,-0.0010555381,2096.8179,4.9499998,1,4.9566665,0.036922004,1
4.9629965,4.9533334,1,1,13.213806,1.9463081,1,0,4.9466667,4.96,4.9433331,13.223198,6.9572935,0.0031997843,2096.8179,4.9499998,1,4.9566665,0.039566442,1
4.9631968,4.9533334,1,1,13.213806,1.9463081,1,0,4.9466667,4.96,4.9433331,13.224613,6.9855971,0.005511655,2096.8179,4.9499998,1,4.9566665,0.042211361,1
4.9633331,4.9533334,1,1,13.213806,1.9463081,1,0,4.9466667,4.96,4.9433331,13.224456,6.9876332,0.0059686718,2096.8179,4.9499998,1,4.9566665,0.04402009,1
4.9633331,4.9533334,1,1,13.213806,1.9463081,1,0,4.9466667,4.96,4.9433331,13.224456,6.9876332,0.0059686718,2096.8179,4.9499998,1,4.9566665,0.044020105,1
4.9633331,4.9533334,1,1,13.206032,1.7906015,1,0,4.9466667,4.96,4.9633331,13.224456,0,0,2096.29,4.9499998,1,4.9566665,0,1
4.9633965,4.9533334,1,1,13.206032,1.7906015,1,0,4.9466667,4.96,4.9633331,13.224074,0.00020512338,-9.772279e-05,2096.29,4.9499998,1,4.9566665,0.00083626155,1
4.9635963,4.9533334,1,1,13.206032,1.7906015,1,0,4.9466667,4.96,4.9633331,13.221587,0.01450681,-0.0016924147,2096.29,4.9499998,1,4.9566665,0.0034809648,1
4.9637966,4.9533334,1,1,13.206032,1.7906015,1,0,4.9466667,4.96,4.9633331,13.217167,0.078817323,-0.0052348087,2096.29,4.9499998,1,4.9566665,0.006124977,1
4.9639964,4.9533334,1,1,13.206032,1.7906015,1,0,4.9466667,4.96,4.9633331,13.210835,0.23029207,-0.010710929,2096.29,4.9499998,1,4.9566665,0.008767914,1
4.9641967,4.9533334,1,1,13.206032,1.7906015,1,0,4.9466667,4.96,4.9633331,13.202619,0.50471163,-0.018099153,2096.29,4.9499998,1,4.9566665,0.011409394,1
4.9643965,4.9533334,1,1,13.206032,1.7906015,1,0,4.9466667,4.96,4.9633331,13.192556,0.93591857,-0.027370326,2096.29,4.9499998,1,4.9566665,0.014049047,1
4.9645967,4.9533334,1,1,13.206032,1.7906015,1,0,4.9466667,4.96,4.9633331,13.180692,1.5552807,-0.038487852,2096.29,4.9499998,1,4.9566665,0.016686507,1
4.9647965,4.9533334,1,1,13.206032,1.7906015,1,0,4.9466667,4.96,4.9633331,13.167075,2.3911982,-0.051407851,2096.29,4.9499998,1,4.9566665,0.019321416,1
4.9649649,4.9533334,1,1,13.206032,1.7906015,1,0,4.9466667,4.96,4.9633331,13.1543,3.2810466,-0.063641883,2096.29,4.9499998,1,4.9566665,0.021536894,1
4.9649649,4.9533334,1,1,13.206032,1.7906015,1,1,4.9466667,4.96,4.9633331,13.1543,3.2810466,-0.063641883,2096.29,4.9499998,1,4.9566665,0.021536894,0
4.9649968,4.9533334,1,1,13.206032,1.7906015,1,1,4.9466667,4.96,4.9633331,13.156691,3.4766631,-0.061152976,2096.29,4.9499998,1,4.9566665,0.02195351,0
4.9650002,4.9533334,1,1,13.206032,1.7906015,1,1,4.9466667,4.96,4.9633331,13.156942,3.4970584,-0.06089101,2096.29,4.9499998,1,4.9566665,0.021997781,0
4.9651966,4.9533334,1,1,13.206032,1.7906015,1,1,4.9466667,4.96,4.9633331,13.170764,4.562644,-0.046423569,2096.29,4.9499998,1,4.9566665,0.024586389,0
4.9653969,4.9533334,1,1,13.206032,1.7906015,1,1,4.9466667,4.96,4.9633331,13.183036,5.406311,-0.033443768,2096.29,4.9499998,1,4.9566665,0.027221903,0
4.9655967,4.9533334,1,1,13.206032,1.7906015,1,1,4.9466667,4.96,4.9633331,13.193461,6.0325108,-0.022264859,2096.29,4.9499998,1,4.9566665,0.02985969,0
4.9657965,4.9533334,1,1,13.206032,1.7906015,1,1,4.9466667,4.96,4.9633331,13.202003,6.4695477,-0.012930949,2096.29,4.9499998,1,4.9566665,0.032499373,0
4.9659967,4.9533334,1,1,13.206032,1.7906015,1,1,4.9466667,4.96,4.9633331,13.208633,6.7487016,-0.0054788734,2096.29,4.9499998,1,4.9566665,0.035140574,0
4.9661965,4.9533334,1,1,13.206032,1.7906015,1,1,4.9466667,4.96,4.9633331,13.21333,6.9037395,6.1955143e-05,2096.29,4.9499998,1,4.9566665,0.037782904,0
4.9663968,4.9533334,1,1,13.206032,1.7906015,1,1,4.9466667,4.96,4.9633331,13.216078,6.9703822,0.0036696671,2096.29,4.9499998,1,4.9566665,0.040425982,0
