"time","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.is[1]","aimc.is[2]","loadInertia.phi","loadInertia.w","transformer.l2sigma.inductor[1].i","transformer.l2sigma.inductor[3].i"
1.5736000000000001,0.11556748276311171,-0.013865259685063023,0.039373339256992178,-0.22994606171549181,-194.72097774163203,309.37272676447247,83.671143498416271,105.37852547465739,80.05253171884516,424.02644289770126
1.57365,0.11564156316234173,-0.013266078462199344,0.042979675808813789,-0.22929934107189251,-198.5434952370608,308.60398422949874,83.67641248210316,105.38082198192096,88.466195623499175,418.66672506936783
1.5737000000000001,0.11571253403514162,-0.01266652831409245,0.046575410794369304,-0.2285960643503574,-202.31684103533163,307.75897280312591,83.68168158061259,105.38311837578601,96.85778906609346,413.20364066195697
1.57375,0.1157803936850919,-0.01206662539355958,0.050159657349416902,-0.22783640515159476,-206.04008355315585,306.83790338196286,83.686950793938834,105.38541465625148,105.22523817854862,407.63854288201424
1.5738000000000001,0.11584514049966567,-0.011466385860361363,0.053731531431746457,-0.227020550861394,-209.71230359663525,305.8410054849648,83.692220122076321,105.38771082331635,113.56647508824287,401.97280988679591
1.57385,0.11590677295022524,-0.010865825880789519,0.057290152031445878,-0.22614870256849023,-213.33259457607173,304.76852714147907,83.697489565019296,105.39000687697953,121.87943841227411,396.20784437839711
1.5739000000000001,0.11596528959233481,-0.010264961627214193,0.060834641445834621,-0.22522107545678835,-216.90006282044976,303.62073547517457,83.702759122762146,105.39230281723999,130.16207388426668,390.34507409423912
1.5739500000000002,0.11602068906553102,-0.0096638092776591966,0.064364125446043585,-0.2242378983776018,-220.41382771953539,302.3979160891688,83.708028795299157,105.39459864409666,138.41233476008554,384.38595074419277
1.5740000000000001,0.11607297009324627,-0.0090623850153590656,0.067877733463684573,-0.22319941365209994,-223.87302189566864,301.10037278039795,83.71329858262466,105.39689435754852,146.62818226144685,378.33194939556148
1.5740500000000002,0.11612213148318927,-0.0084607050283169501,0.071374598905598843,-0.22210587756606748,-227.27679157524233,299.72842829635556,83.718568484733026,105.39918995759447,154.80758629184064,372.18456912791777
1.5741000000000001,0.1161681721271004,-0.0078587855088832776,0.074853859298674483,-0.2209575599208673,-230.62429669103508,298.28242367637688,83.723838501618545,105.40148544423351,162.94852579215987,365.94533195148858
1.5741500000000002,0.11621109100061262,-0.007256642653300561,0.078314656446783523,-0.21975474374287954,-233.9147110017677,296.76271781853069,83.729108633275587,105.40378081746456,171.04898911841724,359.61578203579955
1.5742,0.11625088716367964,-0.0066542926612853555,0.081756136789157802,-0.21849772584777366,-237.14722252680738,295.16968836760583,83.734378879698397,105.40607607728656,179.10697485700607,353.19748645699013
1.5742500000000001,0.11628755976031697,-0.0060517517355719716,0.085177451520586395,-0.21718681636946197,-240.32103360438325,293.50373100951026,83.73964924088142,105.4083712236985,187.12049212358696,346.69203409922136
1.5743,0.11632110801844935,-0.0054490360814970096,0.088577756731598095,-0.21582233845623899,-243.43536097983727,291.76525900984865,83.744919716818899,105.41066625669927,195.08756090212404,340.1010348751729
1.5743500000000001,0.11635153125029291,-0.0048461619065435467,0.09195621377754154,-0.21440462875671087,-246.48943625178117,289.95470400635929,83.750190307505207,105.41296117628785,203.0062128882978,333.42612030101287
1.5744,0.11637882885215348,-0.0042431454199203461,0.095311989402787123,-0.21293403704106639,-249.48250593184648,288.07251543507743,83.755461012934632,105.41525598246317,210.8744917941082,326.66894258199585
1.5744500000000001,0.11640300030428363,-0.0036400028321111307,0.098644255876037146,-0.21141092591145388,-252.41383152018327,286.11916008722477,83.760731833101559,105.41755067522418,218.69045367496079,319.83117386764872
1.5745,0.1164240451711118,-0.0030367503544579412,0.10195219131125867,-0.20983567105905546,-255.28268987127896,284.09512255613328,83.766002768000277,105.41984525456981,226.45216766945092,312.91450641354123
1.5745500000000001,0.11644196310120544,-0.002433404198697248,0.10523497985713839,-0.20820866112836334,-258.08837335143039,282.00090504800346,83.771273817625129,105.42213972049905,234.15771644704944,305.92065208953102
1.5746,0.11645675382707774,-0.001829980576554932,0.10849181180048685,-0.2065302973593143,-260.83018985964162,279.83702682450922,83.776544981970446,105.42443407301079,241.80519646322725,298.85134153170014
1.5746500000000001,0.1164684171652999,-0.0012264956992879647,0.11172188383547441,-0.20480099366835958,-263.50746310756358,277.60402437326161,83.781816261030556,105.42672831210399,249.39271858524185,291.7083240030949
