"Time","smee.idq_sr[1]","smee.inertiaRotor.w","smee.is[1]","smee.idq_sr[2]","smee.is[2]","smee.lesigma.i","smee.idq_dr[1]","smee.inertiaRotor.phi","smee.idq_rr[2]"
2.0092981,1.1034551,158.53119,-0.89113444,-9.6190739,-7.9038372,9.9307652,-0.42837536,301.48972,9.0593729
2.009398,1.1388192,158.54391,-0.58072406,-9.7946968,-8.2344151,9.9285069,-0.44163835,301.50555,9.22192
2.0094981,1.1747104,158.55656,-0.25798559,-9.9714346,-8.5633698,9.9262123,-0.45507625,301.52142,9.3854132
2.009598,1.2111188,158.56912,0.07684698,-10.149276,-8.8900633,9.9238834,-0.4686847,301.53726,9.5498419
2.0096982,1.2480347,158.58159,0.42351219,-10.328211,-9.2138462,9.9215202,-0.48245925,301.55313,9.7151947
2.009798,1.285448,158.59399,0.78172123,-10.508229,-9.5340624,9.9191227,-0.49639523,301.569,9.8814631
2.0098979,1.3233477,158.60629,1.151158,-10.689322,-9.8500471,9.9166918,-0.51048779,301.58484,10.048634
2.0099981,1.3617229,158.61852,1.5314795,-10.871477,-10.161133,9.9142284,-0.52473211,301.60071,10.216698
2.010098,1.4005622,158.63066,1.922316,-11.054685,-10.466643,9.9117336,-0.53912312,301.61658,10.385644
2.0101981,1.4398538,158.64272,2.323271,-11.238935,-10.765902,9.9092073,-0.55365556,301.63245,10.555461
2.010298,1.4795854,158.65468,2.7339222,-11.424215,-11.058228,9.9066505,-0.56832421,301.64832,10.726138
2.0103981,1.5197445,158.66656,3.1538217,-11.610517,-11.34294,9.9040651,-0.58312362,301.66418,10.897663
2.010498,1.5603185,158.67836,3.5824957,-11.797826,-11.619359,9.9014492,-0.59804827,301.68002,11.070025
2.0105982,1.601294,158.69006,4.0194464,-11.986134,-11.886802,9.8988056,-0.61309248,301.69589,11.243213
2.0106981,1.6426576,158.70169,4.4641504,-12.175426,-12.144594,9.8961353,-0.62825066,301.71179,11.417213
2.010798,1.6843954,158.71323,4.9160628,-12.365695,-12.392061,9.8934383,-0.64351678,301.72766,11.592016
2.0108981,1.7264936,158.72467,5.3746142,-12.556926,-12.628535,9.8907146,-0.65888506,301.74353,11.767609
2.010998,1.7689375,158.73602,5.8392129,-12.749107,-12.853354,9.8879671,-0.67434943,301.7594,11.943978
2.0110981,1.8117127,158.74728,6.3092465,-12.942227,-13.065866,9.8851957,-0.68990374,301.77527,12.121113
2.011198,1.8548042,158.75845,6.784081,-13.136273,-13.265422,9.8824015,-0.70554185,301.79114,12.299
2.0112982,1.8981969,158.76955,7.263063,-13.331232,-13.451389,9.8795843,-0.72125757,301.80704,12.477626
2.0113981,1.9418756,158.78053,7.7455206,-13.527092,-13.623145,9.8767471,-0.73704451,301.82291,12.656979
2.0114982,1.9858245,158.79144,8.2307625,-13.72384,-13.780078,9.873889,-0.75289637,301.83878,12.837045
2.0115981,2.0300276,158.80225,8.7180805,-13.921461,-13.921591,9.8710117,-0.76880658,301.85468,13.01781
2.0116982,2.0744696,158.81297,9.2067518,-14.119944,-14.047102,9.8681164,-0.78476876,301.87054,13.199262
2.0117981,2.1191337,158.82359,9.6960363,-14.319273,-14.156046,9.8652039,-0.80077636,301.88641,13.381386
2.011898,2.1640038,158.83412,10.185182,-14.519435,-14.247876,9.8622751,-0.81682277,301.90231,13.564168
2.0119982,2.2090633,158.84457,10.673422,-14.720417,-14.322062,9.8593321,-0.83290136,301.91818,13.747595
2.0120981,2.2542956,158.85492,11.159979,-14.922203,-14.378094,9.8563738,-0.84900552,301.93408,13.931651
2.0121982,2.299684,158.86517,11.644064,-15.124779,-14.415485,9.8534031,-0.86512858,301.94998,14.116322
2.0122981,2.3452115,158.87534,12.12488,-15.32813,-14.433769,9.85042,-0.88126385,301.96585,14.301593
2.0123982,2.390861,158.88539,12.601621,-15.532241,-14.432502,9.8474264,-0.89740461,301.98175,14.48745
2.0124981,2.4366157,158.89536,13.073474,-15.737097,-14.411265,9.8444223,-0.91354412,301.99762,14.673875
2.0125983,2.4824581,158.90524,13.539619,-15.942682,-14.369665,9.8414106,-0.92967564,302.01352,14.860856
2.0126982,2.5283711,158.91501,13.999236,-16.148981,-14.307334,9.8383904,-0.9457925,302.02942,15.048374
2.0127981,2.5743372,158.9247,14.451496,-16.355976,-14.223931,9.8353634,-0.96188796,302.04532,15.236416
2.0128982,2.6203394,158.93428,14.895574,-16.563654,-14.119143,9.8323317,-0.97795534,302.06119,15.424964
2.0129981,2.6663599,158.94377,15.33064,-16.771996,-13.992688,9.8292952,-0.99398786,302.07709,15.614002
2.0130982,2.7123814,158.95317,15.755867,-16.980986,-13.84431,9.8262558,-1.0099789,302.09299,15.803514
2.0131981,2.7583866,158.96246,16.170431,-17.190605,-13.673785,9.8232136,-1.0259217,302.10889,15.993484
2.0132983,2.8043582,158.97166,16.573509,-17.400841,-13.480921,9.8201714,-1.0418098,302.12479,16.183893
2.0133982,2.8502784,158.98076,16.964289,-17.611673,-13.265556,9.8171282,-1.0576365,302.14069,16.374725
2.0134983,2.8961301,158.98976,17.341957,-17.823084,-13.027563,9.8140869,-1.0733953,302.15659,16.565962
2.0135982,2.941896,158.99867,17.705713,-18.035057,-12.766845,9.8110476,-1.0890795,302.17249,16.757589
2.0136983,2.9875586,159.00748,18.054766,-18.247574,-12.48334,9.808012,-1.1046828,302.18839,16.949585
2.0137982,3.0331008,159.01619,18.388332,-18.460615,-12.17702,9.8049812,-1.1201987,302.20428,17.141933
2.0138981,3.0785058,159.0248,18.705643,-18.674164,-11.847891,9.8019562,-1.1356211,302.22018,17.334618
2.0139983,3.1237557,159.03329,19.005941,-18.888201,-11.495994,9.7989368,-1.1509433,302.23608,17.527618
2.0140982,3.1688342,159.04172,19.288483,-19.102707,-11.121405,9.7959261,-1.1661592,302.25201,17.720915
2.0141983,3.2137244,159.05002,19.552544,-19.317665,-10.724236,9.7929249,-1.1812626,302.26791,17.914492
2.0142982,3.2584095,159.05823,19.797417,-19.533052,-10.304633,9.7899332,-1.1962476,302.28381,18.10833
2.0143983,3.3028729,159.06635,20.022408,-19.748854,-9.8627787,9.786953,-1.211108,302.29971,18.302408
2.0144982,3.3470981,159.07436,20.226849,-19.965046,-9.3988924,9.7839851,-1.2258379,302.31561,18.49671
2.0145984,3.3910687,159.08226,20.410089,-20.181612,-8.913228,9.7810297,-1.2404315,302.33154,18.691214
2.0146983,3.4347692,159.09007,20.571503,-20.398531,-8.4060755,9.7780895,-1.2548832,302.34744,18.885902
2.0147982,3.4781826,159.09778,20.710489,-20.615782,-7.8777623,9.7751646,-1.2691867,302.36334,19.080755
2.0148983,3.5212934,159.10539,20.826466,-20.833347,-7.328649,9.7722569,-1.2833368,302.37927,19.275753
2.0149982,3.5640864,159.1129,20.91888,-21.051205,-6.7591329,9.7693663,-1.297328,302.39517,19.470875
2.0150983,3.6065462,159.1203,20.987209,-21.269335,-6.1696458,9.7664938,-1.3111548,302.4111,19.666103
2.0151982,3.6486573,159.12761,21.030954,-21.487717,-5.5606556,9.7636414,-1.3248121,302.427,19.861416
2.0152984,3.6904049,159.13481,21.049644,-21.706329,-4.9326634,9.7608089,-1.3382946,302.4429,20.056795
2.0153983,3.7317743,159.14192,21.042843,-21.925152,-4.2862053,9.7579985,-1.3515973,302.45883,20.252218
2.0154984,3.7727506,159.14891,21.010141,-22.144165,-3.621851,9.7552109,-1.364715,302.47473,20.447666
2.0155983,3.8133197,159.15582,20.951166,-22.363346,-2.9402034,9.7524471,-1.3776429,302.49066,20.643118
2.0156984,3.8534675,159.16261,20.865574,-22.582674,-2.2418971,9.7497072,-1.3903763,302.50659,20.838556
2.0157983,3.8931806,159.16931,20.753054,-22.802128,-1.5275992,9.7469931,-1.4029107,302.52249,21.033957
2.0158982,3.932445,159.1759,20.613331,-23.021687,-0.79800791,9.7443047,-1.4152415,302.53842,21.2293
2.0159984,3.9712481,159.1824,20.446169,-23.241329,-0.053851705,9.7416439,-1.4273645,302.55432,21.424564
2.0160983,4.0095763,159.18878,20.251362,-23.461033,0.70411056,9.7390118,-1.439275,302.57025,21.619734
2.0161984,4.0474167,159.19508,20.028744,-23.680779,1.4750915,9.7364082,-1.4509691,302.58618,21.814783
2.0162983,4.0847569,159.20126,19.778183,-23.900545,2.2582762,9.7338343,-1.4624426,302.60208,22.009691
2.0163984,4.1215854,159.20735,19.49959,-24.120308,3.0528228,9.7312918,-1.4736919,302.61801,22.204441
2.0164983,4.1578898,159.21333,19.192907,-24.340046,3.8578634,9.7287807,-1.4847132,302.63394,22.399012
2.0165985,4.1936588,159.21922,18.85812,-24.55974,4.6725049,9.7263012,-1.4955028,302.64987,22.593378
2.0166984,4.2288814,159.22499,18.495253,-24.779366,5.4958301,9.723856,-1.5060573,302.66577,22.787523
2.0167985,4.263546,159.23067,18.104366,-24.998903,6.3268995,9.7214441,-1.5163729,302.6817,22.981424
2.0168984,4.2976418,159.23625,17.685564,-25.218332,7.1647515,9.7190666,-1.5264468,302.69763,23.175064
2.0169983,4.3311591,159.24173,17.238983,-25.437628,8.0084047,9.7167253,-1.5362757,302.71356,23.368418
2.0170984,4.3640876,159.2471,16.764811,-25.656771,8.8568592,9.7144194,-1.5458568,302.72949,23.561466
2.0171983,4.3964181,159.25238,16.263262,-25.875738,9.709096,9.7121506,-1.5551872,302.74539,23.75419
2.0172985,4.4281406,159.25754,15.734599,-26.094511,10.564079,9.7099199,-1.5642643,302.76132,23.946568
2.0173984,4.4592466,159.26262,15.179124,-26.313065,11.420759,9.7077265,-1.5730853,302.77725,24.138577
2.0174985,4.489727,159.26758,14.597177,-26.531378,12.27807,9.7055721,-1.5816479,302.79318,24.3302
2.0175984,4.5195732,159.27245,13.989137,-26.749432,13.134937,9.7034569,-1.5899497,302.80911,24.521416
2.0176985,4.5487776,159.27722,13.355424,-26.967203,13.990273,9.7013826,-1.5979888,302.82504,24.712204
2.0177984,4.5773325,159.28188,12.696494,-27.184671,14.842978,9.6993484,-1.6057631,302.84097,24.902544
2.0178983,4.6052303,159.28645,12.012847,-27.401815,15.691948,9.6973553,-1.6132708,302.8569,25.092415
2.0179985,4.6324644,159.29091,11.305017,-27.618612,16.536072,9.6954031,-1.6205101,302.87283,25.281799
2.0180984,4.6590271,159.29527,10.573576,-27.835043,17.374231,9.6934938,-1.6274792,302.88876,25.470675
2.0181985,4.6849132,159.29955,9.8191366,-28.051088,18.205305,9.6916275,-1.6341769,302.90469,25.659021
2.0182984,4.7101154,159.30371,9.042346,-28.266724,19.028172,9.6898041,-1.6406016,302.92062,25.846821
2.0183985,4.7346292,159.30777,8.243886,-28.48193,19.841707,9.6880245,-1.6467524,302.93655,26.034054
2.0184984,4.7584491,159.31174,7.4244781,-28.696686,20.644789,9.6862888,-1.6526281,302.95248,26.220699
2.0185986,4.78157,159.3156,6.5848746,-28.910975,21.4363,9.684597,-1.6582278,302.96841,26.406738
2.0186985,4.8039861,159.31937,5.7258644,-29.124771,22.21512,9.68295,-1.6635506,302.98434,26.592154
2.0187986,4.8256941,159.32303,4.848269,-29.338057,22.980145,9.6813488,-1.6685959,303.00027,26.776926
2.0188985,4.8466897,159.3266,3.9529412,-29.550814,23.730268,9.6797934,-1.6733631,303.0162,26.961033
2.0189984,4.8669691,159.33008,3.0407662,-29.76302,24.464397,9.6782827,-1.6778518,303.03214,27.144461
2.0190985,4.8865294,159.33345,2.112659,-29.974655,25.18145,9.6768188,-1.6820617,303.0481,27.327188
2.0191984,4.9053669,159.33672,1.1695644,-30.185703,25.880356,9.6754017,-1.6859927,303.06403,27.509197
2.0192986,4.9234796,159.3399,0.21245511,-30.396141,26.560057,9.6740303,-1.6896448,303.07996,27.69047
2.0193985,4.9408641,159.34297,-0.75766826,-30.605951,27.219509,9.6727066,-1.6930177,303.09589,27.870989
2.0194986,4.9575186,159.34596,-1.7397801,-30.815117,27.857687,9.6714296,-1.696112,303.11182,28.050735
2.0195985,4.9734416,159.34885,-2.7328296,-31.023615,28.473583,9.6702003,-1.6989278,303.12775,28.229694
2.0196986,4.9886312,159.35164,-3.7357426,-31.23143,29.066212,9.6690187,-1.7014655,303.14368,28.407845
2.0197985,5.0030866,159.35432,-4.7474222,-31.438543,29.634602,9.6678839,-1.7037257,303.15964,28.585173
2.0198984,5.0168071,159.35693,-5.7667518,-31.644936,30.177811,9.6667976,-1.7057091,303.17557,28.76166
2.0199986,5.0297914,159.35944,-6.792594,-31.850592,30.694918,9.6657591,-1.7074164,303.1915,28.93729
2.0200984,5.0420394,159.36183,-7.8237929,-32.055489,31.185028,9.6647692,-1.7088484,303.20743,29.112047
2.0201986,5.0535512,159.36415,-8.8591766,-32.259617,31.647268,9.6638269,-1.710006,303.22339,29.285915
2.0202985,5.0643272,159.36636,-9.8975601,-32.462952,32.080803,9.6629324,-1.7108903,303.23932,29.458876
2.0203986,5.074368,159.36848,-10.937739,-32.665478,32.484818,9.6620874,-1.7115027,303.25525,29.630917
2.0204985,5.083674,159.37053,-11.978504,-32.867184,32.858532,9.6612892,-1.7118442,303.27118,29.802021
2.0205986,5.0922465,159.37245,-13.018628,-33.068047,33.201195,9.6605406,-1.7119162,303.28714,29.972174
2.0206985,5.1000867,159.3743,-14.056879,-33.268055,33.512093,9.6598396,-1.7117202,303.30307,30.141359
2.0207987,5.1071963,159.37605,-15.092015,-33.46719,33.790539,9.6591864,-1.7112577,303.319,30.309563
2.0208986,5.1135774,159.37772,-16.122791,-33.665432,34.035889,9.6585817,-1.7105304,303.33493,30.476772
2.0209985,5.1192317,159.37929,-17.147953,-33.862774,34.247532,9.6580257,-1.7095399,303.35089,30.642971
2.0210986,5.1241617,159.38077,-18.16625,-34.0592,34.424889,9.6575174,-1.708288,303.36682,30.808146
2.0211985,5.1283708,159.38214,-19.176424,-34.254688,34.567432,9.6570568,-1.7067767,303.38275,30.972284
2.0212986,5.1318603,159.38344,-20.177219,-34.449226,34.67466,9.6566448,-1.7050079,303.39868,31.135372
2.0213985,5.134634,159.38464,-21.167383,-34.642807,34.746117,9.6562805,-1.7029835,303.41464,31.297396
2.0214987,5.1366949,159.38576,-22.145668,-34.835407,34.781384,9.6559629,-1.7007058,303.43057,31.458342
2.0215986,5.1380467,159.3868,-23.110828,-35.027016,34.780094,9.655694,-1.6981767,303.4465,31.6182
2.0216987,5.1386933,159.38773,-24.061626,-35.217621,34.741909,9.6554708,-1.6953987,303.46246,31.776957
2.0217986,5.1386385,159.38858,-24.996834,-35.407207,34.666542,9.6552963,-1.692374,303.47839,31.934601
2.0218987,5.137886,159.38934,-25.915234,-35.595768,34.553749,9.6551676,-1.689105,303.49432,32.091122
2.0219986,5.1364403,159.39001,-26.815615,-35.783279,34.403324,9.6550865,-1.6855941,303.51028,32.246506
2.0220985,5.134306,159.39061,-27.696789,-35.969738,34.215115,9.6550512,-1.6818436,303.52621,32.400742
2.0221987,5.1314869,159.39111,-28.557575,-36.155128,33.98901,9.6550627,-1.6778563,303.54214,32.553822
2.0222986,5.1279888,159.39153,-29.396812,-36.339439,33.724941,9.6551199,-1.6736345,303.55811,32.70573
2.0223987,5.1238165,159.39186,-30.213358,-36.522663,33.422886,9.6552229,-1.6691812,303.57404,32.856464
2.0224986,5.1189742,159.39211,-31.006088,-36.704781,33.082874,9.6553717,-1.6644988,303.58997,33.006008
2.0225987,5.1134682,159.39227,-31.773897,-36.885784,32.704979,9.6555653,-1.65959,303.6059,33.15435
2.0226986,5.1073036,159.39235,-32.515709,-37.065666,32.28931,9.6558037,-1.6544576,303.62186,33.301491
2.0227988,5.1004853,159.39235,-33.230469,-37.244415,31.83604,9.6560869,-1.6491045,303.63779,33.447414
2.0228987,5.0930195,159.39226,-33.917145,-37.422016,31.345377,9.656414,-1.6435333,303.65372,33.59211
2.0229986,5.0849123,159.39209,-34.574734,-37.598465,30.817579,9.656786,-1.637747,303.66968,33.735573
2.0230987,5.076169,159.39185,-35.202263,-37.773754,30.252949,9.6572008,-1.6317487,303.68561,33.877796
