"Time","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","PI.x","loadInertia.w","aimc.airGap.V_mrr.re","aimc.airGap.V_mrr.im","aimc.stator.port_p.V_m.im","aimc.airGap.V_msr.re","aimc.is[2]","aimc.stator.core.Phi.im","aimc.stator.core.Phi.re","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","powerSensor.flange_a.phi","aimc.is[1]","aimc.stator.port_p.V_m.re","aimc.airGap.V_msr.im"
4.5085979,1.1275983,7.3192692,157.03795,0.18174177,-0.15346138,0.97463953,4.9065061,-2.7809029,-0.16820873,-1.7909366,1.3494443,708.03778,8.2147474,7.8903422,6.2556872
4.508698,1.127588,7.4768729,157.03786,0.18182538,-0.15350321,1.2220908,4.906373,-2.5319147,-0.22438148,-1.7847691,1.349453,708.05347,8.16255,7.855803,6.2557693
4.5087981,1.1275778,7.6358175,157.03777,0.18191071,-0.15354627,1.4683361,4.9062386,-2.2804244,-0.28033274,-1.77684,1.3494616,708.06915,8.1022902,7.8135052,6.2558532
4.5088978,1.1275675,7.7960916,157.03767,0.18199775,-0.15359065,1.7131321,4.9061022,-2.0266805,-0.33600736,-1.7671573,1.3494703,708.08484,8.0340281,7.7634902,6.2559381
4.5089979,1.1275573,7.9576845,157.03758,0.1820865,-0.15363628,1.9562372,4.9059639,-1.7709336,-0.39135033,-1.7557307,1.3494788,708.10059,7.95783,7.7058067,6.2560244
4.5090981,1.127547,8.1205845,157.03748,0.18217696,-0.15368319,2.1974111,4.9058242,-1.5134363,-0.44630706,-1.7425712,1.3494875,708.11627,7.8737721,7.6405125,6.2561116
4.5091982,1.1275368,8.2847815,157.03738,0.18226914,-0.15373135,2.4364154,4.9056826,-1.2544428,-0.50082332,-1.7276921,1.3494961,708.13196,7.7819371,7.5676713,6.2562008
4.5092978,1.1275265,8.4502649,157.03729,0.18236303,-0.15378074,2.6730142,4.905539,-0.99420875,-0.55484527,-1.7111079,1.3495048,708.14771,7.682415,7.4873548,6.2562909
4.509398,1.1275163,8.6170225,157.03719,0.18245867,-0.15383139,2.9069736,4.9053936,-0.73299134,-0.60831964,-1.6928349,1.3495135,708.16339,7.5753045,7.3996429,6.2563825
4.5094981,1.1275059,8.7850447,157.03709,0.18255605,-0.15388332,3.1380625,4.9052463,-0.47104836,-0.66119367,-1.6728911,1.3495221,708.17908,7.4607105,7.3046212,6.2564754
