"time","smee.excitation.electroMagneticConverter.Phi.re","smee.inertiaRotor.phi","smee.inertiaRotor.w","smee.is[1]","smee.is[2]","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im"
0.34035000000000004,-0.21278935303733723,38.818095116349966,157.1281221939486,-92.097349635451167,43.674219850111449,-0.21308471430799183,-0.36412920296145945,0.4472766455904611,0.058160311347051491
0.34040000000000004,-0.21279568240948452,38.825951469074113,157.12598719207762,-92.039605254392626,42.384175356656932,-0.21309138718487539,-0.36412491611601061,0.44630738402931935,0.065177086895284522
0.34045000000000003,-0.21280200718321982,38.833807715110957,157.12385470855776,-91.958737822139781,41.083406827917067,-0.21309804824440179,-0.36412063779834675,0.44522803317327214,0.072177757205766552
0.34050000000000002,-0.21280832722425297,38.841663854587516,157.12172478718796,-91.854762996892092,39.772242033855086,-0.21310469735688398,-0.36411636809380549,0.44403886078474941,0.079160594890591879
0.34055000000000002,-0.21281464239861866,38.849519887632951,157.11959747163732,-91.727692802069768,38.451006186091803,-0.21311133439311203,-0.36411210708738545,0.44274015759479546,0.08612387686535479
0.34060000000000001,-0.21282095257269373,38.857375814378663,157.11747280543912,-91.577555812491198,37.120033192658326,-0.21311795922437363,-0.36410785486372893,0.44133224597086551,0.093065885023217484
0.34065000000000001,-0.21282725761319071,38.865231634958199,157.11535083199297,-91.404385318457159,35.779658917365744,-0.21312457172244506,-0.36410361150712922,0.4398154746963544,0.099984906519478237
0.3407,-0.21283355738716106,38.873087349507287,157.1132315945641,-91.208220142496316,34.430221542511759,-0.2131311717595944,-0.3640993771015289,0.43819021924379559,0.1068792342102062
0.34075,-0.21283985176199802,38.880942958163807,157.11111513628225,-90.989105405203233,33.072061924669399,-0.21313775920858377,-0.36409515173051754,0.43645688201274874,0.11374716707853537
0.34079999999999999,-0.21284614060543069,38.888798461067786,157.10900150014413,-90.747081222625567,31.705517894629722,-0.21314433394266138,-0.36409093547733867,0.43461588739809914,0.12058701015262691
0.34085000000000004,-0.2128524237855452,38.896653858361404,157.10689072900558,-90.48220835400852,30.330936892163653,-0.21315089583558686,-0.36408672842486883,0.43266769269485122,0.12739707607792972
0.34090000000000004,-0.21285870117077299,38.904509150188971,157.10478286558632,-90.194548798012448,28.948666249795885,-0.21315744476161524,-0.36408253065563156,0.43061277964566208,0.13417568466733157
0.34095000000000003,-0.21286497262989684,38.91236433669696,157.1026779524675,-89.884171022605145,27.559055691011189,-0.21316398059550395,-0.36407834225179075,0.42845165657414991,0.14092116355718406
0.34100000000000003,-0.21287123803205193,38.92021941803393,157.10057603209171,-89.551148269631639,26.162456512737741,-0.21317050321251313,-0.36407416329515141,0.4261848575399847,0.14763184849126634
0.34105000000000002,-0.21287749724672322,38.928074394350581,157.09847714676411,-89.195551751097028,24.759218565050599,-0.21317701248840143,-0.36406999386716327,0.42381293933537562,0.15430608321170594
0.34110000000000001,-0.21288375014376298,38.935929265799722,157.0963813386459,-88.817471123134482,23.349698968946534,-0.21318350829944649,-0.36406583404890336,0.42133649006322454,0.1609422214589078
0.34115000000000001,-0.21288999659338065,38.94378403253625,157.0942886497584,-88.416997747316742,21.934254824732157,-0.2131899905224317,-0.36406168392108779,0.41875612186088768,0.16753862608440856
0.3412,-0.21289623646614847,38.951638694717204,157.09219912198094,-87.994229389976965,20.513245136455716,-0.21319645903465215,-0.36405754356406678,0.41607247275977705,0.1740936698273603
0.34125,-0.2129024696330015,38.959493252501666,157.09011279705115,-87.549266846203537,19.087029495484995,-0.21320291371391364,-0.36405341305782529,0.41328620510847491,0.18060573534679208
0.34129999999999999,-0.21290869596523845,38.967347706050809,157.08802971656488,-87.08221234619981,17.655967406154936,-0.21320935443853301,-0.36404929248198381,0.41039800476718946,0.18707321545589664
0.34135000000000004,-0.21291491533453494,38.975202055527916,157.08594992197115,-86.593183833438928,16.220423384863583,-0.21321578108735317,-0.364045181915785,0.40740858696342269,0.19349451510104015
