"Time","rectifier.thyristor_p2.off","pulse2.twoPulse.timerPositive[1].entryTime","rectifier.thyristor_n1.off","meanCurrent.y","meanVoltage.y","dcpm.inertiaRotor.phi","inductor.i","pulse2.twoPulse.filter[1].transferFunction[2].x_scaled[1]","rootMeanSquareVoltage.mean.x","dcpm.inertiaRotor.w","meanVoltage.x","rootMeanSquareVoltage.mean.y","pulse2.twoPulse.filter[1].transferFunction[1].x_scaled[1]","rectifier.thyristor_n2.off","rectifier.thyristor_p1.off","pulse2.twoPulse.filter[1].firstOrder.y","meanCurrent.x","lMains.i","pulse2.twoPulse.timerNegative[1].entryTime"
2.4555926,0,2.440042,0,99.885269,96.427017,350.34274,101.87726,0.57702696,74.125023,143.6109,0.55891311,12079.05,3.1217844,1,1,-133.33934,0.53698349,-101.88033,2.450042
2.4557927,0,2.440042,0,99.885269,96.427017,350.37146,102.55342,1.5915188,78.765472,143.61278,0.58937865,12079.05,2.1185315,1,1,-135.57803,0.5574286,-102.55644,2.450042
2.4559927,0,2.440042,0,99.885269,96.427017,350.40018,103.19993,2.5982485,83.260185,143.61522,0.61936182,12079.05,1.1082762,1,1,-137.26678,0.57800609,-103.2029,2.450042
2.4561927,0,2.440042,0,99.885269,96.427017,350.42892,103.80964,3.5931728,87.576752,143.61821,0.64874458,12079.05,0.095096774,1,1,-138.40088,0.59870934,-103.81255,2.450042
2.4563928,0,2.440042,0,99.885269,96.427017,350.45764,104.37558,4.5723104,91.685577,143.62167,0.67741132,12079.05,-0.91693097,1,1,-138.97757,0.61953026,-104.37841,2.450042
2.4565926,0,2.440042,0,99.885269,96.427017,350.48636,104.89094,5.5317564,95.560341,143.62561,0.70524925,12079.05,-1.9237483,1,1,-138.99611,0.64045948,-104.89368,2.450042
2.4567926,0,2.440042,0,99.885269,96.427017,350.51511,105.34909,6.4676933,99.178383,143.62997,0.73214883,12079.05,-2.9213276,1,1,-138.45775,0.66148615,-105.35173,2.450042
2.4569926,0,2.440042,0,99.885269,96.427017,350.54382,105.74367,7.3764081,102.52111,143.63467,0.75800431,12079.05,-3.9056878,1,1,-137.36583,0.68259817,-105.7462,2.450042
2.4571927,0,2.440042,0,99.885269,96.427017,350.57254,106.06855,8.2543039,105.57426,143.63969,0.78271389,12079.05,-4.8729081,1,1,-135.72569,0.70378226,-106.07096,2.450042
2.4573927,0,2.440042,0,99.885269,96.427017,350.60129,106.31788,9.0979118,108.32812,143.64496,0.80618048,12079.05,-5.8191433,1,1,-133.54475,0.72502393,-106.32016,2.450042
2.4575927,0,2.440042,0,99.885269,96.427017,350.63,106.48612,9.9039078,110.77768,143.65041,0.8283118,12079.05,-6.7406368,1,1,-130.83243,0.74630737,-106.48827,2.450042
2.4577928,0,2.440042,0,99.885269,96.427017,350.65875,106.56805,10.66912,112.92271,143.65594,0.8490209,12079.05,-7.6337366,1,1,-127.60016,0.76761591,-106.57004,2.450042
2.4579928,0,2.440042,0,99.885269,96.427017,350.68747,106.55878,11.390542,114.76778,143.66153,0.86822641,12079.05,-8.4949064,1,1,-123.86134,0.78893185,-106.56062,2.450042
2.4581928,0,2.440042,0,99.885269,96.427017,350.71622,106.4538,12.065348,116.32218,143.66705,0.88585293,12079.05,-9.3207417,1,1,-119.63132,0.81023639,-106.45548,2.450042
2.4583929,0,2.440042,0,99.885269,96.427017,350.74496,106.24899,12.690895,117.59976,143.67245,0.90183121,12079.05,-10.10798,1,1,-114.92728,0.83151007,-106.2505,2.450042
2.4585929,0,2.440042,0,99.885269,96.427017,350.77368,105.94061,13.264743,118.61872,143.67764,0.91609865,12079.05,-10.853518,1,1,-109.76824,0.85273242,-105.94194,2.450042
2.4587929,0,2.440042,0,99.885269,96.427017,350.80243,105.52531,13.784656,119.40131,143.68251,0.9285993,12079.05,-11.554414,1,1,-104.17496,0.87388253,-105.52647,2.450042
2.458993,0,2.440042,0,99.885269,96.427017,350.83118,105.00024,14.248612,119.97348,143.68698,0.93928427,12079.05,-12.207912,1,1,-98.169884,0.89493859,-105.00121,2.450042
