"time","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imc.stator.zeroInductor.i0","imcQS.rotorCage.port_p.reference.gamma","loadInertia.phi","loadInertia.w","loadInertiaQS.phi","loadInertiaQS.w"
1.21685,0.087208495717433526,0.064170235520135996,0.15637851914315348,-0.18780306955317164,-1.6151180565679538e-14,266.52629559628622,55.24964556839447,96.668850402394114,57.879203227904107,99.876885147227313
1.2169000000000001,0.086821682252800084,0.064700493891188746,0.15930838316707674,-0.18532377740659448,-1.5427555198819847e-14,266.53201570055757,55.254479097789016,96.672325360407768,57.884197157402454,99.880294762677977
1.21695,0.086431667297810086,0.06522839072626542,0.16219894635157348,-0.18279878398571389,-1.0152704340336864e-14,266.53773546387424,55.259312800927994,96.675800179844828,57.889191257378052,99.883704238288942
1.2170000000000001,0.086038465447628207,0.065753906829479639,0.16504949418968465,-0.18022870945277641,-5.4809685619541693e-15,266.54345488625046,55.26414667780449,96.679274860700957,57.894185527823964,99.887113574054013
1.21705,0.08564209141405256,0.066277023098174431,0.16785932313812502,-0.17761418688671884,-3.5484194951538948e-15,266.54917396770009,55.268980728411542,96.682749402971822,57.899179968733129,99.890522769967049
1.2171000000000001,0.085242560026458997,0.066797720524853318,0.1706277414827915,-0.17495586326892337,-1.4583834379316142e-15,266.55489270823699,55.273814952742256,96.686223806653103,57.904174580098619,99.893931826021841
1.21715,0.084839886225072908,0.067315980192910213,0.17335406675817758,-0.17225439474639895,3.2407918442033602e-16,266.56061110787533,55.278649350789678,96.689698071740466,57.909169361913392,99.897340742212236
1.2172000000000001,0.084434085062804851,0.067831783279262661,0.17603762700944695,-0.16951044827622938,1.1846724098468745e-15,266.56632916662909,55.283483922546914,96.693172198229618,57.914164314170506,99.900749518532066
1.2172500000000002,0.084025171704723595,0.068345111055042082,0.17867776098607702,-0.16672470149607976,3.4548781823301963e-16,266.5720468845123,55.288318668006994,96.696646186116183,57.919159436862941,99.904158154975107
1.2173,0.083613161423189197,0.068855944882590336,0.18127381603416906,-0.16389783948569642,-4.3707404749756625e-16,266.57776426153873,55.29315358716299,96.700120035395841,57.924154729983677,99.907566651535234
1.2173500000000002,0.083198069602094138,0.069364266220282647,0.18382515083717496,-0.16103055807785821,1.11666452708465e-16,266.58348129772253,55.297988680008011,96.703593746064271,57.929150193525771,99.910975008206208
1.2174,0.082779911740444051,0.069870056626762281,0.18633113779955351,-0.15812356668713026,1.8938165878032212e-16,266.58919799307762,55.302823946535071,96.707067318117112,57.934145827482176,99.914383224981876
1.2174500000000001,0.082358703444255971,0.070373297755164543,0.18879115921926873,-0.15517758274812324,-3.5849448959118463e-16,266.59491434761804,55.307659386737299,96.71054075155007,57.939141631845935,99.917791301856042
1.2175,0.081934460428647035,0.070873971356055041,0.19120460887347038,-0.15219333346641348,-1.6936725861344951e-15,266.60063036135779,55.31249500060769,96.714014046358756,57.944137606610028,99.92119923882251
1.2175500000000001,0.081507198517255339,0.071372059278132241,0.19357089219910281,-0.14917155567101931,-3.9838195841259463e-15,266.60634603431095,55.317330788139394,96.717487202538905,57.949133751767484,99.924607035875127
