"Time","inertia2.phi","inertia2.w","damper.phi_rel","damper.w_rel","springDamper.phi_rel","springDamper.w_rel","inertia3.phi","inertia3.w","elastoBacklash.phi_rel","elastoBacklash.w_rel","bearingFriction.mode","clutch.phi_rel","clutch.w_rel","clutch.mode","brake.mode","lossyGear.mode","gear2_1.phi_rel","gear2_1.w_rel","gear2_1.lossyGear.mode","inertia8.phi","inertia8.w","position.phi","position.w","speed.phi","speed.w","accelerate.phi","accelerate.w","inertia13.phi","inertia13.w","inertia14.phi","inertia14.w","inertia15.phi","coupling.w","coupling.tau"
0.0027000001,4.0893653e-09,4.7120352e-06,-3.8150097e-07,-0.00025275437,4.4650753e-07,0.00030877281,0.022853136,1.9998844,-3.9128281e-06,-0.0028598309,1,-2.6967138e-13,-1e-10,0,1,2,0,0,0,0,0,0.0020825092,1.9695357,5.3058352e-06,0.0055278921,2.0611843e-08,2.2901664e-05,6.8706143e-09,7.6338874e-06,2.6730002e-05,0.0198,0.0297,0.54000002,400
0.00288,4.9990714e-09,5.4041652e-06,-4.2777791e-07,-0.00026118421,5.0339412e-07,0.00032311425,0.023213115,1.9998769,-4.4437816e-06,-0.0030393151,1,-2.8767139e-13,-1e-10,0,1,2,0,0,0,0,0,0.0024534187,2.1515689,6.3598659e-06,0.0061880113,2.5015062e-08,2.6056918e-05,8.338354e-09,8.6856389e-06,3.0412803e-05,0.021120001,0.031679999,0.57599998,400
0.00306,6.0378653e-09,6.1463343e-06,-4.7543509e-07,-0.00026807716,5.6275979e-07,0.00033630835,0.023573091,1.9998693,-5.0068556e-06,-0.0032166997,1,-3.056714e-13,-1e-10,0,1,2,0,0,0,0,0,0.0028569947,2.3323631,7.535069e-06,0.0068740072,3.0004546e-08,2.9415713e-05,1.0001515e-08,9.8052378e-06,3.4333203e-05,0.02244,0.033659998,0.61199999,400
0.00324,7.2147435e-09,6.93839e-06,-5.2418886e-07,-0.00027335581,6.2439278e-07,0.00034829639,0.023933066,1.999862,-5.6016606e-06,-0.0033918691,1,-3.236714e-13,-1e-10,0,1,2,0,0,0,0,0,0.0032929473,2.5111842,8.8359739e-06,0.0075844559,3.5616932e-08,3.2978045e-05,1.187231e-08,1.0992682e-05,3.8491202e-05,0.02376,0.035640001,0.648,400
0.00342,8.5386587e-09,7.7800159e-06,-5.7374183e-07,-0.00027694489,6.8807077e-07,0.00035902124,0.024293041,1.9998546,-6.2277886e-06,-0.0035647096,1,-3.4167138e-13,-1e-10,0,1,2,0,0,0,0,0,0.0037608617,2.687393,1.0266858e-05,0.0083180116,4.1888853e-08,3.6743913e-05,1.3962952e-08,1.2247971e-05,4.2886801e-05,0.025079999,0.037620001,0.68400002,400
0.0035999999,1.0018493e-08,8.670725e-06,-6.2378331e-07,-0.00027877113,7.5356132e-07,0.00036842737,0.024653014,1.9998472,-6.8848099e-06,-0.0037351102,1,-3.5967139e-13,-1e-10,0,1,2,0,0,0,0,0,0.0042602159,2.8604379,1.1831767e-05,0.0090734037,4.885695e-08,4.0713308e-05,1.628565e-08,1.3571102e-05,4.7520003e-05,0.0264,0.0396,0.72000003,400
0.0037799999,1.1663023e-08,9.6098547e-06,-6.7398946e-07,-0.00027876356,8.2062229e-07,0.00037646078,0.025012987,1.9998399,-7.5722755e-06,-0.0039029615,1,-3.7767139e-13,-1e-10,0,1,2,0,0,0,0,0,0.0047903978,3.0298474,1.353452e-05,0.0098494282,5.6557855e-08,4.4886223e-05,1.8852619e-08,1.4962075e-05,5.2390802e-05,0.027720001,0.041579999,0.75599998,400
0.0039599999,1.3480894e-08,1.0596566e-05,-7.2402554e-07,-0.00027686704,8.8900288e-07,0.00038307958,0.025372956,1.9998325,-8.2897186e-06,-0.0040681777,1,-3.956714e-13,-1e-10,0,1,2,0,0,0,0,0,0.0053507164,3.1952226,1.537873e-05,0.010644951,6.5028203e-08,4.926266e-05,2.1676067e-08,1.6420887e-05,5.7499201e-05,0.029039999,0.043559998,0.792,400
0.0041399999,1.5480587e-08,1.162991e-05,-7.7357112e-07,-0.00027326494,9.5846315e-07,0.00038842054,0.025732925,1.9998252,-9.0366957e-06,-0.0042310301,1,-4.136714e-13,-1e-10,0,1,2,0,0,0,0,0,0.0059404131,3.3562312,1.7367805e-05,0.011458897,7.4304623e-08,5.3842607e-05,2.4768209e-08,1.7947536e-05,6.2845204e-05,0.03036,0.045540001,0.82800001,400
0.0043199998,1.7670404e-08,1.2708832e-05,-8.2232128e-07,-0.00026812279,1.0287746e-06,0.00039260718,0.026092894,1.9998181,-9.8127821e-06,-0.0043917615,1,-4.3167138e-13,-1e-10,0,1,2,0,0,0,0,0,0.0065586781,3.5126009,1.9504974e-05,0.012290251,8.4423753e-08,5.8626061e-05,2.8141251e-08,1.954202e-05,6.8428802e-05,0.031679999,0.04752,0.86400002,400
0.0043697101,1.8309748e-08,1.3014682e-05,-8.3560764e-07,-0.00026643803,1.0483147e-06,0.00039356493,0.026192304,1.9998161,-1.0032189e-05,-0.004435786,1,-4.3664239e-13,-1e-10,0,1,2,0,0,0,0,0,0.0067343428,3.5549369,2.0121697e-05,0.012522782,8.737171e-08,5.9982951e-05,2.9123903e-08,1.9994317e-05,7.0012677e-05,0.032044541,0.04806681,0.87394202,400
0.0043697101,1.8309748e-08,1.3014682e-05,-8.3560764e-07,-0.00026643803,1.0483147e-06,0.00039356493,0.026192304,1.9998161,-1.0032189e-05,-0.004435786,1,-4.3664239e-13,-1e-10,0,1,2,0,0,0,0,0,0.0067343428,3.5549369,2.0121697e-05,0.012522782,8.737171e-08,5.9982951e-05,2.9123903e-08,1.9994317e-05,7.0012677e-05,0.032044541,0.04806681,0.87394202,400
0.0044999998,2.0058538e-08,1.3832228e-05,-8.7000632e-07,-0.00026151096,1.099735e-06,0.00039569163,0.02645286,1.9998108,-1.0617608e-05,-0.0045504733,1,-4.4967139e-13,-1e-10,0,1,2,0,0,0,0,0,0.0072046453,3.6641114,2.1793318e-05,0.013138046,9.5422664e-08,6.3613013e-05,3.1807556e-08,2.1204338e-05,7.4250005e-05,0.033,0.0495,0.89999998,400
0.0046799998,2.2653392e-08,1.49988e-05,-9.1634257e-07,-0.00025335906,1.1711315e-06,0.00039762037,0.026812825,1.9998037,-1.1450782e-05,-0.0047070533,1,-4.6767137e-13,-1e-10,0,1,2,0,0,0,0,0,0.007877362,3.8105888,2.4235882e-05,0.014001318,1.0734042e-07,6.8803463e-05,3.578014e-08,2.2934488e-05,8.0308804e-05,0.034320001,0.051479999,0.93599999,400
0.0048600002,2.5462287e-08,1.6207217e-05,-9.610585e-07,-0.00024362862,1.2427604e-06,0.00039836392,0.027172789,1.9997965,-1.2311928e-05,-0.0048614377,1,-4.856714e-13,-1e-10,0,1,2,0,0,0,0,0,0.0085759452,3.9519188,2.683526e-05,0.014879255,1.2021218e-07,7.41974e-05,4.0070727e-08,2.4732466e-05,8.66052e-05,0.035640001,0.053459998,0.972,400
0.0050400002,2.8492252e-08,1.7456037e-05,-1.0038818e-06,-0.00023230079,1.3144171e-06,0.00039790754,0.027532753,1.9997895,-1.3200666e-05,-0.0050135911,1,-5.0367138e-13,-1e-10,0,1,2,0,0,0,0,0,0.0092995064,4.0880222,2.9593884e-05,0.015771085,1.3407281e-07,7.9794809e-05,4.4690935e-08,2.6598271e-05,9.3139206e-05,0.036959998,0.055440001,1.008,400
0.0052200002,3.1750144e-08,1.8743694e-05,-1.0445353e-06,-0.00021935781,1.3858933e-06,0.00039623721,0.027892714,1.9997824,-1.4116609e-05,-0.0051634801,1,-5.2167141e-13,-1e-10,0,1,2,0,0,0,0,0,0.010047139,4.2188487,3.2514101e-05,0.016676076,1.4895744e-07,8.5595697e-05,4.9652481e-08,2.85319e-05,9.9910802e-05,0.038279999,0.05742,1.044,400
0.0054000001,3.5242689e-08,2.0068444e-05,-1.0827312e-06,-0.00020478289,1.4569727e-06,0.00039333978,0.028252674,1.9997754,-1.5059351e-05,-0.0053110695,1,-5.3967139e-13,-1e-10,0,1,2,0,0,0,0,0,0.010817904,4.344377,3.5598179e-05,0.017593507,1.6490215e-07,9.160005e-05,5.4967384e-08,3.0533352e-05,0.00010692,0.0396,0.0594,1.08,400
0.0055800001,3.8976715e-08,2.1428268e-05,-1.1181586e-06,-0.00018855976,1.5274214e-06,0.00038920227,0.028612632,1.9997684,-1.6028454e-05,-0.0054563261,1,-5.5767137e-13,-1e-10,0,1,2,0,0,0,0,0,0.011610801,4.4646153,3.8848404e-05,0.018522661,1.8194548e-07,9.7807868e-05,6.0648489e-08,3.260262e-05,0.0001141668,0.040920001,0.061379999,1.1160001,400
