"time","loadInertia3.phi","loadInertia3.w","loadInertiaM.phi","loadInertiaM.w","smr3.is[1]","smr3.is[2]","smr3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smr3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smr3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smr3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smrM.is[1]","smrM.is[2]","smrM.is[3]","smrM.is[4]","smrM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smrM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","vfController3.x","vfControllerM.x"
1.1305000000000001,95.019910321912178,158.15210528095042,95.019910321912178,158.15210528095051,-4.2305521494036356,47.254303626296753,-0.42460099004742763,-0.089210864812600377,0.075387990005360714,-0.4442447760763919,-2.5383312896501415,28.958227044204317,20.43549985686532,-16.328393555522744,-0.42460099004742768,-0.089210864812600307,0.075387990005360325,-0.44424477607639251,198.07741680884979,198.07741680884979
1.1305499999999999,95.027817913924181,158.15157524291317,95.027817913924181,158.15157524291325,-5.049869878924639,47.596000249539998,-0.42461276890298111,-0.089162506736582894,0.082356065891371788,-0.44300568317780531,-3.0299219273626079,28.761536095132893,20.805528802772184,-15.903012141059405,-0.42461276890298116,-0.089162506736582839,0.082356065891371386,-0.44300568317780592,198.0931247721177,198.0931247721177
1.1306,95.035725479440757,158.15104546143641,95.035725479440757,158.1510454614365,-5.8677637029841918,47.92583880266362,-0.42462453541695205,-0.089114172125453056,0.089303817689291354,-0.44165730190784341,-3.5206582217986124,28.557764850146004,21.170327541875729,-15.473782876252885,-0.42462453541695211,-0.089114172125453001,0.089303817689290951,-0.44165730190784402,198.10883273538568,198.10883273538568
1.1306500000000002,95.043633018474637,158.15051593611872,95.043633018474637,158.15051593611881,-6.6840316468176013,48.243741122483407,-0.42463628960266386,-0.089065860966831986,0.096229531447361044,-0.44019996545628248,-4.0104189880911889,28.346965796526089,21.529807328278345,-15.04081309642129,-0.42463628960266392,-0.089065860966831917,0.096229531447360614,-0.44019996545628309,198.12454069865368,198.12454069865368
1.1307,95.051540531038611,158.14998666655953,95.051540531038611,158.14998666655961,-7.498472149632704,48.549631649016561,-0.42464803147342206,-0.089017573248355533,0.10313149863665347,-0.43863403370064807,-4.4990832897800992,28.129192923753031,21.883880592766392,-14.604210911687661,-0.42464803147342212,-0.089017573248355464,0.10313149863665304,-0.43863403370064868,198.14024866192159,198.14024866192159
1.1307500000000001,95.059448017145542,158.14945765235953,95.059448017145542,158.14945765235962,-8.3108836598454801,48.843432649907847,-0.42465976104251379,-0.088969308957673618,0.11000801635763749,-0.43695989061400037,-4.9865301959080313,27.904498785107229,22.232458884138186,-14.164083541233994,-0.42465976104251391,-0.088969308957673535,0.11000801635763706,-0.43695989061400092,198.15595662518956,198.15595662518956
1.1308,95.067355476808103,158.14892889312026,95.067355476808103,158.14892889312034,-9.12106592398505,49.125077057009086,-0.42467147832320834,-0.088921068082451676,0.11685738834430598,-0.43517795085778249,-5.4726395543913888,27.672942292299464,22.575458459751818,-13.720541652571436,-0.42467147832320845,-0.088921068082451607,0.11685738834430552,-0.43517795085778305,198.17166458845747,198.17166458845747
1.1308500000000001,95.0752629100391,158.14840038844451,95.0752629100391,158.1484003884446,-9.9288190827583875,49.394498494829172,-0.42468318332875676,-0.088872850610369036,0.12367792493425543,-0.43328865446538367,-5.9572914496553331,27.434582610492832,22.91279597011216,-13.273695923682533,-0.42468318332875687,-0.088872850610368953,0.12367792493425497,-0.43328865446538423,198.18737255172545,198.18737255172545
1.1309,95.083170316851167,158.14787213793596,95.083170316851167,158.14787213793605,-10.733943998831194,49.651634078486872,-0.42469487607239215,-0.088824656529120458,0.13046794361652375,-0.43129246818255984,-6.4403663992992719,27.189480833140397,23.244389690649214,-12.823657956582641,-0.42469487607239226,-0.088824656529120374,0.13046794361652328,-0.4312924681825604,198.20308051499336,198.20308051499336
1.1309500000000001,95.09107769725712,158.14734414119951,95.09107769725712,158.1473441411996,-11.536241600386276,49.896420221662275,-0.42470655656732936,-0.088776485826414453,0.13722576911328024,-0.4291898832391306,-6.921744960232008,26.937697557775554,23.570157629608392,-12.370539022496519,-0.42470655656732947,-0.088776485826414384,0.13722576911327977,-0.4291898832391311,198.21878847826133,198.21878847826133
