"time","loadInertiaE.phi","loadInertiaE.w","loadInertiaM.phi","loadInertiaM.w","smrE.is[1]","smrE.is[2]","smrE.idq_rr[1]","smrE.idq_rr[2]","smrE.idq_sr[1]","smrE.idq_sr[2]","smrM.is[1]","smrM.is[2]","smrM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smrM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","vfController.x"
0.51755000000000007,17.644788946946161,79.540746566810796,17.644790453763644,79.540760878987044,-51.458438141729424,104.87367352292533,-17.091605089584217,36.44431024247227,-22.809264049164522,-102.36943500645464,-51.45855923404914,104.87367342653641,0.37104502059858041,0.1830611146964311,-0.13134364641898685,-0.4157544439158315,42.075036642969188
0.51760000000000006,17.648766200191243,79.549382975345551,17.648767707724616,79.549397298683715,-52.181904524991602,104.87388455909966,-17.090096219238664,36.415373666878097,-22.807096004483931,-102.36432366812477,-52.182027806541846,104.87388134648322,0.37101083916103994,0.1831339744091664,-0.12796190208858818,-0.41681190146322256,42.083166692057596
0.51765000000000005,17.652743885214743,79.55801770400646,17.652745393464564,79.558032038463054,-52.902102716520702,104.86746707250893,-17.088611977501717,36.386484826560881,-22.804903230808556,-102.35924253215188,-52.902228120381622,104.86746076723911,0.37097666071679725,0.1832067762959381,-0.12457131025055883,-0.41784193597467428,42.091297526544167
0.51770000000000005,17.656722001932781,79.566650757317603,17.656723510899599,79.566665102848859,-53.618986383967012,104.85441935301783,-17.087152283387546,36.357643762897368,-22.802685805194194,-102.35419167555065,-53.619113662125862,104.85441009820769,0.37094248521668299,0.18327952045225657,-0.12117209266909375,-0.41884447092673693,42.099429146428903
0.51775000000000004,17.660700550261716,79.575282139805438,17.660702059946086,79.575296496367244,-54.332509376006875,104.8347401054219,-17.085717055537966,36.328850516408068,-22.800443805093281,-102.34917117446031,-54.332638059970321,104.83472819157046,0.3709083126116921,0.1833522069737139,-0.11776447180997543,-0.41981943160744312,42.107561551711797
0.51780000000000004,17.664679530118121,79.583911855998437,17.664681040520598,79.58392622354647,-55.042625725380205,104.80842844987954,-17.08430621222648,36.300105126758154,-22.798177308350791,-102.34418110414512,-55.042755083149878,104.80841434575308,0.37087414285298492,0.18342483595598169,-0.11434867082801121,-0.4207667451251742,42.115694742392861
0.51785000000000003,17.668658941418808,79.592539910427362,17.668660452539935,79.592554288916929,-55.749289651927107,104.77548392231863,-17.082919671362323,36.271407632758454,-22.795886393200295,-102.33922153899464,-55.749418641132131,104.77546830894413,0.37083997589188794,0.18349740749480953,-0.11092491355447054,-0.42168634041752645,42.123828718472083
0.51790000000000003,17.672638784080821,79.601166307624823,17.672640295921145,79.601180697011046,-56.452455565613,104.73590647481747,-17.081557350494467,36.2427580723663,-22.793571138259921,-102.33429255252412,-56.452582782661167,104.73589028272013,0.37080581167989524,0.18356992168602312,-0.10749342448452229,-0.42257814826017742,42.131963479949476
0.51795000000000002,17.676619058021423,79.609791052125402,17.676620570581484,79.609805452363048,-57.152078069542753,104.68969647596043,-17.080219166815688,36.214156482686512,-22.791231622528375,-102.32939421737497,-57.15220169477282,104.68968092587994,0.37077165016866837,0.18364237862552252,-0.10405442876467191,-0.42344210127575233,42.140099026825027
0.51800000000000002,17.680599763158103,79.61841414846532,17.680601276438455,79.618428559508914,-57.848111962969263,104.6368547111679,-17.078905037166592,36.185602899972288,-22.788867925380927,-102.32452660531493,-57.848229701566098,104.63684135829959,0.37073749131003886,0.1837147784092806,-0.10060815218019889,-0.42427813394269026,42.148235359098734
0.51805000000000001,17.684580899408601,79.627035601182541,17.684582413409771,79.627050022986339,-58.540512244297673,104.5773823829998,-17.07761487803964,36.157097359626206,-22.786480126565404,-102.31968978723857,-58.540621262962752,104.5773731650155,0.37070333505600739,0.18378712113334097,-0.097154821142593856,-0.42508618260411057,42.15637247677062
0.5181,17.68856246669047,79.635655414835199,17.688563981412994,79.635669847353171,-59.229234115148877,104.51128111297608,-17.076348605498215,36.128639897664499,-22.784068306223681,-102.31488383476456,-59.229341717849465,104.51127071543928,0.37066918135818361,0.18385940689396563,-0.093694657565507683,-0.42586617832757784,42.164510379840664
0.51815,17.692544464922044,79.644273593957536,17.692545980366457,79.644288037143355,-59.914232980826426,104.4385529381933,-17.075106135380654,36.100230547273711,-22.781632544827691,-102.31010881647747,-59.914341996934048,104.43853925958341,0.37063503016911076,0.18393163578728189,-0.0902278908826466,-0.42661806374017175,42.172649068308864
0.51819999999999999,17.69652689402179,79.652890143088456,17.69652841018863,79.652904596895596,-60.595464454901361,104.35920031392125,-17.073887383174281,36.071869341051169,-22.779172923214425,-102.3053648003722,-60.595575060533385,104.35918316501618,0.37060088144140502,0.18400380790950921,-0.086754750212586898,-0.42734178209637874,42.180788542175243
0.51824999999999999,17.700509753908339,79.661505066772534,17.700511270798135,79.661519531154198,-61.272884362267639,104.27322611390626,-17.072692264013487,36.04355631110721,-22.776689522583681,-102.30065185396457,-61.272996640808763,104.27320539195004,0.37056673512771832,0.18407592335696743,-0.083275463992811452,-0.42803727679266934,42.188928801439772
0.51829999999999998,17.704493044500527,79.670118369555681,17.704494562113808,79.670132844464746,-61.94644874182886,104.18063363017546,-17.071520692704258,36.015291488714141,-22.774182424487961,-102.29597004390783,-61.946562656857722,104.18060934615924,0.37053259118087428,0.18414798222603937,-0.079790261196123438,-0.42870449309525632,42.197069846102465
0.51834999999999998,17.708476765717439,79.678730055984744,17.708478284054728,79.678744541373888,-62.616113849446343,104.08142657318496,-17.070372583728187,35.987074904307519,-22.771651710828429,-102.2913194359933,-62.6162292147391,104.08139888237592,0.37049844955386896,0.1842199846131691,-0.076299371317119391,-0.42934337814761192,42.205211676163323
0.51839999999999997,17.712460917478374,79.687340130607637,17.712462436540189,79.687354626429254,-63.281836160866341,103.97560907194327,-17.069247851246455,35.958906587487363,-22.769097463850969,-102.28670009515109,-63.281952607448801,103.97557830787943,0.37046431019987192,0.18429193061485996,-0.072803024358662455,-0.42995388097798681,42.213354291622352
0.51845000000000008,17.716445499702871,79.695948597973043,17.716447019489735,79.695963104179327,-63.943572374645214,103.86318567410763,-17.068146409103896,35.93078656701919,-22.766519766142121,-102.28211208545068,-63.943689314731024,103.86315238617857,0.37043017307222659,0.18436382032767337,-0.069301450818347779,-0.43053595250692778,42.221497692479545
0.51850000000000007,17.720430512310671,79.704555462630438,17.720432032823112,79.704569979173257,-64.601279415054236,103.74416134605546,-17.067068170833011,35.902714870835631,-22.763918700625158,-102.27755547010167,-64.601396002809167,103.74412634087068,0.37039603812445182,0.18443565384822608,-0.065794881675006661,-0.43108954555479201,42.229641878734903
