"Time","rootMeanSquareVoltage.mean.y","pulsem.twomPulse.timerPositive[1].entryTime","pulsem.twomPulse.timerNegative[2].entryTime","pulsem.twomPulse.timerPositive[3].entryTime","inductor.i","pulsem.twomPulse.timerNegative[1].entryTime","meanCurrent.x","rectifier.thyristor.idealThyristor[3].off","pulsem.twomPulse.timerNegative[3].entryTime","rectifier.thyristor.idealThyristor[2].off","rootMeanSquareVoltage.mean.x","rectifier.thyristor.idealThyristor[1].off","meanVoltage.x","pulsem.twomPulse.timerPositive[2].entryTime","meanCurrent.y","meanVoltage.y"
4.9617963,7098.2671,4.9616666,4.9583335,4.9549999,2.7116528,4.9516668,0.0047220006,0,4.9450002,1,20.897606,1,0.19098589,4.9483333,2.6886971,1.6182619
4.9619966,7098.2671,4.9616666,4.9583335,4.9549999,2.7243502,4.9516668,0.0052656522,0,4.9450002,1,21.819647,1,0.20455606,4.9483333,2.6886971,1.6182619
4.9621964,7098.2671,4.9616666,4.9583335,4.9549999,2.7352161,4.9516668,0.005811661,0,4.9450002,1,22.515503,1,0.21634172,4.9483333,2.6886971,1.6182619
4.9623966,7098.2671,4.9616666,4.9583335,4.9549999,2.7442112,4.9516668,0.0063596568,0,4.9450002,1,23.012381,1,0.22629631,4.9483333,2.6886971,1.6182619
4.9625964,7098.2671,4.9616666,4.9583335,4.9549999,2.7513039,4.9516668,0.0069092619,0,4.9450002,1,23.340618,1,0.23438057,4.9483333,2.6886971,1.6182619
4.9627967,7098.2671,4.9616666,4.9583335,4.9549999,2.7564695,4.9516668,0.0074600936,0,4.9450002,1,23.533216,1,0.24056257,4.9483333,2.6886971,1.6182619
4.9629965,7098.2671,4.9616666,4.9583335,4.9549999,2.759692,4.9516668,0.0080117639,0,4.9450002,1,23.625311,1,0.2448179,4.9483333,2.6886971,1.6182619
4.9631968,7098.2671,4.9616666,4.9583335,4.9549999,2.7609618,4.9516668,0.0085638836,0,4.9450002,1,23.653612,1,0.24712978,4.9483333,2.6886971,1.6182619
4.9632964,7098.2671,4.9616666,4.9583335,4.9549999,2.7608635,4.9516668,0.008840166,0,4.9450002,1,23.655605,1,0.24755388,4.9483333,2.6886971,1.6182619
4.9632964,7098.2671,4.9616666,4.9583335,4.9549999,2.7608635,4.9516668,0.008840166,0,4.9450002,1,23.655605,1,0.24755388,4.9483333,2.6886971,1.6182619
4.9633965,7098.2671,4.9616666,4.9583335,4.9549999,2.760278,4.9516668,0.009116062,0,4.9450002,1,23.655903,1,0.24748909,4.9483333,2.6886971,1.6182619
4.9635963,7098.2671,4.9616666,4.9583335,4.9549999,2.7576468,4.9516668,0.0096679078,0,4.9450002,1,23.670267,1,0.24589443,4.9483333,2.6886971,1.6182619
4.9637966,7098.2671,4.9616666,4.9583335,4.9549999,2.7530823,4.9516668,0.010219035,0,4.9450002,1,23.734547,1,0.24235217,4.9483333,2.6886971,1.6182619
4.9639964,7098.2671,4.9616666,4.9583335,4.9549999,2.7466063,4.9516668,0.010769057,0,4.9450002,1,23.885998,1,0.2368762,4.9483333,2.6886971,1.6182619
4.9641967,7098.2671,4.9616666,4.9583335,4.9549999,2.7382479,4.9516668,0.011317595,0,4.9450002,1,24.160397,1,0.22948807,4.9483333,2.6886971,1.6182619
4.9643965,7098.2671,4.9616666,4.9583335,4.9549999,2.7280433,4.9516668,0.011864277,0,4.9450002,1,24.591593,1,0.22021693,4.9483333,2.6886971,1.6182619
4.9645967,7098.2671,4.9616666,4.9583335,4.9549999,2.716037,4.9516668,0.012408736,0,4.9450002,1,25.210945,1,0.20909941,4.9483333,2.6886971,1.6182619
4.9647965,7098.2671,4.9616666,4.9583335,4.9549999,2.7022798,4.9516668,0.012950618,0,4.9450002,1,26.04685,1,0.19617943,4.9483333,2.6886971,1.6182619
4.9649968,7098.2671,4.9616666,4.9583335,4.9549999,2.6868296,4.9516668,0.013489578,0,4.9450002,1,27.124304,1,0.18150797,4.9483333,2.6886971,1.6182619
4.9650002,7098.2671,4.9616666,4.9583335,4.9549999,2.6865554,4.9516668,0.013498622,0,4.9450002,1,27.144632,1,0.18124638,4.9483333,2.6886971,1.6182619
4.9650002,7098.2671,4.9616666,4.9583335,4.9549999,2.6865554,4.9516668,0.013498622,0,4.9450002,1,27.144634,1,0.18124636,4.9483333,2.6886971,1.6182619
4.9650002,7098.2671,4.9616666,4.9583335,4.9549999,2.6865554,4.9516668,0.013498622,0,4.9650002,1,27.144634,1,0.18124636,4.9483333,2.6886971,1.6182619
4.9651966,7098.2671,4.9616666,4.9583335,4.9549999,2.6697509,4.9516668,0.014025283,0,4.9650002,1,28.464495,1,0.16514301,4.9483333,2.6886971,1.6182619
4.9653969,7098.2671,4.9616666,4.9583335,4.9549999,2.6511147,4.9516668,0.014557417,0,4.9650002,1,30.084372,1,0.14714903,4.9483333,2.6886971,1.6182619
4.9655967,7098.2671,4.9616666,4.9583335,4.9549999,2.6309981,4.9516668,0.015085673,0,4.9650002,1,31.996622,1,0.12759709,4.9483333,2.6886971,1.6182619
4.9657965,7098.2671,4.9616666,4.9583335,4.9549999,2.6094837,4.9516668,0.015609764,0,4.9650002,1,34.20927,1,0.10656432,4.9483333,2.6886971,1.6182619
4.9659967,7098.2671,4.9616666,4.9583335,4.9549999,2.5866606,4.9516668,0.016129421,0,4.9650002,1,36.72559,1,0.084133744,4.9483333,2.6886971,1.6182619
4.9661965,7098.2671,4.9616666,4.9583335,4.9549999,2.5626218,4.9516668,0.016644388,0,4.9650002,1,39.544037,1,0.060393918,4.9483333,2.6886971,1.6182619
4.9663968,7098.2671,4.9616666,4.9583335,4.9549999,2.5374658,4.9516668,0.017154435,0,4.9650002,1,42.658344,1,0.035438512,4.9483333,2.6886971,1.6182619
4.9665966,7098.2671,4.9616666,4.9583335,4.9549999,2.5112953,4.9516668,0.017659348,0,4.9650002,1,46.057571,1,0.0093659703,4.9483333,2.6886971,1.6182619
4.9666333,7098.2671,4.9616666,4.9583335,4.9549999,2.5064046,4.9516668,0.01775118,0,4.9650002,1,46.709351,1,0.0044816071,4.9483333,2.6886971,1.6182619
4.9666333,7098.2671,4.9616666,4.9583335,4.9549999,2.5064046,4.9516668,0.01775118,1,4.9650002,1,46.709351,0,0.0044816071,4.9483333,2.6886971,1.6182619
4.9666667,7098.2671,4.9616666,4.9583335,4.9549999,2.5109074,4.9516668,0.017834885,1,4.9650002,1,47.318604,0,0.0089903418,4.9483333,2.6886971,1.6182619
4.9666667,7097.7905,4.9616666,4.9583335,4.9549999,2.5109074,4.9516668,0,1,4.9650002,1,0,0,0,4.9483333,2.6752329,1.3485513
