"Time","aimc.idq_sr[2]","vfController.x","aimc.is[1]","aimc.is[2]","aimc.idq_rr[1]","mass.v","aimc.idq_sr[1]","aimc.idq_rr[2]","mass.s"
0.33796561,3.8453007,17.941755,-329.25162,184.50246,305.09253,1.4937655,-330.0282,26.308716,0.15563101
0.33896849,-12.678031,18.048391,-325.72491,151.27048,299.69205,1.5034753,-325.7532,42.127693,0.15713391
0.33997133,-29.111271,18.155346,-318.30191,116.58939,293.61728,1.5133457,-320.75531,57.793495,0.15864663
0.34097421,-45.416359,18.262615,-307.04605,80.857468,286.88373,1.5233725,-315.04764,73.270065,0.16016933
0.34197709,-61.555965,18.370199,-292.0676,44.491486,279.50906,1.5335507,-308.64566,88.522217,0.16170216
0.34297994,-77.493629,18.4781,-273.52332,7.9220204,271.51291,1.543875,-301.56693,103.51573,0.16324526
0.34398282,-93.193886,18.586317,-251.61549,-28.411665,262.91687,1.5543395,-293.83118,118.21752,0.1647988
0.34498566,-108.62241,18.694851,-226.59035,-64.06691,253.74435,1.5649382,-285.46005,132.5957,0.1663629
0.34598854,-123.74611,18.803699,-198.73586,-98.603149,244.02045,1.5756644,-276.47708,146.61972,0.1679377
0.34699139,-138.5332,18.912865,-168.37895,-131.58754,233.77185,1.5865115,-266.90756,160.26045,0.1695233
0.34799427,-152.95335,19.022345,-135.88213,-162.60057,223.0267,1.5974729,-256.77841,173.49022,0.17111984
0.34899715,-166.97769,19.132143,-101.63955,-191.24171,211.81447,1.6085416,-246.118,186.28296,0.17272744
0.34999999,-180.57892,19.242254,-66.072586,-217.13492,200.16574,1.6197109,-234.95607,198.61417,0.17434618
