"Time","dcpm.inertiaRotor.phi","hbridge.vDC1","inductor.i","hbridge.vDC2","hbridge.iDC1","dcpm.inertiaRotor.w","meanCurrent.y","meanVoltage.y","hbridge.iDC2"
4.0079002,55.06723,120,27.664391,-0.0005532878,0.0048000002,111.75643,26.562525,71.999466,-27.664391
4.0079956,55.077904,120,26.510212,-0.00053020421,0.0048000002,111.76741,26.562525,71.999466,-26.510212
4.0079999,55.078407,120,26.455997,-0.00052911992,0.0048000002,111.76791,26.562525,71.999466,-26.455997
4.0079999,55.078407,120,26.455997,-0.00052911992,0.0048000002,111.76791,26.494377,71.999474,-26.455997
4.0081,55.089584,120,25.248493,-0.00050496985,0.0048000002,111.77888,26.494377,71.999474,-25.248493
4.0081,55.089584,120,25.248493,119.9995,25.253292,111.77888,26.494377,71.999474,-25.248493
4.0081954,55.100262,120,26.005569,119.99948,26.010368,111.78928,26.494377,71.999474,-26.005569
4.0083957,55.122623,120,27.588482,119.99945,27.593283,111.81203,26.494377,71.999474,-27.588482
4.0084,55.123123,120,27.623812,119.99945,27.628611,111.81255,26.494377,71.999474,-27.623812
4.0084,55.123123,120,27.623812,-0.00055247621,0.0048000002,111.81255,26.494377,71.999474,-27.623812
4.0085001,55.134304,120,26.414856,-0.00052829715,0.0048000002,111.82401,26.494377,71.999474,-26.414856
4.0085001,55.134304,120,26.414856,-0.00052829715,0.0048000002,111.82401,26.494377,71.999474,-26.414856
4.0085955,55.144989,120,25.260637,-0.00050521275,0.0048000002,111.83449,26.494377,71.999474,-25.260637
4.0086002,55.145489,120,25.206791,-0.00050413585,0.0048000002,111.83497,26.494377,71.999474,-25.206791
4.0086002,55.145489,120,25.206791,119.9995,25.211592,111.83497,26.494377,71.999474,-25.206791
4.0087957,55.167358,120,26.754814,119.99947,26.759613,111.85653,26.494377,71.999474,-26.754814
4.0089002,55.179043,120,27.580433,119.99945,27.585232,111.86858,26.494377,71.999474,-27.580433
4.0089002,55.179043,120,27.580433,-0.00055160862,0.0048000002,111.86858,26.494377,71.999474,-27.580433
4.0089955,55.189735,120,26.424595,-0.00052849186,0.0048000002,111.87952,26.494377,71.999474,-26.424595
4.0089998,55.190231,120,26.37092,-0.00052741839,0.0048000002,111.88002,26.494377,71.999474,-26.37092
4.0089998,55.190231,120,26.37092,-0.00052741839,0.0048000002,111.88002,26.414915,71.999474,-26.37092
4.0091,55.20142,120,25.162296,-0.00050324592,0.0048000002,111.89096,26.414915,71.999474,-25.162296
4.0091,55.20142,120,25.162296,119.9995,25.167097,111.89096,26.414915,71.999474,-25.162296
4.0091958,55.212112,120,25.918694,119.99948,25.923492,111.90132,26.414915,71.999474,-25.918694
4.0093956,55.234497,120,27.499376,119.99945,27.504175,111.92399,26.414915,71.999474,-27.499376
4.0093999,55.234989,120,27.534269,119.99945,27.53907,111.92451,26.414915,71.999474,-27.534269
4.0093999,55.234989,120,27.534269,-0.00055068539,0.0048000002,111.92451,26.414915,71.999474,-27.534269
4.0095,55.246185,120,26.324203,-0.00052648404,0.0048000002,111.93594,26.414915,71.999474,-26.324203
4.0095,55.246185,120,26.324203,-0.00052648404,0.0048000002,111.93594,26.414915,71.999474,-26.324203
4.0095954,55.256886,120,25.168331,-0.00050336664,0.0048000002,111.94638,26.414915,71.999474,-25.168331
4.0096002,55.257378,120,25.115026,-0.00050230051,0.0048000002,111.94685,26.414915,71.999474,-25.115026
4.0096002,55.257378,120,25.115026,119.9995,25.119825,111.94685,26.414915,71.999474,-25.115026
4.0097957,55.279278,120,26.661264,119.99947,26.666065,111.96835,26.414915,71.999474,-26.661264
4.0099001,55.290966,120,27.48534,119.99945,27.490141,111.98034,26.414915,71.999474,-27.48534
4.0099001,55.290966,120,27.48534,-0.00054970681,0.0048000002,111.98034,26.414915,71.999474,-27.48534
4.0099955,55.301674,120,26.327856,-0.00052655709,0.0048000002,111.99126,26.414915,71.999474,-26.327856
4.0100002,55.302166,120,26.274723,-0.00052549446,0.0048000002,111.99174,26.414915,71.999474,-26.274723
4.0100002,55.302166,120,26.274723,-0.00052549446,0.0048000002,111.99174,26.324266,71.999474,-26.274723
4.0100999,55.313366,120,25.064995,-0.00050129992,0.0048000002,112.00264,26.324266,71.999474,-25.064995
4.0100999,55.313366,120,25.064995,119.9995,25.069796,112.00264,26.324266,71.999474,-25.064995
4.0101957,55.324074,120,25.820723,119.99948,25.825521,112.01297,26.324266,71.999474,-25.820723
4.0103955,55.346481,120,27.399202,119.99945,27.404001,112.03555,26.324266,71.999474,-27.399202
4.0103998,55.34697,120,27.433662,119.99945,27.438463,112.03606,26.324266,71.999474,-27.433662
4.0103998,55.34697,120,27.433662,-0.00054867327,0.0048000002,112.03606,26.324266,71.999474,-27.433662
4.0105,55.358177,120,26.222496,-0.00052444992,0.0048000002,112.04745,26.324266,71.999474,-26.222496
4.0105,55.358177,120,26.222496,-0.00052444992,0.0048000002,112.04745,26.324266,71.999474,-26.222496
4.0105958,55.368893,120,25.064985,-0.00050129974,0.0048000002,112.05786,26.324266,71.999474,-25.064985
4.0106001,55.369381,120,25.012222,-0.00050024444,0.0048000002,112.05832,26.324266,71.999474,-25.012222
4.0106001,55.369381,120,25.012222,119.9995,25.017023,112.05832,26.324266,71.999474,-25.012222
4.0107956,55.391308,120,26.556702,119.99947,26.561502,112.07973,26.324266,71.999474,-26.556702
4.0109,55.403004,120,27.379253,119.99945,27.384052,112.09167,26.324266,71.999474,-27.379253
4.0109,55.403004,120,27.379253,-0.00054758508,0.0048000002,112.09167,26.324266,71.999474,-27.379253
4.0109959,55.413727,120,26.220133,-0.00052440265,0.0048000002,112.10255,26.324266,71.999474,-26.220133
4.0110002,55.414211,120,26.167542,-0.00052335084,0.0048000002,112.10304,26.324266,71.999474,-26.167542
4.0110002,55.414211,120,26.167542,-0.00052335084,0.0048000002,112.10304,26.222567,71.999474,-26.167542
4.0110998,55.425423,120,24.956724,-0.00049913448,0.0048000002,112.11389,26.222567,71.999474,-24.956724
4.0110998,55.425423,120,24.956724,119.9995,24.961523,112.11389,26.222567,71.999474,-24.956724
4.0111957,55.43615,120,25.711794,119.99949,25.716593,112.12418,26.222567,71.999474,-25.711794
4.0113955,55.45858,120,27.288097,119.99945,27.292898,112.14667,26.222567,71.999474,-27.288097
4.0114002,55.459064,120,27.322126,119.99945,27.326927,112.14717,26.222567,71.999474,-27.322126
4.0114002,55.459064,120,27.322126,-0.00054644252,0.0048000002,112.14717,26.222567,71.999474,-27.322126
4.0114999,55.47028,120,26.109877,-0.00052219752,0.0048000002,112.15851,26.222567,71.999474,-26.109877
4.0114999,55.47028,120,26.109877,-0.00052219752,0.0048000002,112.15851,26.222567,71.999474,-26.109877
4.0115957,55.48101,120,24.950739,-0.00049901474,0.0048000002,112.16888,26.222567,71.999474,-24.950739
4.0116,55.481495,120,24.898518,-0.00049797038,0.0048000002,112.16933,26.222567,71.999474,-24.898518
4.0116,55.481495,120,24.898518,119.9995,24.903318,112.16933,26.222567,71.999474,-24.898518
4.0117955,55.503448,120,26.441265,119.99947,26.446066,112.19065,26.222567,71.999474,-26.441265
4.0118999,55.515152,120,27.262304,119.99946,27.267105,112.20254,26.222567,71.999474,-27.262304
4.0118999,55.515152,120,27.262304,-0.00054524612,0.0048000002,112.20254,26.222567,71.999474,-27.262304
4.0119958,55.52589,120,26.101562,-0.00052203122,0.0048000002,112.21338,26.222567,71.999474,-26.101562
4.0120001,55.526371,120,26.049517,-0.00052099035,0.0048000002,112.21385,26.222567,71.999474,-26.049517
4.0120001,55.526371,120,26.049517,-0.00052099035,0.0048000002,112.21385,26.109951,71.999481,-26.049517
4.0121002,55.537594,120,24.837622,-0.00049675244,0.0048000002,112.22466,26.109951,71.999481,-24.837622
4.0121002,55.537594,120,24.837622,119.9995,24.842422,112.22466,26.109951,71.999481,-24.837622
4.0121956,55.548336,120,25.592047,119.99949,25.596848,112.23489,26.109951,71.999481,-25.592047
4.0123959,55.570786,120,27.166204,119.99946,27.171005,112.25729,26.109951,71.999481,-27.166204
4.0124002,55.571266,120,27.199804,119.99946,27.204603,112.25778,26.109951,71.999481,-27.199804
4.0124002,55.571266,120,27.199804,-0.00054399605,0.0048000002,112.25778,26.109951,71.999481,-27.199804
4.0124998,55.582493,120,25.986483,-0.00051972963,0.0048000002,112.26907,26.109951,71.999481,-25.986483
4.0124998,55.582493,120,25.986483,-0.00051972963,0.0048000002,112.26907,26.109951,71.999481,-25.986483
4.0125957,55.593239,120,24.825729,-0.00049651455,0.0048000002,112.27939,26.109951,71.999481,-24.825729
4.0125999,55.593719,120,24.774054,-0.00049548107,0.0048000002,112.27984,26.109951,71.999481,-24.774054
4.0125999,55.593719,120,24.774054,119.9995,24.778854,112.27984,26.109951,71.999481,-24.774054
4.0127959,55.6157,120,26.315098,119.99947,26.319897,112.30106,26.109951,71.999481,-26.315098
4.0128999,55.627407,120,27.134642,119.99946,27.139441,112.31288,26.109951,71.999481,-27.134642
4.0128999,55.627407,120,27.134642,-0.00054269284,0.0048000002,112.31288,26.109951,71.999481,-27.134642
4.0129957,55.638165,120,25.972288,-0.00051944575,0.0048000002,112.32368,26.109951,71.999481,-25.972288
4.013,55.638641,120,25.92079,-0.00051841576,0.0048000002,112.32414,26.109951,71.999481,-25.92079
4.013,55.638641,120,25.92079,-0.00051841576,0.0048000002,112.32414,25.986563,71.999481,-25.92079
4.0131001,55.649872,120,24.707832,-0.00049415667,0.0048000002,112.33488,25.986563,71.999481,-24.707832
4.0131001,55.649872,120,24.707832,119.9995,24.712633,112.33488,25.986563,71.999481,-24.707832
4.013196,55.660633,120,25.461626,119.99949,25.466427,112.34509,25.986563,71.999481,-25.461626
4.0133958,55.683102,120,27.033665,119.99946,27.038465,112.36736,25.986563,71.999481,-27.033665
4.0134001,55.683578,120,27.066837,119.99946,27.071636,112.36785,25.986563,71.999481,-27.066837
4.0134001,55.683578,120,27.066837,-0.00054133672,0.0048000002,112.36785,25.986563,71.999481,-27.066837
4.0135002,55.694817,120,25.852459,-0.00051704916,0.0048000002,112.37908,25.986563,71.999481,-25.852459
4.0135002,55.694817,120,25.852459,-0.00051704916,0.0048000002,112.37908,25.986563,71.999481,-25.852459
4.0135956,55.705582,120,24.690104,-0.00049380207,0.0048000002,112.38935,25.986563,71.999481,-24.690104
4.0135999,55.706055,120,24.638975,-0.00049277954,0.0048000002,112.38979,25.986563,71.999481,-24.638975
4.0135999,55.706055,120,24.638975,119.9995,24.643776,112.38979,25.986563,71.999481,-24.638975
4.0137959,55.728062,120,26.178341,119.99947,26.183142,112.4109,25.986563,71.999481,-26.178341
4.0138998,55.739777,120,26.996408,119.99946,27.001207,112.42267,25.986563,71.999481,-26.996408
4.0138998,55.739777,120,26.996408,-0.00053992815,0.0048000002,112.42267,25.986563,71.999481,-26.996408
4.0139956,55.750546,120,25.832458,-0.00051664916,0.0048000002,112.4334,25.986563,71.999481,-25.832458
4.0139999,55.751019,120,25.781507,-0.00051563012,0.0048000002,112.43387,25.986563,71.999481,-25.781507
4.0139999,55.751019,120,25.781507,-0.00051563012,0.0048000002,112.43387,25.852545,71.999481,-25.781507
4.0141001,55.762264,120,24.567503,-0.00049135007,0.0048000002,112.44455,25.852545,71.999481,-24.567503
4.0141001,55.762264,120,24.567503,119.99951,24.572302,112.44455,25.852545,71.999481,-24.567503
4.0141959,55.773037,120,25.320679,119.9995,25.325478,112.4547,25.852545,71.999481,-25.320679
4.0143957,55.795532,120,26.890629,119.99947,26.89543,112.47685,25.852545,71.999481,-26.890629
4.0144,55.796001,120,26.923374,119.99946,26.928175,112.47733,25.852545,71.999481,-26.923374
4.0144,55.796001,120,26.923374,-0.00053846749,0.0048000002,112.47733,25.852545,71.999481,-26.923374
4.0145001,55.807251,120,25.707954,-0.0005141591,0.0048000002,112.48849,25.852545,71.999481,-25.707954
4.0145001,55.807251,120,25.707954,-0.0005141591,0.0048000002,112.48849,25.852545,71.999481,-25.707954
4.014596,55.818031,120,24.544012,-0.00049088022,0.0048000002,112.49872,25.852545,71.999481,-24.544012
4.0145998,55.818497,120,24.493433,-0.00048986863,0.0048000002,112.49915,25.852545,71.999481,-24.493433
4.0145998,55.818497,120,24.493433,119.99951,24.498232,112.49915,25.852545,71.999481,-24.493433
4.0147958,55.840534,120,26.031149,119.99948,26.03595,112.52015,25.852545,71.999481,-26.031149
4.0149002,55.852253,120,26.847754,119.99947,26.852554,112.53184,25.852545,71.999481,-26.847754
4.0149002,55.852253,120,26.847754,-0.00053695508,0.0048000002,112.53184,25.852545,71.999481,-26.847754
4.0149961,55.863041,120,25.68222,-0.00051364442,0.0048000002,112.54252,25.852545,71.999481,-25.68222
4.0149999,55.863506,120,25.631819,-0.00051263638,0.0048000002,112.54298,25.852545,71.999481,-25.631819
4.0149999,55.863506,120,25.631819,-0.00051263638,0.0048000002,112.54298,25.708048,71.999489,-25.631819
4.0151,55.874763,120,24.416782,-0.00048833567,0.0048000002,112.5536,25.708048,71.999489,-24.416782
4.0151,55.874763,120,24.416782,119.99951,24.421583,112.5536,25.708048,71.999489,-24.416782
4.0151958,55.885551,120,25.169353,119.9995,25.174154,112.56368,25.708048,71.999489,-25.169353
4.0153956,55.90807,120,26.737247,119.99947,26.742048,112.58571,25.708048,71.999489,-26.737247
4.0153999,55.908531,120,26.769567,119.99947,26.774368,112.58618,25.708048,71.999489,-26.769567
4.0153999,55.908531,120,26.769567,-0.00053539133,0.0048000002,112.58618,25.708048,71.999489,-26.769567
4.0155001,55.919792,120,25.553122,-0.00051106245,0.0048000002,112.59728,25.708048,71.999489,-25.553122
4.0155001,55.919792,120,25.553122,-0.00051106245,0.0048000002,112.59728,25.708048,71.999489,-25.553122
