"Time","pulse2.twomPulse.filter[1].transferFunction[2].x_scaled[1]","pulse2.twomPulse.filter[2].transferFunction[2].x_scaled[1]","rectifier.pre_n[2].u","rectifier.thyristor_n.idealThyristor[2].off","pulse2.twomPulse.filter[2].transferFunction[1].x_scaled[1]","rectifier.thyristor_n.idealThyristor[1].off","rectifier.thyristor_n.idealThyristor[3].off","pulse2.twomPulse.filter[2].firstOrder.y","lMains.inductor[3].i","meanCurrent.y","meanVoltage.y","rectifier.thyristor_p.idealThyristor[1].off","rectifier.thyristor_p.idealThyristor[3].off","pulse2.twomPulse.timerPositive[1].entryTime","dcpm.inertiaRotor.phi","inductor.i","rootMeanSquareVoltage.mean.x","dcpm.inertiaRotor.w","meanVoltage.x","pulse2.twomPulse.filter[3].firstOrder.y","pulse2.twomPulse.timerNegative[3].entryTime","rectifier.pre_n[3].u","rootMeanSquareVoltage.mean.y","pulse2.twomPulse.filter[1].firstOrder.y","rectifier.pre_p[2].u","pulse2.twomPulse.timerNegative[2].entryTime","rectifier.pre_n[1].u","pulse2.twomPulse.filter[3].transferFunction[1].x_scaled[1]","pulse2.twomPulse.timerPositive[2].entryTime","pulse2.twomPulse.timerPositive[3].entryTime","rectifier.thyristor_p.idealThyristor[2].off","pulse2.twomPulse.filter[3].transferFunction[2].x_scaled[1]","lMains.inductor[2].i","rectifier.pre_p[1].u","meanCurrent.x","pulse2.twomPulse.filter[1].transferFunction[1].x_scaled[1]","rectifier.pre_p[3].u","pulse2.twomPulse.timerNegative[1].entryTime"
2.4571927,0.10786404,-9.3695612,0,1,7.9126849,0,1,69.680603,100.3401,99.999985,97.495949,1,0,2.4417133,356.1329,100.33738,5.6527677,145.29105,0.054530822,17.411875,2.4450467,0,9542.5537,-87.092476,1,2.43838,1,-10.268673,2.44838,2.4550467,1,9.2616968,-0.00029839342,0,0.052646212,2.355988,1,2.4517133
2.4573927,0.77821034,-9.6750937,0,1,8.3474131,0,1,65.382256,100.49408,99.999985,97.495949,1,0,2.4417133,356.16196,100.49134,7.7392631,145.2914,0.074959338,23.48534,2.4450467,0,9542.5537,-88.867592,1,2.43838,1,-10.044645,2.44838,2.4550467,1,8.896883,-0.00041015097,0,0.072731301,1.6972325,1,2.4517133
2.4575927,1.4455602,-9.9401207,0,1,8.7467766,0,1,60.850155,100.59935,99.999985,97.495949,1,0,2.4417133,356.19101,100.5966,9.7667828,145.29187,0.095096976,29.410686,2.4450467,0,9542.5537,-90.260841,1,2.43838,1,-9.7785082,2.44838,2.4550467,1,8.4945602,-0.00052028958,0,0.092842564,1.0317318,1,2.4517133
2.4577928,2.1070697,-10.163815,0,1,9.1093826,0,1,56.099739,100.64298,99.999985,97.495949,1,0,2.4417133,356.22009,100.64022,11.720713,145.29239,0.11486569,35.171497,2.4450467,0,9542.5537,-91.27124,1,2.43838,1,-9.4717054,2.44838,2.4550467,1,8.0567446,-0.00062837452,0,0.11296895,0.36232293,1,2.4517133
2.4579928,2.7599545,-10.345492,0,1,9.4339705,0,1,51.147617,100.61233,99.999985,97.495949,1,0,2.4417133,356.24915,100.60957,13.587598,145.29294,0.13418889,40.751175,2.4450467,0,9542.5537,-91.898796,1,2.43838,1,-9.1257963,2.44838,2.4550467,1,7.5855379,-0.00073397916,0,0.13309686,-0.30817425,1,2.4517133
2.4581928,3.4014938,-10.484616,0,1,9.7194109,0,1,46.01144,100.49506,99.999985,97.495949,1,0,2.4417133,356.2782,100.49232,15.355332,145.29341,0.15299177,46.133118,2.4450467,0,9542.5537,-92.144562,1,2.43838,1,-8.7424469,2.44838,2.4550467,1,7.0831223,-0.0008366867,0,0.15321016,-0.97696418,1,2.4517133
2.4583292,3.8307807,-10.554833,0,1,9.8909712,0,1,42.415699,100.35938,99.999985,97.495949,1,0,2.4417133,356.298,100.35666,16.497591,145.29366,0.16546863,49.678665,2.4450467,0,9542.5537,-92.09436,1,2.43838,1,-8.4606886,2.44838,2.4550467,1,6.7240529,-0.00090480386,0,0.16689764,-1.4302831,1,2.4517133
2.45838,3.9894867,-10.575953,0,1,9.9502859,0,1,41.052479,100.29611,99.999985,97.495949,1,0,2.4417133,356.30542,100.29341,16.911066,145.29372,0.17005934,50.978012,2.4450467,0,9542.5537,-92.030487,1,2.43838,1,-8.351182,2.44838,2.4550467,1,6.5864663,-0.00092985859,0,0.17201118,-1.5991033,1,2.4517133
2.45838,3.9894867,-10.575953,0,1,9.9502859,0,1,41.052479,100.29611,99.999985,97.495949,1,0,2.4417133,356.30542,100.29341,16.911066,145.29372,0.17005934,50.978012,2.4450467,0,9542.5537,-92.030487,0,2.45838,1,-8.351182,2.44838,2.4550467,1,6.5864663,-0.00092985859,0,0.17201118,-1.5991033,1,2.4517133
2.45838,3.9894867,-10.575953,0,1,9.9502859,0,1,41.052479,100.29611,99.999985,97.495949,1,0,2.4417133,356.30542,100.29341,16.911066,145.29372,0.17005934,50.978012,2.4450467,0,9542.5537,-92.030487,0,2.45838,1,-8.351182,2.44838,2.4550467,1,6.5864663,-0.00092985859,0,0.17201118,-1.5991033,1,2.4517133
2.45838,3.9894867,-10.575953,1,0,9.9502859,0,1,41.052479,100.29611,99.999985,97.495949,1,0,2.4417133,356.30542,100.29341,16.911066,145.29372,0.17005934,50.978012,2.4450467,0,9542.5537,-92.030487,0,2.45838,1,-8.351182,2.44838,2.4550467,1,6.5864663,-0.00092985859,0,0.17201118,-1.5991033,1,2.4517133
