"Time","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.inertiaRotor.phi","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.is[1]","smee.inertiaRotor.w","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.excitation.electroMagneticConverter.Phi.re","smee.is[2]"
2.0110981,-0.1533394,-0.45023715,301.77527,-0.42412522,6.3055396,158.74718,0.0019922345,-0.46175691,-13.066589
2.011198,-0.16660595,-0.45023993,301.79114,-0.41911453,6.7803192,158.75835,0.0020410812,-0.46175897,-13.26615
2.0112982,-0.17970902,-0.45024276,301.80704,-0.4136892,7.2592769,158.76944,0.0020906408,-0.46176106,-13.452133
2.0113981,-0.19263567,-0.45024568,301.82291,-0.40785459,7.7416835,158.78043,0.0021409157,-0.46176323,-13.6239
2.0114982,-0.20537312,-0.45024866,301.83878,-0.40161636,8.2268782,158.79134,0.0021919089,-0.46176541,-13.780849
2.0115981,-0.21790877,-0.45025167,301.85468,-0.39498073,8.7141762,158.80214,0.0022436234,-0.46176767,-13.922385
2.0116982,-0.23023023,-0.45025477,301.87054,-0.38795415,9.2028103,158.81287,0.002296062,-0.46176997,-14.04792
2.0117981,-0.24232531,-0.45025796,301.88641,-0.38054353,9.6920557,158.82349,0.002349227,-0.46177232,-14.156892
2.011898,-0.25418204,-0.45026118,301.90231,-0.37275621,10.181189,158.83401,0.0024031214,-0.46177474,-14.248754
2.0119982,-0.26578867,-0.45026445,301.91818,-0.36459979,10.669404,158.84447,0.0024577477,-0.46177718,-14.322973
2.0120981,-0.27713376,-0.45026782,301.93408,-0.35608229,11.155931,158.85481,0.0025131088,-0.46177968,-14.379043
2.0121982,-0.28820607,-0.45027122,301.94998,-0.34721214,11.640011,158.86507,0.0025692065,-0.46178225,-14.416474
2.0122981,-0.29899463,-0.45027471,301.96585,-0.33799803,12.120815,158.87521,0.0026260437,-0.46178487,-14.434801
2.0123982,-0.30948877,-0.45027825,301.98175,-0.32844907,12.597538,158.88528,0.0026836228,-0.46178752,-14.43358
2.0124981,-0.3196781,-0.45028189,301.99762,-0.31857461,13.069392,158.89525,0.0027419459,-0.46179023,-14.412392
2.0125983,-0.3295525,-0.45028555,302.01352,-0.30838442,13.53554,158.90512,0.0028010155,-0.46179301,-14.370842
2.0126982,-0.33910224,-0.45028931,302.02942,-0.29788849,13.995149,158.9149,0.0028608334,-0.46179584,-14.308565
2.0127981,-0.34831783,-0.45029309,302.04532,-0.28709719,14.447419,158.92459,0.002921402,-0.4617987,-14.225216
2.0128982,-0.35719013,-0.45029697,302.06119,-0.27602115,14.89151,158.93417,0.0029827235,-0.46180165,-14.120484
2.0129981,-0.36571038,-0.4503009,302.07709,-0.26467127,15.326579,158.94366,0.0030447994,-0.46180463,-13.99409
