"Time","inductor.inductor[2].i","inductor.inductor[3].i","capacitor.v","aimc.is[1]","aimc.is[2]","aimc.idq_sr[1]","aimc.idq_sr[2]","aimc.idq_rr[1]","aimc.idq_rr[2]","loadInertia.phi","loadInertia.w","vfController.x"
0.00072499999,-14.602368,14.580249,541.32532,2.0679149e-06,-4.1355952e-06,2.0679149e-06,-3.5814628e-06,-1.9969189e-06,3.4585034e-06,2.612016e-30,5.2173528e-26,6.8804387e-05
0.00075000001,-14.825507,14.802639,541.39655,2.0624568e-06,-4.1246799e-06,2.0624568e-06,-3.5720102e-06,-1.9914371e-06,3.4490097e-06,4.0807337e-30,6.5210688e-26,7.3631316e-05
0.00077500002,-15.020817,14.997201,541.46881,2.0570137e-06,-4.1137941e-06,2.0570137e-06,-3.5625828e-06,-1.9859704e-06,3.4395416e-06,5.8746306e-30,7.8235669e-26,7.8621866e-05
0.00079999998,-15.18744,15.163077,541.54199,2.0515852e-06,-4.1029375e-06,2.0515852e-06,-3.5531812e-06,-1.9805184e-06,3.430099e-06,7.9939213e-30,9.1267651e-26,8.3776045e-05
0.000825,-15.324524,15.299417,541.61591,2.0461712e-06,-4.0921104e-06,2.0461712e-06,-3.5438047e-06,-1.975081e-06,3.4206821e-06,1.0438622e-29,1.043087e-25,8.9093846e-05
0.00085000001,-15.431223,15.405374,541.69043,2.040772e-06,-4.0813125e-06,2.040772e-06,-3.5344535e-06,-1.9696583e-06,3.4112904e-06,1.3208479e-29,1.1733333e-25,9.4575269e-05
0.00087499997,-15.506697,15.480106,541.76544,2.0353873e-06,-4.0705436e-06,2.0353873e-06,-3.5251276e-06,-1.9642503e-06,3.4019242e-06,1.6303337e-29,1.302972e-25,0.00010022031
0.00087499997,-15.506697,15.480106,541.76544,2.0353873e-06,-4.0705436e-06,2.0353873e-06,-3.5251276e-06,-1.9642503e-06,3.4019242e-06,1.6303337e-29,1.302972e-25,0.00010022031
0.00087500003,-15.506697,15.480106,541.76544,4.1279131e-06,-6.1630694e-06,4.1279131e-06,-4.7332478e-06,-3.9857864e-06,4.5690585e-06,1.6303343e-29,2.0600655e-25,0.00010022032
0.00087500003,-15.506697,15.480106,541.76544,4.1280318e-06,-6.1631881e-06,4.1280318e-06,-4.7333165e-06,-3.985901e-06,4.5691245e-06,1.6303343e-29,2.0601513e-25,0.00010022032
0.00087500003,-15.506697,15.480106,541.76544,4.1280318e-06,-6.1631881e-06,4.1280318e-06,-4.7333165e-06,-3.985901e-06,4.5691245e-06,1.6303343e-29,2.0601513e-25,0.00010022032
0.00087500003,-15.506698,15.480106,541.76544,4.1280318e-06,-8.2555953e-06,4.1280318e-06,-7.1494205e-06,-3.985901e-06,6.9032608e-06,1.6303354e-29,2.8172178e-25,0.00010022033
0.00087500003,-15.506698,15.480106,541.76544,4.1280318e-06,-8.2555953e-06,4.1280318e-06,-7.1494205e-06,-3.985901e-06,6.9032608e-06,1.6303354e-29,2.8172178e-25,0.00010022033
0.00089999998,-15.55011,15.522779,541.8407,4.117137e-06,-8.2338074e-06,4.117137e-06,-7.1305517e-06,-3.9749589e-06,6.8843106e-06,2.3285391e-29,2.768428e-25,0.00010602899
0.000925,-15.560638,15.53257,541.91614,4.1062717e-06,-8.2120778e-06,4.1062717e-06,-7.1117338e-06,-3.9640463e-06,6.8654113e-06,3.014542e-29,2.7195681e-25,0.00011200129
0.00095000002,-15.537461,15.508656,541.99152,4.0954355e-06,-8.1904072e-06,4.0954355e-06,-7.0929668e-06,-3.9531637e-06,6.8465629e-06,3.6882949e-29,2.6704583e-25,0.00011813721
0.00097499997,-15.479761,15.450221,542.06671,4.0846289e-06,-8.1687949e-06,4.0846289e-06,-7.0742503e-06,-3.9423098e-06,6.827765e-06,4.3496974e-29,2.6209768e-25,0.00012443676
