"time","constantSpeed.phi","constantSpeedQS.phi","smee.excitation.electroMagneticConverter.Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.stator.stray.port_p.Phi.im","smee.stator.stray.port_p.Phi.re","smee.stator.zeroInductor.i0","smeeQS.short.port_p.reference.gamma"
27.932000000000002,4383.0524714761023,4383.837869639503,-0.46348495719808375,-0.37404470501922404,-0.2652525680904082,-0.032824217853511084,0.0022033056093397284,1.1652751736600058e-10,7.4208607267752527
27.932500000000001,4383.1309589325647,4383.9163570959654,-0.46350239756441081,-0.32794444315947069,-0.32049835696612328,-0.032073744974194102,0.0073043797413759586,1.586516170357504e-10,7.4209654465303707
27.933,4383.2094463890262,4383.9948445524269,-0.46351983906729094,-0.27376972982629133,-0.3678522587681855,-0.030535585890541339,0.012225070850817562,1.9688188306700355e-10,7.4210701662854888
27.933500000000002,4383.2879338454886,4384.0733320088893,-0.46353727635108327,-0.21285453657151082,-0.40614835956292711,-0.028247671943450511,0.016844545632866106,2.3026331073355232e-10,7.4211748860406086
27.934000000000001,4383.366421301951,4384.1518194653518,-0.46355470202803212,-0.14669879454577942,-0.43444377441357696,-0.025266343921217287,0.021049392620837454,2.5797586486568273e-10,7.4212796057957275
27.9345,4383.4449087584135,4384.2303069218142,-0.4635721301661721,-0.076931473210993806,-0.45204189129650468,-0.021664962710865834,0.024736407736403024,2.7933581748263745e-10,7.4213843255508456
27.935000000000002,4383.5233962148759,4384.3087943782766,-0.46358955529126517,-0.005270440160639156,-0.45850947687903537,-0.017532106917171632,0.027815124601635141,2.9381255576357751e-10,7.4214890453059645
27.935500000000001,4383.6018836713383,4384.387281834739,-0.46360696828685133,0.066519817610126583,-0.45368735629124074,-0.012969393421058874,0.030210035896489275,3.0104577007891767e-10,7.4215937650610835
27.936,4383.6803711277998,4384.4657692912006,-0.46362438278569762,0.13667164124988657,-0.43769436610571888,-0.0080889763055690383,0.03186244558210645,3.0087206859142881e-10,7.4216984848162024
27.936500000000002,4383.7588585842632,4384.5442567476639,-0.46364179507726422,0.20345773292004049,-0.41092437383689295,-0.0030107936821750212,0.032731906124970046,2.9328910240217577e-10,7.4218032045713214
