"Time","pulse2m.twomPulse.timerNegative[1].entryTime","rectifier.pre_n[2].u","rectifier.thyristor_n.idealThyristor[1].off","rectifier.thyristor_n.idealThyristor[3].off","meanCurrent.y","meanVoltage.y","rectifier.thyristor_p.idealThyristor[1].off","rectifier.thyristor_p.idealThyristor[3].off","pulse2m.twomPulse.timerNegative[3].entryTime","pulse2m.twomPulse.timerNegative[2].entryTime","pulse2m.twomPulse.timerPositive[1].entryTime","inductor.i","rootMeanSquareVoltage.mean.x","meanVoltage.x","rectifier.pre_n[3].u","rootMeanSquareVoltage.mean.y","rectifier.pre_p[2].u","rectifier.pre_n[1].u","pulse2m.twomPulse.timerPositive[2].entryTime","rectifier.thyristor_p.idealThyristor[2].off","pulse2m.twomPulse.timerPositive[3].entryTime","rectifier.pre_p[1].u","meanCurrent.x","rectifier.pre_p[3].u","rectifier.thyristor_n.idealThyristor[2].off"
4.9566665,4.9516668,0,0,1,13.383893,3.5059187,1,1,4.9450002,4.9383335,4.9416666,13.306602,0,0,0,6291.2837,1,1,4.9483333,0,4.9549999,0,0,0,1
4.9567962,4.9516668,0,0,1,13.383893,3.5059187,1,1,4.9450002,4.9383335,4.9416666,13.322632,2.1897044,0.016844809,0,6291.2837,1,1,4.9483333,0,4.9549999,0,0.0017261488,0,1
4.9569964,4.9516668,0,0,1,13.383893,3.5059187,1,1,4.9450002,4.9383335,4.9416666,13.344803,4.9564252,0.040352084,0,6291.2837,1,1,4.9483333,0,4.9549999,0,0.00439305,0,1
4.9571962,4.9516668,0,0,1,13.383893,3.5059187,1,1,4.9450002,4.9383335,4.9416666,13.363801,7.0445848,0.060768515,0,6291.2837,1,1,4.9483333,0,4.9549999,0,0.0070640696,0,1
4.9573965,4.9516668,0,0,1,13.383893,3.5059187,1,1,4.9450002,4.9383335,4.9416666,13.379558,8.5357647,0.078013532,0,6291.2837,1,1,4.9483333,0,4.9549999,0,0.0097385664,0,1
4.9575963,4.9516668,0,0,1,13.383893,3.5059187,1,1,4.9450002,4.9383335,4.9416666,13.392019,9.5209522,0.092019066,0,6291.2837,1,1,4.9483333,0,4.9549999,0,0.012415885,0,1
4.9577966,4.9516668,0,0,1,13.383893,3.5059187,1,1,4.9450002,4.9383335,4.9416666,13.401142,10.09912,0.10272985,0,6291.2837,1,1,4.9483333,0,4.9549999,0,0.015095363,0,1
4.9579964,4.9516668,0,0,1,13.383893,3.5059187,1,1,4.9450002,4.9383335,4.9416666,13.406898,10.375656,0.11010359,0,6291.2837,1,1,4.9483333,0,4.9549999,0,0.017776329,0,1
4.9581962,4.9516668,0,0,1,13.383893,3.5059187,1,1,4.9450002,4.9383335,4.9416666,13.409273,10.460708,0.11411121,0,6291.2837,1,1,4.9483333,0,4.9549999,0,0.02045811,0,1
4.9583335,4.9516668,0,0,1,13.383893,3.5059187,1,1,4.9450002,4.9383335,4.9416666,13.408946,10.466842,0.11490507,0,6291.2837,1,1,4.9483333,0,4.9549999,0,0.022294741,0,1
4.9583335,4.9516668,0,0,1,13.383893,3.5059187,1,1,4.9450002,4.9383335,4.9416666,13.408946,10.466842,0.11490507,0,6291.2837,1,1,4.9483333,0,4.9549999,0,0.022294741,0,1
4.9583335,4.9516668,0,0,1,13.383893,3.5059187,1,1,4.9450002,4.9383335,4.9416666,13.408946,10.466842,0.11490507,0,6291.2837,1,1,4.9483333,0,4.9549999,0,0.022294762,0,1
4.9583335,4.9516668,0,0,1,13.383893,3.5059187,1,1,4.9450002,4.9583335,4.9416666,13.408946,10.466842,0.11490507,0,6291.2837,0,1,4.9483333,0,4.9549999,0,0.022294762,0,1
4.9583964,4.9516668,0,0,1,13.383893,3.5059187,1,1,4.9450002,4.9583335,4.9416666,13.408262,10.467452,0.11473687,0,6291.2837,0,1,4.9483333,0,4.9549999,0,0.023140026,0,1
4.9585962,4.9516668,0,0,1,13.383893,3.5059187,1,1,4.9450002,4.9583335,4.9416666,13.403878,10.510258,0.11197815,0,6291.2837,0,1,4.9483333,0,4.9549999,0,0.025821403,0,1
4.9587965,4.9516668,0,0,1,13.383893,3.5059187,1,1,4.9450002,4.9583335,4.9416666,13.396145,10.702971,0.10584596,0,6291.2837,0,1,4.9483333,0,4.9549999,0,0.028501566,0,1
4.9589963,4.9516668,0,0,1,13.383893,3.5059187,1,1,4.9450002,4.9583335,4.9416666,13.385099,11.157063,0.096364409,0,6291.2837,0,1,4.9483333,0,4.9549999,0,0.031179851,0,1
4.9591966,4.9516668,0,0,1,13.383893,3.5059187,1,1,4.9450002,4.9583335,4.9416666,13.370793,11.979903,0.083570875,0,6291.2837,0,1,4.9483333,0,4.9549999,0,0.033855602,0,1
4.9593964,4.9516668,0,0,1,13.383893,3.5059187,1,1,4.9450002,4.9583335,4.9416666,13.353289,13.273003,0.067515925,0,6291.2837,0,1,4.9483333,0,4.9549999,0,0.036528166,0,1
4.9595966,4.9516668,0,0,1,13.383893,3.5059187,1,1,4.9450002,4.9583335,4.9416666,13.332663,15.13048,0.048262928,0,6291.2837,0,1,4.9483333,0,4.9549999,0,0.03919692,0,1
4.9597964,4.9516668,0,0,1,13.383893,3.5059187,1,1,4.9450002,4.9583335,4.9416666,13.309004,17.637547,0.025887873,0,6291.2837,0,1,4.9483333,0,4.9549999,0,0.04186124,0,1
4.95996,4.9516668,0,0,1,13.383893,3.5059187,1,1,4.9450002,4.9583335,4.9416666,13.287475,20.222767,0.0053346963,0,6291.2837,0,1,4.9483333,0,4.9549999,0,0.04403596,0,1
