"time","aimsE.idq_rr[1]","aimsE.idq_rr[2]","aimsE.idq_sr[1]","aimsE.idq_sr[2]","aimsE.is[1]","aimsE.is[2]","aimsE.ir[1]","aimsE.ir[2]","aimsM.rotor.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimsM.rotor.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimsM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimsM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimsM.is[1]","aimsM.is[2]","aimsM.ir[1]","aimsM.ir[2]","loadInertiaE.phi","loadInertiaE.w","loadInertiaM.phi","loadInertiaM.w"
1.20705,70.475461961553009,108.7571768149831,-110.74027732851987,-88.104221491350714,111.59039660850037,19.570640701986825,70.475461961552995,58.94874698487483,0.34862274885747535,-0.22576709574138501,-0.40574077836218597,0.16593402074322919,111.59030727552059,19.570763033423727,70.476516467393452,58.947577364880154,130.37124092136256,150.84277760156726,130.37124639034195,150.84278034709754
1.2071000000000001,70.407376917634622,108.80084559509211,-110.68507647493179,-88.173012352902703,110.20947245631326,21.769536658881528,70.407376917634551,59.020607779760738,0.3487636687713957,-0.22554948478968911,-0.40829712665345425,0.15954048222562409,110.20937772542689,21.769662725283599,70.408428075925698,59.019442600995028,130.37878306041574,150.84278451962319,130.37878852953423,150.84278727088972
1.2071500000000002,70.339265003202854,108.84447226507911,-110.62983304016571,-88.241769090505429,108.80136402150701,23.963051427185739,70.339265003202868,59.092445541467839,0.34890445245661678,-0.22533178652130045,-0.41075273450469968,0.15310757861611615,108.80126375671908,23.963181335665652,70.340312739402833,59.091285000395551,130.38632519981391,150.84279140109791,130.38633066907184,150.84279415812094
1.2072000000000001,70.271126243666615,108.88805681176567,-110.57454704469866,-88.310491681384732,107.3664188200558,26.150643864622538,70.271126243666615,59.16426024587895,0.34904509985943988,-0.22511400102044557,-0.41310699674414975,0.14663689754203307,107.36631402515195,26.150776588475953,70.272171566642797,59.163103423034208,130.39386733955524,150.84279824605588,130.39387280895281,150.84280100885425
1.2072500000000002,70.202960664481324,108.93159922198684,-110.51921850906156,-88.379180102777752,105.90499098722154,28.331774292228346,70.202960664481282,59.236051868865168,0.34918561092621853,-0.22489612837137388,-0.41535933356512944,0.14013003614732522,105.90488437010961,28.331907122977462,70.204006155414561,59.23489614783135,130.40140947963792,150.84280505456178,130.40141494917543,150.84280782315281
1.2073,70.134768291151076,108.97509948258894,-110.46384745384094,-88.447834331930068,104.41744119017665,30.505904627465192,70.134768291151019,59.307820386282962,0.34932598560335421,-0.22467816865836454,-0.41750919074390846,0.13358860073568349,104.41733784447879,30.506032518309283,70.135818674601921,59.306660743964535,130.40895162006007,150.84281182668067,130.40895708973787,150.84281460108002
1.2073500000000001,70.066549149222325,109.01855758043104,-110.408433899673,-88.516454346097902,102.90413653895412,32.672498517025204,70.066549149222297,59.379565773978712,0.34946622383730158,-0.22446012196571949,-0.41955603735142943,0.12701420505135169,102.90404081762766,32.672617128998183,70.067608325667152,59.378397790197027,130.41649376081998,150.84281856247765,130.41649923063829,150.84282134269958
1.2074,69.998303264272053,109.06197350238506,-110.35297786723083,-88.58504012254744,101.3654504959208,34.831021469034894,69.998303264272053,59.451288007794744,0.34960632557456434,-0.22424198837777179,-0.42149935737055449,0.12040846524873162,101.36534951836333,34.831143198806259,69.99935930112197,59.450124212988925,130.42403590191572,150.84282526201815,130.42404137187484,150.84282804807523
1.2074500000000001,69.930030661953268,109.10534723532959,-110.297479377272,-88.653591638549628,99.801762783586739,36.980940984998107,69.930030661953225,59.522987063541088,0.34974629076169855,-0.22402376797887319,-0.42333867920557805,0.11377301545190983,99.801656077229595,36.981066225058029,69.931083175689309,59.521827956879399,130.43157804334555,150.84283192536782,130.43158351344584,150.84283471727124
1.2075,69.861731367954661,109.14867876615392,-110.24193845059634,-88.722108871383128,98.213459290923197,39.121726691088881,69.861731367954576,59.594662917019157,0.34988611934530917,-0.22380546085340638,-0.42507354965376098,0.10710949313573016,98.213347382385308,39.121854945881765,69.862780891557918,59.593508078094501,130.43912018510764,150.84283855259258,130.43912565534936,150.84284135035202
1.2075500000000001,69.793405408010571,109.19196808175731,-110.18635510805677,-88.790591798334447,96.600931978112541,41.252850469034691,69.793405408010571,59.666315544016129,0.35002581127205445,-0.223587067085776,-0.42670354163281138,0.10041954284908433,96.600816940501247,41.252979880790001,69.794453849887674,59.665163099855882,130.44666232720022,150.84284514375878,130.44666779758361,150.84284794738213
1.2076,69.725052807903253,109.23521516904658,-110.13072937056113,-88.859040396694766,94.964578779866301,43.373786586342824,69.725052807903197,59.737944920302013,0.35016536648864138,-0.22336858676041629,-0.42822825436186118,0.093704815838024536,94.964464898472215,43.373913362821696,69.726103992404802,59.736790888175122,130.45420446962143,150.84285169893275,130.45420994014685,150.84285450842663
1.2076500000000001,69.656673593460553,109.27842001493732,-110.07506125907028,-88.927454643761848,93.304803507189959,45.484011826044046,69.656673593460539,59.809551021631314,0.3503047849418307,-0.22315001996178324,-0.42964731354256308,0.086966969668402228,93.304698073780145,45.484129563362771,69.657733885146186,59.808388516172954,130.46174661236955,150.84285821818128,130.46175208303723,150.84286103355055
1.2077,69.588267790538879,109.32158260635602,-110.01935079458005,-88.995834516841143,91.622015747789305,47.583005615682183,69.588267790538808,59.881133823753942,0.3504440665784318,-0.22293136677436573,-0.43096035824917034,0.080207662270723734,91.621909126317718,47.583122526580944,69.589328561154261,59.879971672565546,130.46928875544265,150.84286470157116,130.46929422625294,150.8428675228192
1.2077500000000001,69.51983542505937,109.36470293023221,-109.96359799815907,-89.064179993239378,89.916630764939839,49.670250155837564,69.519835425059327,59.952693302389875,0.35058321134530834,-0.22271262728267036,-0.43216706774250552,0.07342856274071459,89.916518419940076,49.670370073649046,69.520892710065141,59.951535749039571,130.47683089883907,150.84287114916964,130.47683636979221,150.84287397629839
1.2078,69.451376522989761,109.40778097350078,-109.90780289092969,-89.132491050265358,88.189069395105278,51.745230547734742,69.451376522989761,60.024229433240556,0.35072221918937241,-0.22249380157123458,-0.43326714721257653,0.066631344902637848,88.188951410226451,51.745353377618436,69.452430447173299,60.023076473329681,130.48437304255697,150.84287756104422,130.48437851365327,150.84288039405396
1.2078500000000001,69.382891110338889,109.4508167231039,-109.85196549406253,-89.200767665232988,86.439757944030191,53.807434920335751,69.382891110338861,60.095742191993224,0.35086109005759036,-0.22227488972461779,-0.43426032609003751,0.059817686147189492,86.439635774275388,53.807559492576864,69.383942988178831,60.094592593288461,130.49191518659458,150.84288393726268,130.49192065783436,150.84288677615211
1.2079,69.314379213162496,109.49381016598792,-109.79608582878231,-89.269009815457352,84.669128081588994,55.856354556562401,69.314379213162496,60.167231554315123,0.3509998238969777,-0.22205589182740904,-0.43514636059016004,0.05298926804638128,84.669005194460453,55.856478136872681,69.315432058880134,60.166082250424822,130.49945733095009,150.84289027789299,130.49946280233362,150.84289312265935
1.2079500000000001,69.245840857560907,109.53676128910429,-109.7401639163657,-89.337217478256349,82.877616735239158,57.891484018822943,69.245840857560864,60.238697495855781,0.35113842065460404,-0.22183680796421903,-0.43592503385520504,0.046147775959931268,82.877499380418357,57.891601725322467,69.246899978531246,60.23754284868437,130.50699947562177,150.84289658300344,130.50700494714934,150.84289943364237
