"time","loadInertiaE.phi","loadInertiaE.w","loadInertiaM.phi","loadInertiaM.w","smpmE.is[1]","smpmE.is[2]","smpmE.idq_dr[1]","smpmE.idq_rr[2]","smpmE.idq_sr[1]","smpmE.idq_sr[2]","smpmM.is[1]","smpmM.is[2]","smpmM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpmM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","vfController.x"
0.31145,6.791690688005338,64.08557239465695,6.7916932921414874,64.085496422605971,120.10199239377104,1.8907393063947437,-205.0747812937023,205.23670565665086,123.9970677934558,-64.536195671806269,120.10388631537016,1.8892557586597618,-0.39546693833944424,-0.16702218121955334,-0.1490967641641916,-0.45754799213952024,15.236897550212003
0.3115,6.794894679629909,64.074079543919609,6.7948972799620888,64.074003310180856,120.31459261479162,2.1153915275969908,-204.7248375393101,205.53304626672985,124.01794135943254,-65.312083751458843,120.3164850872903,2.1139185293868841,-0.39587673560066688,-0.16661140916406628,-0.14695143000517727,-0.45843517186183858,15.241790188070887
0.31154999999999999,6.7980980946644385,64.062508808381807,6.7981006911795703,64.062432313308392,120.52540868340535,2.3449732443304745,-204.37405164544799,205.82786625647819,124.03709862683071,-66.086816835850996,120.52729970139501,2.343510787144556,-0.39628583212566343,-0.16620004595999058,-0.14480061829714014,-0.45931230622418362,15.246683611327935
0.31159999999999999,6.801300929216568,64.050860264120203,6.8013035219015912,64.050783508068221,120.73439074158723,2.5794973361402924,-204.02242909625031,206.12116141275808,124.05454423631694,-66.860386819976085,120.73628034828999,2.5780453969803201,-0.39669422623619571,-0.1657880946532789,-0.14264437663221222,-0.46017936001552406,15.251577819983144
0.31165000000000004,6.8045031793977646,64.039133988064819,6.8045057682396362,64.03905697139345,120.94148906141541,2.8189762136689849,-203.66997539091372,206.41292754699052,124.07028285772743,-67.632785618595378,120.94337735725142,2.8175347527312136,-0.39710191626510005,-0.16537555829836703,-0.14048275284128853,-0.46103629825518794,15.256472814036524
0.31170000000000003,6.8077048413233463,64.027330057999322,6.8077074263090429,64.027252781070828,121.14665404935249,3.0634218176076891,-203.3166960435619,206.70316049527918,124.08431918994867,-68.404005166425222,121.14854120124173,3.0619907757969758,-0.39750890055632376,-0.16496243995813314,-0.13831579499324873,-0.46188308619460294,15.261368593488061
0.31175000000000003,6.8109059111125525,64.015448552561196,6.8109084922290686,64.015371015740897,121.34983625051618,3.3128456176935868,-202.96259658310768,206.9918561185379,124.096657960798,-69.174037418332574,121.3517225019493,3.3114249139507757,-0.39791517746496496,-0.16454874270385339,-0.13614355139415538,-0.46271968931904722,15.266265158337763
0.31180000000000002,6.8141063848885661,64.003489551242026,6.8141089621229138,64.00341175489821,121.55098635293766,3.5672586117429219,-202.60768255311794,207.27901030261484,124.10730392690401,-69.942874349521972,121.55287203482598,3.5658481401932742,-0.39832074535730905,-0.16413446961516107,-0.13396607058647611,-0.46354607334939002,15.271162508585626
0.31185000000000002,6.8173062587785633,63.99145313438769,6.8173088321177753,63.991375078891636,121.75005519180743,3.8266713247294577,-202.25195951167711,207.56461895841815,124.11626187358735,-70.710507955727039,121.75194073416269,3.8252709516339536,-0.39872560261086654,-0.16371962378000429,-0.13178340134829383,-0.46436220424383773,15.276060644231654
0.31190000000000001,6.8205055289138734,63.979339382835654,6.8205080983449982,63.979261068562522,121.94699372718465,4.0910938050617407,-201.89543301212527,207.84867800481942,124.12353658574472,-71.476930238956442,121.94887909329339,4.0897035208731447,-0.39912974760802422,-0.16330420828922113,-0.12959559241882423,-0.46516804811393458,15.280959565275841
0.31195000000000001,6.8237041914302257,63.967148377358534,6.8237067569403296,63.967069804689515,122.14175300830127,4.3605356180414621,-201.53810857357706,208.13118334235685,124.12913280324115,-72.24213318552448,122.14363624107064,4.3591559290457278,-0.39953317872628558,-0.16288822622823823,-0.12740269207770025,-0.465963571094755,15.285859271718197
0.312,6.8269022424666579,63.954880201923459,6.8269048040428268,63.954801371240116,122.33428441538322,4.6350058716655402,-201.17999185256488,208.41213100803685,124.13305548122142,-73.006108895968978,122.33616537988574,4.6336367955084965,-0.39993589439566601,-0.1624716807253746,-0.12520475060238853,-0.46674874011675016,15.290759763558714
0.31204999999999999,6.8300996781667624,63.942534940209953,6.8301022357961045,63.942455851896945,122.5245394088861,4.9145131893288383,-200.82108845936176,208.69151701019226,124.135309511728,-73.768849446631151,122.52641798675847,4.9131547396595971,-0.40033789303744483,-0.16205457490014338,-0.12300181764088708,-0.46752352208466114,15.295661040797397
0.31209999999999999,6.833296494678339,63.930112676746255,6.8332990483479792,63.930033331191325,122.71246961710206,5.1990657173386747,-200.46140401772527,208.96933738252599,124.13589981436456,-74.530346935067811,122.71434571180316,5.1977179028655494,-0.40073917308419793,-0.16163691188006271,-0.12079394306783524,-0.468287884147712,15.300563103434241
0.31215000000000004,6.8364926881534362,63.917613496909354,6.8364952378505208,63.917533894503315,122.89802684032159,5.4886711242231421,-200.10094416474894,209.24558818422614,124.13483133615865,-75.290593480233625,122.89990038299189,5.4873339476718899,-0.40113973297983158,-0.16121869480060938,-0.11858117698355508,-0.46904179370130195,15.305465951469253
0.31220000000000003,6.8396882547483848,63.905037486924989,6.8396908004600796,63.904957628061744,123.08116305497835,5.7833366000813795,-199.73971455071586,209.52026550007955,124.13210905142438,-76.049581222659441,123.0830340109168,5.7820100570610817,-0.40153957117961481,-0.16079992680517544,-0.11636356971310502,-0.46978521838869419,15.310369584902425
0.31225000000000003,6.8428831906238576,63.89238473386758,6.8428857323373462,63.892304618944081,123.26183041778206,6.0830688559770056,-199.37772083894842,209.79336544058847,124.12773796162509,-76.807302324638854,123.26369879355877,6.0817529337570067,-0.40193868615021539,-0.16038061104501963,-0.11414117180530899,-0.4705181261027131,15.31527400373376
0.31230000000000002,6.846077491944901,63.879655325660281,6.84608002964739,63.879574955076528,123.43998126983357,6.3878741233721765,-199.0149687056616,210.06488414208414,124.12172309523613,-77.563748970406465,123.44184712109161,6.3865687995467058,-0.40233707636973226,-0.15996075067922411,-0.11191403403181009,-0.47124048498743198,15.320179207963259
0.31235000000000002,6.8492711548809755,63.866849351074997,6.8492736885596912,63.866768725234024,123.61556814072534,6.697758153603008,-198.65146383981488,210.33481776684175,124.11406950760747,-78.318913366320103,123.61743158064819,6.6964633946787009,-0.4027347403277296,-0.15954034887464813,-0.10968220738611204,-0.47195226343986668,15.325085197590919
0.31240000000000001,6.8524641756060056,63.853966899732349,6.8524667052481902,63.853886019040232,123.7885437526248,7.0127262173997806,-198.28721194296395,210.60316250319548,124.10478228082638,-79.072787741042703,123.7904049611394,7.011441977272435,-0.40313167652527049,-0.15911940880588282,-0.10744574308262299,-0.47265343011166672,15.329991972616744
0.31245000000000001,6.8556565502984181,63.841008062101679,6.8556590758913405,63.840926926967491,123.95886102434191,7.3327831044470155,-197.9222187291129,210.86991456565295,124.0938665235803,-79.825364345723585,123.96072025808304,7.331509322766105,-0.40352788347495111,-0.15869793365520551,-0.1052046925556995,-0.47334395391080769,15.334899533040733
0.3125,6.8588482751411801,63.827972929501037,6.8588507966721268,63.827891540336893,124.1264730753801,7.6579331229849945,-197.55648992456597,211.13507019501043,124.08132737101928,-80.576635454180163,124.1283306783793,7.6566697234492356,-0.40392335970093401,-0.15827592661253431,-0.1029591074586902,-0.47402380400328309,15.339807878862885
