"Time","aimc.idq_sr[2]","aimc.idq_rr[1]","aimc.is[1]","aimc.is[2]","loadInertia.w","PI.x","aimc.idq_rr[2]","aimc.idq_sr[1]","powerSensor.flange_a.phi"
4.5056977,-6.5442729,-0.1898713,6.2431078,-7.9300079,157.04027,3.3569849,0.15892717,-5.1444373,707.5827
4.5057979,-6.5443377,-0.18990527,6.4144607,-7.8434544,157.04021,3.4700475,0.15895091,-5.1443539,707.59839
4.505898,-6.5444036,-0.18994036,6.5794821,-7.7491565,157.04015,3.5847723,0.15897544,-5.1442695,707.61407
4.5059981,-6.5444703,-0.18997662,6.738009,-7.6472082,157.04008,3.701149,0.1590008,-5.1441836,707.62976
4.5060978,-6.544538,-0.19001403,6.8898845,-7.5377097,157.04001,3.8191671,0.15902697,-5.1440964,707.64551
4.5061979,-6.5446062,-0.19005264,7.0349588,-7.4207687,157.03995,3.9388161,0.15905397,-5.1440082,707.66119
4.5062981,-6.5446758,-0.19009246,7.173089,-7.2965007,157.03989,4.0600853,0.15908182,-5.1439185,707.67688
4.5063982,-6.5447459,-0.1901335,7.3041377,-7.1650281,157.03983,4.1829638,0.15911052,-5.1438279,707.69263
4.5064979,-6.544817,-0.19017579,7.4279757,-7.0264807,157.03975,4.3074417,0.15914008,-5.1437354,707.70831
4.506598,-6.544889,-0.19021934,7.5444813,-6.8809953,157.03969,4.4335084,0.15917051,-5.1436419,707.724
4.5066981,-6.5449619,-0.19026417,7.6535382,-6.7287154,157.03961,4.5611529,0.15920183,-5.1435475,707.73975
4.5067978,-6.5450354,-0.19031031,7.7550397,-6.5697908,157.03955,4.6903653,0.15923403,-5.1434512,707.75543
4.5068979,-6.5451102,-0.19035776,7.8488846,-6.4043784,157.03947,4.8211341,0.15926713,-5.1433539,707.77112
4.5069981,-6.545186,-0.19040656,7.9349809,-6.2326422,157.0394,4.9534502,0.15930113,-5.1432548,707.7868
4.5070982,-6.5452628,-0.19045672,8.0132427,-6.0547504,157.03932,5.0873017,0.15933605,-5.1431546,707.80255
4.5071979,-6.5453405,-0.19050826,8.0835934,-5.8708792,157.03926,5.2226787,0.1593719,-5.1430526,707.81824
4.507298,-6.5454187,-0.19056119,8.1459618,-5.68121,157.03918,5.35957,0.15940867,-5.1429496,707.83392
4.5073981,-6.5454984,-0.19061555,8.2002878,-5.48593,157.03911,5.4979663,0.15944639,-5.1428447,707.84967
4.5074978,-6.545579,-0.19067134,8.2465172,-5.2852316,157.03903,5.637856,0.15948506,-5.1427383,707.86536
4.5075979,-6.5456605,-0.19072857,8.2846041,-5.0793128,157.03894,5.7792287,0.15952469,-5.1426306,707.88104
4.5076981,-6.5457435,-0.19078729,8.3145103,-4.8683772,157.03886,5.9220743,0.15956528,-5.1425214,707.89679
4.5077982,-6.5458269,-0.19084749,8.3362074,-4.6526327,157.03879,6.0663819,0.15960686,-5.1424108,707.91248
4.5078979,-6.5459113,-0.19090921,8.3496723,-4.4322929,157.0387,6.2121415,0.15964942,-5.1422982,707.92816
4.507998,-6.5459971,-0.19097246,8.3548918,-4.2075739,157.03862,6.3593416,0.15969297,-5.1421843,707.94385
4.5080981,-6.5460839,-0.19103725,8.351861,-3.978699,157.03854,6.5079722,0.15973751,-5.1420684,707.95959
4.5081978,-6.5461717,-0.19110361,8.3405828,-3.745893,157.03845,6.6580229,0.15978307,-5.1419511,707.97528
4.5082979,-6.5462604,-0.19117156,8.3210678,-3.5093863,157.03836,6.8094826,0.15982965,-5.1418324,707.99097
4.5083981,-6.5463505,-0.19124112,8.2933359,-3.2694123,157.03828,6.9623418,0.15987724,-5.1417117,708.00671
4.5084982,-6.5464416,-0.19131228,8.2574129,-3.0262077,157.03819,7.1165886,0.15992588,-5.1415896,708.0224
4.5085979,-6.5465336,-0.19138511,8.213335,-2.7800126,157.0381,7.2722135,0.15997554,-5.1414657,708.03809
4.508698,-6.5466266,-0.19145958,8.1611452,-2.5310702,157.03801,7.4292059,0.16002627,-5.1413398,708.05377
4.5087981,-6.546721,-0.19153574,8.1008959,-2.2796264,157.03792,7.5875545,0.16007805,-5.141212,708.06952
4.5088978,-6.5468163,-0.19161358,8.0326443,-2.0259292,157.03783,7.7472496,0.16013089,-5.1410828,708.08521
4.5089979,-6.5469131,-0.19169316,7.95646,-1.7702291,157.03773,7.9082799,0.1601848,-5.1409516,708.10089
4.5090981,-6.5470104,-0.19177446,7.8724165,-1.5127788,157.03764,8.0706358,0.1602398,-5.1408191,708.11664
4.5091982,-6.5471096,-0.19185752,7.7805967,-1.2538322,157.03755,8.2343054,0.16029587,-5.1406841,708.13232
4.5092978,-6.5472093,-0.19194235,7.6810923,-0.99364537,157.03745,8.3992796,0.16035305,-5.1405478,708.14801
4.509398,-6.5473104,-0.19202895,7.5739999,-0.73247504,157.03735,8.5655479,0.16041133,-5.140409,708.16376
4.5094981,-6.5474129,-0.19211738,7.4594259,-0.47057924,157.03725,8.733099,0.16047072,-5.1402688,708.17944
4.5095983,-6.5475163,-0.19220762,7.3374834,-0.20821652,157.03716,8.9019222,0.16053122,-5.1401267,708.19513
4.5096979,-6.5476208,-0.19229971,7.208292,0.054353945,157.03705,9.0720072,0.16059285,-5.1399822,708.21082
4.509798,-6.5477266,-0.19239366,7.0719795,0.31687281,157.03696,9.2433434,0.16065562,-5.1398363,708.22656
4.5098982,-6.5478334,-0.19248948,6.9286809,0.57908076,157.03685,9.4159212,0.16071953,-5.139688,708.24225
4.5099978,-6.5479417,-0.1925872,6.7785368,0.84071887,157.03674,9.5897293,0.16078459,-5.1395378,708.25793
4.510098,-6.5480514,-0.19268684,6.6216955,1.1015285,157.03664,9.7647572,0.16085079,-5.1393857,708.27368
4.5101981,-6.548162,-0.19278841,6.4583116,1.3612523,157.03654,9.9409952,0.16091816,-5.1392317,708.28937
4.5102983,-6.5482736,-0.19289193,6.288547,1.6196334,157.03644,10.118432,0.16098671,-5.1390758,708.30505
4.5103979,-6.5483866,-0.1929974,6.1125689,1.8764167,157.03633,10.297056,0.16105643,-5.1389174,708.3208
4.510498,-6.548501,-0.19310486,5.9305506,2.1313484,157.03622,10.47686,0.16112734,-5.1387572,708.33649
4.5105982,-6.5486169,-0.19321433,5.742672,2.3841767,157.0361,10.65783,0.16119944,-5.1385946,708.35217
4.5106978,-6.5487337,-0.1933258,5.549119,2.6346517,157.036,10.839958,0.16127273,-5.1384301,708.36786
4.510798,-6.548852,-0.19343932,5.3500819,2.8825262,157.03589,11.023232,0.16134724,-5.1382632,708.38361
4.5108981,-6.5489712,-0.19355489,5.1457577,3.1275547,157.03578,11.207643,0.16142297,-5.1380944,708.39929
4.5109982,-6.5490918,-0.19367252,4.936348,3.3694952,157.03566,11.393178,0.16149992,-5.1379237,708.41498
4.5110979,-6.5492139,-0.19379224,4.7220592,3.608109,157.03555,11.579829,0.16157809,-5.1377506,708.43073
4.511198,-6.5493369,-0.19391406,4.5031037,3.8431599,157.03543,11.767586,0.1616575,-5.1375751,708.44641
4.5112982,-6.5494618,-0.19403799,4.2796969,4.0744157,157.03532,11.956436,0.16173814,-5.1373978,708.4621
4.5113978,-6.5495877,-0.19416405,4.0520597,4.3016477,157.0352,12.14637,0.16182005,-5.137218,708.47778
4.511498,-6.549715,-0.19429226,3.8204172,4.5246315,157.03508,12.337378,0.16190322,-5.1370358,708.49353
4.5115981,-6.5498433,-0.19442263,3.5849977,4.7431464,157.03497,12.529449,0.16198765,-5.1368513,708.50922
4.5116982,-6.5499735,-0.19455518,3.3460338,4.9569764,157.03485,12.722572,0.16207334,-5.1366649,708.5249
4.5117979,-6.5501046,-0.19468993,3.1037619,5.1659102,157.03473,12.916738,0.16216032,-5.1364756,708.54065
4.511898,-6.5502372,-0.19482689,2.8584208,5.3697414,157.03461,13.111935,0.1622486,-5.1362844,708.55634
4.5119982,-6.5503712,-0.19496608,2.6102531,5.5682678,157.03448,13.308154,0.16233817,-5.1360908,708.57202
4.5120983,-6.5505066,-0.19510749,2.359504,5.7612939,157.03436,13.505383,0.16242903,-5.1358948,708.58771
4.512198,-6.550643,-0.19525117,2.106421,5.9486284,157.03424,13.703614,0.16252121,-5.1356964,708.60345
4.5122981,-6.5507812,-0.19539712,1.8512543,6.1300859,157.03412,13.902835,0.1626147,-5.1354961,708.61914
4.5123982,-6.5509205,-0.19554535,1.594256,6.3054872,157.034,14.103036,0.16270952,-5.135293,708.63483
4.5124979,-6.5510616,-0.19569588,1.33568,6.4746585,157.03386,14.304207,0.16280566,-5.1350875,708.65057
4.512598,-6.5512037,-0.19584872,1.0757817,6.6374326,157.03374,14.506337,0.16290314,-5.1348791,708.66626
4.5126982,-6.5513477,-0.19600388,0.81481808,6.7936482,157.03362,14.709415,0.16300197,-5.1346688,708.68195
4.5127983,-6.5514927,-0.19616139,0.55304688,6.9431515,157.03348,14.913434,0.16310215,-5.1344562,708.69769
4.512898,-6.5516391,-0.19632123,0.29072687,7.0857935,157.03336,15.11838,0.16320369,-5.1342406,708.71338
4.5129981,-6.5517874,-0.19648346,0.028117262,7.2214336,157.03322,15.324244,0.16330658,-5.1340227,708.72906
4.5130982,-6.5519366,-0.19664806,-0.23452239,7.3499374,157.0331,15.531015,0.16341086,-5.1338024,708.74475
4.5131979,-6.5520878,-0.19681504,-0.49693248,7.4711781,157.03296,15.738686,0.16351651,-5.1335797,708.7605
4.513298,-6.5522399,-0.19698444,-0.75885367,7.5850348,157.03282,15.947242,0.16362354,-5.1333542,708.77618
4.5133982,-6.5523939,-0.19715625,-1.020027,7.6913958,157.03268,16.156675,0.16373198,-5.1331263,708.79187
4.5134983,-6.5525494,-0.19733049,-1.2801943,7.7901549,157.03256,16.366976,0.16384181,-5.1328959,708.80762
4.513598,-6.5527058,-0.19750716,-1.5390985,7.8812141,157.03242,16.578133,0.16395305,-5.1326628,708.8233
4.5136981,-6.5528641,-0.1976863,-1.7964834,7.9644842,157.03229,16.790136,0.1640657,-5.1324272,708.83899
4.5137982,-6.5530243,-0.19786789,-2.0520947,8.0398817,157.03215,17.002975,0.16417979,-5.1321893,708.85468
4.5138979,-6.5531855,-0.19805196,-2.3056798,8.1073322,157.03201,17.21664,0.16429529,-5.1319485,708.87042
4.513998,-6.5533481,-0.19823851,-2.5569875,8.166769,157.03188,17.431122,0.16441222,-5.1317048,708.88611
4.5140982,-6.5535126,-0.19842756,-2.8057697,8.218133,157.03174,17.64641,0.16453059,-5.1314588,708.90179
4.5141983,-6.5536785,-0.19861911,-3.0517802,8.2613726,157.0316,17.862494,0.16465041,-5.1312099,708.91754
4.514298,-6.5538459,-0.19881319,-3.294776,8.2964449,157.03145,18.079361,0.16477168,-5.1309586,708.93323
4.5143981,-6.5540147,-0.19900979,-3.5345161,8.3233166,157.03131,18.297005,0.1648944,-5.1307049,708.94891
4.5144982,-6.5541849,-0.19920893,-3.7707641,8.341959,157.03117,18.515415,0.16501859,-5.1304479,708.9646
4.5145984,-6.5543571,-0.19941062,-4.0032859,8.3523531,157.03104,18.734579,0.16514426,-5.1301885,708.98035
4.514698,-6.5545306,-0.19961485,-4.2318516,8.3544903,157.03088,18.954489,0.1652714,-5.1299267,708.99603
4.5147982,-6.5547061,-0.19982165,-4.4562354,8.3483677,157.03075,19.175133,0.16540003,-5.1296616,709.01172
4.5148983,-6.5548825,-0.20003103,-4.6762147,8.3339901,157.03059,19.396503,0.16553016,-5.1293941,709.02747
4.514998,-6.5550609,-0.20024298,-4.891572,8.3113718,157.03046,19.618587,0.16566177,-5.1291237,709.04315
4.5150981,-6.5552411,-0.20045753,-5.1020947,8.2805347,157.0303,19.841377,0.16579489,-5.1288509,709.05884
4.5151982,-6.5554223,-0.20067467,-5.3075743,8.2415104,157.03017,20.064863,0.16592953,-5.1285753,709.07452
4.5152984,-6.5556054,-0.20089442,-5.5078068,8.1943359,157.03001,20.289034,0.16606568,-5.1282969,709.09027
4.515398,-6.5557904,-0.20111679,-5.7025952,8.1390581,157.02986,20.51388,0.16620335,-5.1280155,709.10596
4.5154982,-6.5559764,-0.20134176,-5.8917456,8.0757313,157.02971,20.739391,0.16634254,-5.1277313,709.12164
4.5155983,-6.5561643,-0.20156938,-6.0750713,8.0044184,157.02957,20.965559,0.16648325,-5.1274447,709.13739
4.515698,-6.556354,-0.20179963,-6.2523909,7.925189,157.02942,21.192373,0.16662551,-5.1271553,709.15308
4.5157981,-6.5565453,-0.20203252,-6.4235287,7.8381209,157.02927,21.419825,0.16676931,-5.126863,709.16876
4.5158982,-6.5567379,-0.20226805,-6.588315,7.7433009,157.02911,21.6479,0.16691467,-5.1265678,709.18445
4.5159984,-6.5569324,-0.20250623,-6.7465873,7.6408219,157.02896,21.876593,0.16706157,-5.1262698,709.2002
4.516098,-6.5571289,-0.20274708,-6.8981881,7.5307856,157.02881,22.105892,0.16721004,-5.1259689,709.21588
4.5161982,-6.5573263,-0.20299058,-7.0429678,7.4133,157.02866,22.335789,0.16736007,-5.1256657,709.23157
4.5162983,-6.5575261,-0.20323674,-7.1807823,7.2884812,157.0285,22.566273,0.16751167,-5.1253591,709.24725
4.516398,-6.5577273,-0.20348559,-7.3114963,7.1564527,157.02835,22.797335,0.16766484,-5.1250496,709.263
4.5164981,-6.55793,-0.20373711,-7.4349794,7.0173445,157.0282,23.028965,0.1678196,-5.1247377,709.27869
4.5165982,-6.5581346,-0.20399131,-7.5511093,6.8712945,157.02805,23.261152,0.16797593,-5.124423,709.29437
4.5166984,-6.5583405,-0.20424819,-7.659771,6.7184463,157.02788,23.493891,0.16813387,-5.124105,709.31012
4.516798,-6.5585485,-0.20450777,-7.7608566,6.5589514,157.02773,23.727167,0.16829339,-5.1237845,709.32581
4.5168982,-6.5587578,-0.20477003,-7.8542662,6.3929672,157.02757,23.960974,0.16845451,-5.1234612,709.34149
4.5169983,-6.558969,-0.20503499,-7.9399071,6.2206578,157.02742,24.195301,0.16861723,-5.1231346,709.35718
4.5170984,-6.5591822,-0.20530266,-8.0176945,6.0421934,157.02725,24.43014,0.16878156,-5.1228056,709.37292
4.5171981,-6.5593967,-0.20557301,-8.0875502,5.8577504,157.0271,24.66548,0.1689475,-5.1224737,709.38861
4.5172982,-6.5596132,-0.20584607,-8.1494064,5.667511,157.02695,24.901312,0.16911507,-5.1221385,709.4043
4.5173984,-6.5598311,-0.20612185,-8.2032003,5.471663,157.02678,25.137627,0.16928424,-5.1218009,709.42004
4.517498,-6.560051,-0.20640032,-8.2488794,5.2704005,157.02663,25.374414,0.16945504,-5.1214604,709.43573
4.5175982,-6.5602727,-0.20668149,-8.286397,5.0639219,157.02646,25.611666,0.16962746,-5.1211166,709.45142
4.5176983,-6.5604959,-0.20696537,-8.3157177,4.8524318,157.02631,25.849373,0.16980152,-5.1207705,709.4671
4.5177984,-6.5607209,-0.20725197,-8.3368101,4.6361394,157.02614,26.087526,0.1699772,-5.1204214,709.48285
4.5178981,-6.5609479,-0.20754127,-8.3496552,4.4152579,157.02599,26.326115,0.17015454,-5.120069,709.49854
4.5179982,-6.5611763,-0.20783329,-8.3542385,4.1900063,157.02582,26.565132,0.1703335,-5.1197143,709.51422
4.5180984,-6.5614066,-0.20812801,-8.3505554,3.9606071,157.02565,26.804565,0.17051412,-5.1193562,709.52997
4.518198,-6.5616384,-0.20842543,-8.3386097,3.7272873,157.0255,27.044409,0.17069639,-5.1189957,709.54565
4.5182981,-6.5618725,-0.20872557,-8.3184118,3.4902775,157.02533,27.284653,0.1708803,-5.1186318,709.56134
4.5183983,-6.5621076,-0.20902842,-8.2899837,3.2498124,157.02516,27.525288,0.17106587,-5.1182652,709.57703
4.5184984,-6.562345,-0.20933397,-8.2533522,3.0061295,157.02499,27.766304,0.17125309,-5.1178961,709.59277
4.5185981,-6.5625839,-0.20964223,-8.2085524,2.7594702,157.02484,28.007694,0.17144196,-5.1175237,709.60846
4.5186982,-6.5628247,-0.20995319,-8.1556292,2.5100782,157.02467,28.249449,0.1716325,-5.1171484,709.62415
4.5187984,-6.5630674,-0.21026686,-8.0946341,2.2582004,157.02451,28.491558,0.17182471,-5.1167707,709.63983
4.518898,-6.5633116,-0.21058321,-8.025629,2.0040863,157.02434,28.734015,0.17201857,-5.1163898,709.65558
4.5189981,-6.5635581,-0.21090227,-7.9486799,1.7479866,157.02417,28.976807,0.17221411,-5.1160059,709.67126
4.5190983,-6.5638056,-0.21122402,-7.8638635,1.4901552,157.024,29.219929,0.17241131,-5.1156192,709.68695
4.5191984,-6.5640554,-0.21154846,-7.7712636,1.2308472,157.02385,29.463373,0.17261018,-5.1152296,709.7027
4.5192981,-6.5643067,-0.21187557,-7.6709719,0.97031921,157.02368,29.707127,0.17281072,-5.1148372,709.71838
4.5193982,-6.5645599,-0.21220538,-7.563087,0.70882905,157.02351,29.951183,0.17301294,-5.1144423,709.73407
4.5194983,-6.564815,-0.21253785,-7.4477153,0.44663543,157.02335,30.195536,0.17321683,-5.1140442,709.74976
4.5195985,-6.5650721,-0.21287301,-7.3249712,0.18399794,157.02318,30.440172,0.1734224,-5.1136432,709.7655
4.5196981,-6.5653305,-0.21321084,-7.1949759,-0.07882347,157.02301,30.685087,0.17362964,-5.1132393,709.78119
4.5197983,-6.5655909,-0.21355134,-7.0578575,-0.34156865,157.02284,30.930271,0.17383856,-5.112833,709.79688
4.5198984,-6.5658531,-0.2138945,-6.9137521,-0.6039775,157.02267,31.175714,0.17404915,-5.1124234,709.81256
4.5199981,-6.5661173,-0.2142403,-6.7628016,-0.86579025,157.02251,31.421412,0.17426144,-5.112011,709.82831
4.5200982,-6.5663829,-0.21458876,-6.6051555,-1.1267476,157.02234,31.667351,0.17447539,-5.1115961,709.84399
4.5201983,-6.5666504,-0.21493986,-6.4409695,-1.3865913,157.02216,31.913527,0.17469102,-5.1111779,709.85968
4.5202985,-6.5669198,-0.21529362,-6.2704062,-1.6450641,157.02199,32.159931,0.17490834,-5.1107574,709.87543
4.5203981,-6.5671906,-0.21564998,-6.0936346,-1.9019099,157.02182,32.406551,0.17512733,-5.1103334,709.89111
