"time","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imc.stator.zeroInductor.i0","imcQS.rotorCage.port_p.reference.gamma","loadInertia.phi","loadInertia.w","loadInertiaQS.phi","loadInertiaQS.w","transformer.l2sigma.inductor[1].i","transformer.l2sigma.inductor[3].i"
1.8403500000000002,0.11569320096149537,-0.071843065709521328,0.17793501600502848,0.15120145050995096,-2.1155796820437427e-14,344.60794069371718,113.26919830923391,115.98107999496183,116.77753165477728,117.85730882991247,359.36035892882978,-486.42596752274477
1.8404,0.11599169960174448,-0.071366923542606195,0.17553859230858895,0.15397726275798712,-2.0251232207988161e-14,344.61186284673073,113.27499740500029,115.98275064097864,116.78342455990443,117.85889623599378,353.74215300718708,-488.46740747779654
1.8404500000000001,0.11628822666477022,-0.070889560598344073,0.17309887021086998,0.15671509908661205,-1.9325193098907493e-14,344.61578484101017,113.28079658429598,115.98442116571431,116.78931754439873,117.86048351389415,348.03666572442285,-490.3880432735005
1.8405,0.1165827772385211,-0.070410985089546976,0.17061645142983695,0.15941428417938985,-1.8276308194431984e-14,344.61970667656811,113.28659584711485,115.98609156916775,116.79521060825368,117.86207066361237,342.2453099481113,-492.18740361265878
1.8405500000000001,0.11687534644532249,-0.06993120524841652,0.16809194808017419,0.16207415215239288,-1.7121831005866688e-14,344.62362835341753,113.29239519345087,115.98776185133806,116.80110375146295,117.86365768514722,336.36951945610849,-493.8650468442479
1.8406,0.11716592944202288,-0.069450229326460416,0.16552598290807305,0.16469404700894028,-1.5597896408952992e-14,344.62754987157126,113.29819462329796,115.98943201222419,116.80699697402005,117.86524457849747,330.41074936797526,-495.42056206818864
1.8406500000000001,0.11745452142001037,-0.068968065594294428,0.162919188816882,0.16727332255938862,-1.3551805114736505e-14,344.63147123104204,113.30399413665006,115.99110205182512,116.81289027591866,117.86683134366191,324.37047513081939,-496.85356840664031
1.8407,0.11774111760524172,-0.068484722341496204,0.16027220855759339,0.16981134244698043,-1.1386945224014551e-14,344.63539243184272,113.30979373350111,115.9927719701399,116.81878365715228,117.86841798063934,318.25019184437451,-498.16371466875131
1.8407500000000001,0.11802571325844091,-0.068000207876501045,0.15758569508614931,0.17230748073564536,-8.9983285033732614e-15,344.63931347398608,113.31559341384505,115.99444176716752,116.8246771177146,117.87000448942854,312.05141493502805,-499.35068084492457
1.8408,0.11830830367508635,-0.067514530526434954,0.15486031106374754,0.17476112178379521,-6.5413436481760053e-15,344.64323435748497,113.3213931776758,115.99611144290698,116.8305706575991,117.87159087002827,305.77567909472498,-500.41417726448708
1.8408500000000001,0.11858888418544448,-0.067027698636929839,0.15209672849403535,0.17717166020547909,-4.0203078395285267e-15,344.64715508235224,113.32719302498732,115.9977809973573,116.83646427679945,117.87317712243735,299.42453750169585,-501.35394407879733
1.8409,0.11886745015475297,-0.066539720572048738,0.14929562906608654,0.17953850148981468,-1.6984599315338811e-15,344.65107564860068,113.33299295577351,115.99945043051744,116.8423579753092,117.87476324665455,292.9995624578475,-502.16975279445415
1.8409500000000001,0.11914399698323225,-0.06605060471409302,0.14645770369970623,0.18186106188501081,1.3630576826331499e-16,344.65499605624302,113.33879297002835,116.00111974238648,116.84825175312197,117.8763492426787,286.50234442354639,-502.86140550483935
1.8410000000000002,0.11941852010611463,-0.065560359463454551,0.14358365224520347,0.18413876840538701,1.5858030715289025e-15,344.65891630529234,113.34459306774575,116.00278893296336,116.85414561023134,117.87793511050855,279.93449136612867,-503.42873453258767
1.8410500000000001,0.11969101499377567,-0.065068993238486125,0.14067418353884412,0.18637105920585384,2.6459874638710208e-15,344.66283639576119,113.35039324891962,116.00445800224715,116.86003954663089,117.8795208501429,273.29762881611612,-503.87160316922035
1.8411000000000002,0.11996147715181099,-0.064576514475352995,0.13773001525034517,0.18855738374481826,3.1927759009139105e-15,344.66675632766248,113.35619351354394,116.00612695023679,116.86593356231423,117.88110646158056,266.59339950908287,-504.18990577915429
1.8411500000000001,0.12022990212104406,-0.064082931627875428,0.13475187350045739,0.19069720269982102,3.3207403671804584e-15,344.67067610100901,113.36199386161262,116.00779577693135,116.87182765727489,117.88269194482029,259.82346257178244,-504.38356717709695
1.8412000000000002,0.12049628547761712,-0.063588253167367784,0.13174049273208971,0.19278998815437925,3.2675133525389779e-15,344.67459571581367,113.36779429311962,116.0094644823298,116.87772183150656,117.88427729986093,252.98949321111471,-504.45254280409506
