"time","smee.is[1]","smee.is[2]","smee.idq_dr[1]","smee.idq_rr[2]","smee.idq_sr[1]","smee.idq_sr[2]","smee.inertiaRotor.phi","smee.inertiaRotor.w","smee.lesigma.i"
0.93770000000000009,-4.270540448671281,6.3403700223619364,-2.3840446841743566,12.187409478125954,6.4664189705382364,0.0096869163515853288,133.09222784929796,157.60603928857145,9.4395964549653701
0.93775000000000008,-4.3430211570725819,6.3153705033971441,-2.3823626699169091,12.183167736450983,6.461980023140069,0.0089658877109878091,133.10010814644886,157.60584675420816,9.4399888080073371
0.93780000000000008,-4.4143368966348513,6.2888561384659232,-2.3806816346141906,12.178926767495822,6.457543504282949,0.0082458372074819524,133.10798843397427,157.60565426703744,9.4403809360503441
0.93785000000000007,-4.484471764581671,6.260835521369156,-2.3790015779370073,12.174686571831296,6.4531094133569091,0.0075267639273864347,133.11586871187646,157.60546182707088,9.44077283916649
0.93790000000000007,-4.5534101701478784,6.2313176040646105,-2.3773224995559965,12.170447150027496,6.4486777497512904,0.0068086669575604846,133.12374898015781,157.60526943432006,9.4411645174279162
0.93795000000000006,-4.6211368379798525,6.2003116939716909,-2.3756443991416325,12.166208502653738,6.4442485128547293,0.0060915453854044404,133.13162923882072,157.60507708879655,9.4415559709067978
0.93800000000000006,-4.6876368114543716,6.1678274511923235,-2.3739672763642221,12.16197063027859,6.4398217020551742,0.0053753982988603089,133.13950948786754,157.60488479051185,9.441947199675365
0.93805000000000005,-4.7528954559152057,6.1338748856485985,-2.3722911308939074,12.157733533469868,6.4353973167398744,0.0046602247864123156,133.14738972730066,157.60469253947753,9.4423382038058712
0.93810000000000004,-4.8168984618245387,6.0984643541389882,-2.3706159624006675,12.153497212794624,6.4309753562953835,0.0039460239370874726,133.15526995712239,157.60450033570493,9.4427289833706229
0.93815000000000004,-4.8796318478322895,6.0616065573123263,-2.3689417705543137,12.149261668819159,6.4265558201075645,0.0032327948404561307,133.16315017733507,157.60430817920565,9.4431195384419695
0.93820000000000003,-4.941081963759367,6.0233125365617521,-2.3672685550244972,12.145026902109013,6.4221387075615866,0.0025205365866325389,133.17103038794116,157.60411606999094,9.4435098690922885
0.93825000000000003,-5.0012354934930316,5.9835936708404196,-2.3655963154807016,12.140792913228976,6.4177240180419277,0.001809248266275402,133.17891058894293,157.60392400807225,9.4438999753940074
0.93830000000000002,-5.0600794578005459,5.942461673396271,-2.3639250515922501,12.136559702743076,6.413311750932376,0.0010989289705884378,133.18679078034276,157.60373199346097,9.4442898574195961
0.93835000000000002,-5.1176012170531617,5.8999285884304751,-2.3622547630283002,12.132327271214587,6.4089019056160241,0.00038957779132093722,133.19467096214311,157.60354002616833,9.444679515241555
0.93840000000000001,-5.1737884738617792,5.8560067876799211,-2.3605854494578491,12.128095619206018,6.4044944814752851,-0.00031880617923168102,133.20255113434627,157.60334810620563,9.4450689489324322
0.93845000000000001,-5.2286292756276573,5.8107089669220731,-2.3589171105497275,12.123864747279127,6.4000894778918767,-0.0010262238482273097,133.21043129695457,157.60315623358417,9.4454581585648185
0.9385,-5.2821120170038265,5.7640481424054366,-2.3572497459726081,12.119634655994911,6.3956868942468335,-0.0017326761222765984,133.21831144997043,157.60296440831513,9.445847144211335
0.93855,-5.3342254422663675,5.7160376472070427,-2.3555833553949985,12.115405345913613,6.391286729920501,-0.0024381639074423905,133.22619159339624,157.60277263040979,9.4462359059446577
0.93859999999999999,-5.3849586475969335,5.666691127516847,-2.353917938485246,12.111176817594714,6.3868889842925416,-0.0031426881092391692,133.23407172723429,157.60258089987923,9.446624443837484
0.9386500000000001,-5.4343010832772851,5.6160225388487399,-2.3522534949115315,12.106949071596922,6.3824936567419241,-0.003846249632634064,133.24195185148702,157.60238921673465,9.44701275796257
0.93870000000000009,-5.4822425557913004,5.5640461421826997,-2.3505900243418898,12.102722108478224,6.3781007466469584,-0.0045488493820400365,133.24983196615679,157.60219758098708,9.4474008483926983
0.93875000000000008,-5.5287732298372294,5.5107765000365028,-2.3489275264441791,12.098495928795813,6.3737102533852488,-0.0052504882613247051,133.25771207124595,157.60200599264763,9.4477887152006943
0.93880000000000008,-5.5738836302498509,5.4562284724680525,-2.3472660008861035,12.094270533106135,6.369322176333724,-0.0059511671738035309,133.26559216675685,157.60181445172739,9.4481763584594312
0.93885000000000007,-5.6175646438310753,5.4004172130101464,-2.3456054473352057,12.090045921964871,6.3649365148686323,-0.0066508870222408249,133.27347225269193,157.60162295823739,9.4485637782418088
0.93890000000000007,-5.6598075209403556,5.3433581645495023,-2.3439458654200642,12.085822096084236,6.3605532682780268,-0.0073496488611221331,133.28135232905356,157.60143151220092,9.448950974627591
0.93895000000000006,-5.7006038774608339,5.2850670551178798,-2.3422872548132299,12.08159905599681,6.3561724359488165,-0.0080474535712011311,133.28923239584404,157.60124011362728,9.4493379476888233
0.93900000000000006,-5.7399456962707633,5.2255598936210621,-2.3406296152106827,12.077376802138794,6.3517940173204162,-0.0087443019401314184,133.29711245306589,157.60104876251825,9.4497246974934583
0.93905000000000005,-5.7778253285042709,5.1648529655340276,-2.3389729462791808,12.07315533506342,6.3474180117660275,-0.009440194869039048,133.30499250072131,157.60085745888463,9.4501112241145862
0.93910000000000005,-5.8142354950357147,5.1029628285055306,-2.3373172476853239,12.068934655323176,6.3430444186581809,-0.010135133258506006,133.31287253881274,157.60066620273744,9.4504975276253411
0.93915000000000004,-5.8491692877546742,5.0399063079130988,-2.3356625190955502,12.064714763469791,6.3386732373687131,-0.010829118008569798,133.32075256734257,157.60047499408753,9.4508836080988914
0.93920000000000003,-5.8826201707497674,4.9757004923562427,-2.3340087601761375,12.060495660054245,6.3343044672687885,-0.011522150018722926,133.32863258631312,157.60028383294576,9.4512694656084442
0.93925000000000003,-5.9145819814000085,4.910362729089794,-2.3323559705932033,12.056277345626768,6.3299381077288928,-0.012214230187912428,133.33651259572684,157.60009271932302,9.4516551002272529
0.93930000000000002,-5.9450489313707973,4.8439106194032648,-2.3307041500127053,12.052059820736838,6.3255741581188261,-0.012905359414539359,133.34439259558604,157.59990165323001,9.4520405120286046
0.93935000000000002,-5.9740156075187709,4.7763620139403988,-2.3290532981004408,12.047843085933181,6.3212126178077161,-0.013595538596458366,133.3522725858931,157.59971063467756,9.4524257010858275
0.93940000000000001,-6.0014769727018091,4.7077350079658249,-2.327403414522049,12.043627141763775,6.3168534861640149,-0.014284768630977145,133.36015256665047,157.5995196636764,9.4528106674722903
0.93945000000000001,-6.0274283664950516,4.6380479365791318,-2.3257544989430099,12.039411988775836,6.3124967625554937,-0.014973050414856004,133.3680325378605,157.59932874023724,9.4531954112614027
0.9395,-6.0518655058140265,4.5673193698752295,-2.3241065510286432,12.035197627515837,6.3081424463492537,-0.015660384844307353,133.3759124995255,157.59913786437079,9.4535799325266083
0.93955,-6.0747844854447282,4.4955681080518595,-2.3224595704441104,12.030984058529496,6.303790536911718,-0.01634677281499522,133.38379245164793,157.59894703608771,9.4539642313413914
0.93959999999999999,-6.0961817784779493,4.4228131764722169,-2.3208135568544175,12.02677128236178,6.2994410336086366,-0.017032215222034807,133.39167239423011,157.59875625539854,9.4543483077792807
0.9396500000000001,-6.1160542366523751,4.3490738206731301,-2.3191685099244066,12.022559299556889,6.295093935805081,-0.017716712959993476,133.39955232727451,157.59856552231403,9.4547321619138387
0.93970000000000009,-6.1343990906017369,4.2743695013323206,-2.3175244293187727,12.018348110658302,6.2907492428654752,-0.018400266922884205,133.40743225078339,157.59837483684461,9.4551157938186705
0.93975000000000009,-6.1512139500106677,4.1987198891830859,-2.3158813147020436,12.014137716208722,6.2864069541535432,-0.019082878004174245,133.4153121647592,157.59818419900091,9.4554992035674132
0.93980000000000008,-6.1664968036752876,4.1221448598900796,-2.3142391657385928,12.009928116750094,6.2820670690323563,-0.019764547096778516,133.4231920692043,157.59799360879339,9.455882391233752
