"Time","rectifier.thyristor_p1.off","rectifier.thyristor_p2.off","rootMeanSquareVoltage.mean.y","pulse2.twoPulse.timerPositive[1].entryTime","rectifier.thyristor_n2.off","inductor.i","meanCurrent.x","rectifier.thyristor_n1.off","rootMeanSquareVoltage.mean.x","meanVoltage.x","pulse2.twoPulse.timerNegative[1].entryTime","meanCurrent.y","meanVoltage.y"
4.9611964,1,0,12099.977,4.96,1,6.2778277,0.0075430833,0,1.3256682,-0.034571871,4.9499998,6.1476078,1.4012206
4.9613967,1,0,12099.977,4.96,1,6.2644196,0.0087973867,0,2.0863006,-0.04689518,4.9499998,6.1476078,1.4012206
4.9615965,1,0,12099.977,4.96,1,6.249299,0.010048836,0,3.0805342,-0.060987782,4.9499998,6.1476078,1.4012206
4.9617963,1,0,12099.977,4.96,1,6.2325282,0.011297095,0,4.3308573,-0.076794051,4.9499998,6.1476078,1.4012206
4.9619966,1,0,12099.977,4.96,1,6.2141767,0.012541841,0,5.85572,-0.09425161,4.9499998,6.1476078,1.4012206
4.9621964,1,0,12099.977,4.96,1,6.1943192,0.013782764,0,7.669241,-0.11329155,4.9499998,6.1476078,1.4012206
4.9623966,1,0,12099.977,4.96,1,6.1730371,0.015019571,0,9.7809877,-0.13383873,4.9499998,6.1476078,1.4012206
4.9625964,1,0,12099.977,4.96,1,6.1504164,0.016251987,0,12.195824,-0.15581204,4.9499998,6.1476078,1.4012206
4.9627967,1,0,12099.977,4.96,1,6.1265492,0.017479753,0,14.913832,-0.17912477,4.9499998,6.1476078,1.4012206
4.9629965,1,0,12099.977,4.96,1,6.1015325,0.018702628,0,17.930313,-0.2036849,4.9499998,6.1476078,1.4012206
4.9631968,1,0,12099.977,4.96,1,6.0754676,0.019920392,0,21.235861,-0.22939549,4.9499998,6.1476078,1.4012206
4.9633965,1,0,12099.977,4.96,1,6.04846,0.021132847,0,24.816511,-0.25615507,4.9499998,6.1476078,1.4012206
4.9635963,1,0,12099.977,4.96,1,6.0206184,0.022339817,0,28.653961,-0.28385806,4.9499998,6.1476078,1.4012206
4.9637966,1,0,12099.977,4.96,1,5.9920559,0.023541143,0,32.725853,-0.31239504,4.9499998,6.1476078,1.4012206
4.9639964,1,0,12099.977,4.96,1,5.9628873,0.024736693,0,37.006138,-0.34165344,4.9499998,6.1476078,1.4012206
4.9641967,1,0,12099.977,4.96,1,5.9332309,0.025926359,0,41.465477,-0.37151778,4.9499998,6.1476078,1.4012206
4.9643965,1,0,12099.977,4.96,1,5.9032054,0.027110055,0,46.071709,-0.40187016,4.9499998,6.1476078,1.4012206
4.9645967,1,0,12099.977,4.96,1,5.8729324,0.028287718,0,50.790356,-0.43259081,4.9499998,6.1476078,1.4012206
4.9647965,1,0,12099.977,4.96,1,5.8425341,0.029459313,0,55.585171,-0.46355847,4.9499998,6.1476078,1.4012206
4.9649649,1,0,12099.977,4.96,1,5.8169413,0.030440686,0,59.652344,-0.48972452,4.9499998,6.1476078,1.4012206
4.9649649,0,1,12099.977,4.96,0,5.8169413,0.030440686,1,59.652344,-0.48972452,4.9499998,6.1476078,1.4012206
4.9649968,0,1,12099.977,4.96,0,5.8219819,0.03062498,1,60.418678,-0.48479819,4.9499998,6.1476078,1.4012206
4.9651966,0,1,12099.977,4.96,0,5.8537154,0.031792942,1,65.251976,-0.45370641,4.9499998,6.1476078,1.4012206
4.9653969,0,1,12099.977,4.96,0,5.8852105,0.032966893,1,70.048531,-0.42273313,4.9499998,6.1476078,1.4012206
4.9655967,0,1,12099.977,4.96,0,5.916338,0.034147102,1,74.77034,-0.3920022,4.9499998,6.1476078,1.4012206
4.9657965,0,1,12099.977,4.96,0,5.9469781,0.035333488,1,79.380966,-0.36163545,4.9499998,6.1476078,1.4012206
4.9659967,0,1,12099.977,4.96,0,5.9770126,0.036525946,1,83.845833,-0.33175278,4.9499998,6.1476078,1.4012206
