"Time","aimc3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc3.is[2]","aimcM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertiaM.phi","aimcM.is[3]","aimc3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimcM.is[2]","aimcM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimcM.is[1]","aimc3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertia3.w","loadInertiaM.w","aimc3.is[1]","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertia3.phi","aimcM.is[4]"
0.10376918,0.047060125,0.38016874,-647.47693,0.047060125,-0.26462293,1.9626255e-05,-372.09958,0.38016874,-228.52242,-0.020229651,230.86494,-0.020229651,0.029957067,0.029957067,384.7749,-0.26462293,1.9626255e-05,-1.4477675
0.10386924,0.049077123,0.38371655,-657.93188,0.049077123,-0.27663106,2.2816999e-05,-381.0238,0.38371655,-226.88486,-0.021740641,240.80125,-0.021740641,0.033878151,0.033878151,401.33542,-0.27663106,2.2816999e-05,-8.6008043
0.10396931,0.051101692,0.38684076,-667.83514,0.051101692,-0.28874406,2.6418915e-05,-389.74258,0.38684076,-224.84863,-0.02331515,250.77849,-0.02331515,0.038181119,0.038181119,417.96414,-0.28874406,2.6418915e-05,-16.025526
0.10406938,0.053131212,0.38953876,-677.17584,0.053131212,-0.30094859,3.0471569e-05,-398.24554,0.38953876,-222.41762,-0.024953367,260.78387,-0.024953367,0.042890251,0.042890251,434.6398,-0.30094859,3.0471569e-05,-23.711658
0.10416944,0.055163071,0.39180833,-685.94391,0.055163071,-0.3132312,3.5016859e-05,-406.52252,0.39180833,-219.59604,-0.026655404,270.80469,-0.026655404,0.048030414,0.048030414,451.34116,-0.3132312,3.5016859e-05,-31.648693
0.10426951,0.057194661,0.39364767,-694.12964,0.057194661,-0.32557842,4.0099141e-05,-414.5636,0.39364767,-216.38849,-0.028421294,280.82816,-0.028421294,0.053627055,0.053627055,468.04694,-0.32557842,4.0099141e-05,-39.825909
0.10436958,0.059223376,0.39505541,-701.72406,0.059223376,-0.33797669,4.5765439e-05,-422.35916,0.39505541,-212.79994,-0.03025098,290.84155,-0.03025098,0.059706219,0.059706219,484.73593,-0.33797669,4.5765439e-05,-48.232365
0.10446965,0.061246622,0.39603063,-708.71875,0.061246622,-0.35041246,5.2065319e-05,-429.89978,0.39603063,-208.83574,-0.032144327,300.83218,-0.032144327,0.066294387,0.066294387,501.38699,-0.35041246,5.2065319e-05,-56.856941
0.10456971,0.063261822,0.3965728,-715.10577,0.063261822,-0.36287203,5.9051057e-05,-437.17633,0.3965728,-204.50153,-0.034101125,310.78745,-0.034101125,0.073418602,0.073418602,517.97906,-0.36287203,5.9051057e-05,-65.688309
0.10466978,0.065266408,0.39668179,-720.87799,0.065266408,-0.37534189,6.677764e-05,-444.17999,0.39668179,-199.80336,-0.03612107,320.69473,-0.03612107,0.081106313,0.081106313,534.49121,-0.37534189,6.677764e-05,-74.714981
0.10476985,0.067257829,0.39635792,-726.02869,0.067257829,-0.38780835,7.5302836e-05,-450.90219,0.39635792,-194.74757,-0.038203787,330.54156,-0.038203787,0.089385353,0.089385353,550.90259,-0.38780835,7.5302836e-05,-83.925293
0.10486991,0.069233559,0.39560196,-730.552,0.069233559,-0.40025783,8.4687257e-05,-457.33466,0.39560196,-189.34091,-0.040348817,340.31552,-0.040348817,0.098283961,0.098283961,567.19257,-0.40025783,8.4687257e-05,-93.307442
0.10496998,0.071191087,0.39441505,-734.44257,0.071191087,-0.41267678,9.4994255e-05,-463.46942,0.39441505,-183.59038,-0.042555623,350.00433,-0.042555623,0.10783064,0.10783064,583.34052,-0.41267678,9.4994255e-05,-102.84947
0.10507005,0.07312794,0.39279878,-737.69562,0.07312794,-0.42505166,0.00010629018,-469.29886,0.39279878,-177.50333,-0.044823587,359.59576,-0.044823587,0.11805423,0.11805423,599.32623,-0.42505166,0.00010629018,-112.53931
0.10517012,0.075041659,0.39075518,-740.30707,0.075041659,-0.43736902,0.00011864425,-474.81561,0.39075518,-171.08746,-0.047152013,369.07776,-0.047152013,0.12898375,0.12898375,615.12958,-0.43736902,0.00011864425,-122.36473
0.10527018,0.076929815,0.38828662,-742.2735,0.076929815,-0.44961545,0.00013212848,-480.01273,0.38828662,-164.35074,-0.049540136,378.43839,-0.049540136,0.14064842,0.14064842,630.73065,-0.44961545,0.00013212848,-132.31345
0.10537025,0.078790024,0.38539603,-743.59216,0.078790024,-0.46177766,0.00014681801,-484.88348,0.38539603,-157.30145,-0.051987097,387.66586,-0.051987097,0.15307763,0.15307763,646.10974,-0.46177766,0.00014681801,-142.37303
0.10547031,0.080619924,0.38208658,-744.26099,0.080619924,-0.47384241,0.00016279076,-489.4216,0.38208658,-149.94817,-0.054491986,396.74854,-0.054491986,0.1663008,0.1663008,661.24756,-0.47384241,0.00016279076,-152.53101
0.10557038,0.082417183,0.37836197,-744.27832,0.082417183,-0.4857966,0.00018012767,-493.62103,0.37836197,-142.29976,-0.057053797,405.67496,-0.057053797,0.18034744,0.18034744,676.12494,-0.4857966,0.00018012767,-162.77483
0.10567044,0.084179536,0.37422627,-743.64349,0.084179536,-0.49762726,0.00019891265,-497.4762,0.37422627,-134.36537,-0.059671465,414.43384,-0.059671465,0.19524704,0.19524704,690.72308,-0.49762726,0.00019891265,-173.09184
0.10577051,0.085904725,0.36968395,-742.35626,0.085904725,-0.50932151,0.00021923243,-500.98181,0.36968395,-126.1544,-0.062343851,423.0141,-0.062343851,0.21102902,0.21102902,705.0235,-0.50932151,0.00021923243,-183.46939
0.10587058,0.08759056,0.36473987,-740.41711,0.08759056,-0.52086663,0.00024117688,-504.13293,0.36473987,-117.67651,-0.065069735,431.40485,-0.065069735,0.22772272,0.22772272,719.00806,-0.52086663,0.00024117688,-193.89478
0.10597064,0.089234889,0.35939929,-737.82727,0.089234889,-0.53225011,0.00026483863,-506.92502,0.35939929,-108.94162,-0.067847855,439.59537,-0.067847855,0.24535728,0.24535728,732.659,-0.53225011,0.00026483863,-204.35526
0.10607071,0.090835594,0.35366786,-734.58838,0.090835594,-0.54345959,0.00029031327,-509.35388,0.35366786,-99.959892,-0.070676848,447.57526,-0.070676848,0.26396164,0.26396164,745.95874,-0.54345959,0.00029031327,-214.83812
0.10617078,0.092390634,0.34755161,-730.703,0.092390634,-0.55448282,0.00031769933,-511.41571,0.34755161,-90.741707,-0.073555306,455.33426,-0.073555306,0.28356451,0.28356451,758.89044,-0.55448282,0.00031769933,-225.3306
0.10627085,0.093898006,0.34105694,-726.17426,0.093898006,-0.56530786,0.0003470981,-513.10712,0.34105694,-81.297668,-0.07648176,462.8624,-0.07648176,0.30419424,0.30419424,771.43732,-0.56530786,0.0003470981,-235.81998
0.10637091,0.095355742,0.33419064,-721.0058,0.095355742,-0.57592285,0.00037861377,-514.42505,0.33419064,-71.638603,-0.079454668,470.14993,-0.079454668,0.32587883,0.32587883,783.58325,-0.57592285,0.00037861377,-246.29355
0.10647098,0.096761964,0.32695985,-715.20203,0.096761964,-0.58631629,0.00041235329,-515.36682,0.32695985,-61.77552,-0.082472421,477.18744,-0.082472421,0.34864587,0.34864587,795.31238,-0.58631629,0.00041235329,-256.73868
0.10657105,0.098114833,0.31937206,-708.76807,0.098114833,-0.59647685,0.00044842629,-515.93011,0.31937206,-51.719627,-0.085533373,483.96564,-0.085533373,0.37252241,0.37252241,806.60944,-0.59647685,0.00044842629,-267.14273
0.10667112,0.09941256,0.3114351,-701.70947,0.09941256,-0.6063934,0.00048694521,-516.11316,0.3114351,-41.482307,-0.08863581,490.47571,-0.08863581,0.39753512,0.39753512,817.45947,-0.6063934,0.00048694521,-277.49316
0.10677118,0.10065344,0.30315715,-694.03253,0.10065344,-0.61605501,0.0005280248,-515.91443,0.30315715,-31.075106,-0.091777951,496.70892,-0.091777951,0.42370996,0.42370996,827.84821,-0.61605501,0.0005280248,-287.77753
0.10687125,0.10183581,0.29454675,-685.7442,0.10183581,-0.62545127,0.0005717827,-515.3327,0.29454675,-20.509731,-0.094957985,502.65701,-0.094957985,0.45107228,0.45107228,837.76166,-0.62545127,0.0005717827,-297.9834
0.10697132,0.10295808,0.28561273,-676.85199,0.10295808,-0.63457173,0.00061833882,-514.36743,0.28561273,-9.7980299,-0.098174036,508.31192,-0.098174036,0.4796468,0.4796468,847.18652,-0.63457173,0.00061833882,-308.09851
0.10707138,0.10401873,0.27636424,-667.36401,0.10401873,-0.64340639,0.00066781574,-513.01819,0.27636424,1.0480131,-0.10142419,513.66589,-0.10142419,0.50945753,0.50945753,856.10986,-0.64340639,0.00066781574,-318.11069
0.10717145,0.1050163,0.26681072,-657.28906,0.1050163,-0.65194559,0.00072033826,-511.28513,0.26681072,12.016291,-0.10470645,518.71161,-0.10470645,0.54052758,0.54052758,864.51935,-0.65194559,0.00072033826,-328.00787
0.10727151,0.10594939,0.25696197,-646.63635,0.10594939,-0.66017979,0.00077603332,-509.16867,0.25696197,23.094593,-0.10801884,523.44189,-0.10801884,0.57287937,0.57287937,872.40314,-0.66017979,0.00077603332,-337.77814
0.10737158,0.10681669,0.24682802,-635.41589,0.10681669,-0.66809994,0.00083503046,-506.66971,0.24682802,34.270599,-0.11135928,527.8501,-0.11135928,0.60653442,0.60653442,879.75012,-0.66809994,0.00083503046,-347.4097
0.10747164,0.10761697,0.23641923,-623.63812,0.10761697,-0.67569721,0.00089746126,-503.78952,0.23641923,45.531902,-0.11472567,531.92975,-0.11472567,0.64151323,0.64151323,886.54962,-0.67569721,0.00089746126,-356.89093
0.10757171,0.10834903,0.2257462,-611.31421,0.10834903,-0.68296313,0.00096345961,-500.52979,0.2257462,56.86602,-0.11811588,535.67493,-0.11811588,0.67783535,0.67783535,892.79156,-0.68296313,0.00096345961,-366.21045
