"time","constantSpeed3.phi","constantSpeedM.phi","smee3.is[1]","smee3.is[2]","smee3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee3.stator.stray.port_p.Phi.im","smee3.stator.stray.port_p.Phi.re","smeeM.is[1]","smeeM.is[2]","smeeM.is[3]","smeeM.is[4]","smeeM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smeeM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smeeM.stator.stray.port_p.Phi.im","smeeM.stator.stray.port_p.Phi.re"
14.1995,2227.3944797377076,2227.3944797377076,-255.61656548137583,132.3168298841403,0.44511279498262668,-0.045999945324051821,0.0016571282110377848,-0.081365279865068224,-153.36993928905883,-44.423185084395811,125.91490101818425,122.24287360366795,0.44511279498268935,-0.045999945324053652,0.0016571282110488116,-0.081365279865108303
14.200000000000001,2227.47296719417,2227.47296719417,-253.28716059685402,96.481617430858051,0.44683034580629299,0.02419768361342756,-0.011086107781019932,-0.080623807261400129,-151.97229635832414,-66.836079894717386,110.66532730842727,135.23101354739867,0.44683034580635256,0.02419768361341635,-0.011086107781002946,-0.080623807261437849
14.2005,2227.551454650632,2227.551454650632,-244.72638949103052,58.272527276451804,0.43754535322943228,0.093800001688641194,-0.023556691268376086,-0.07789882918505997,-146.83583369480405,-87.604831914699645,92.69306999267566,144.89229969167511,0.43754535322948657,0.093800001688620779,-0.023556691268353327,-0.077898829185094623
14.201000000000001,2227.6299421070944,2227.6299421070944,-230.14482105874632,18.629560358292032,0.41748636504934394,0.16109314726697252,-0.035447820037434366,-0.073257371796998441,-138.08689263540228,-106.2184786513412,72.440262595484626,150.98902308923707,0.41748636504939196,0.16109314726694349,-0.035447820037406721,-0.073257371797028945
14.201500000000001,2227.7084295635568,2227.7084295635568,-209.90114886272698,-21.471999834242787,0.38714722494154274,0.22442010603500753,-0.046466945484157453,-0.066813610804341561,-125.94068931775573,-122.21907387129812,50.405147591716322,153.37116829084397,0.38714722494158349,0.22442010603497048,-0.046466945484125409,-0.066813610804367179
14.202,2227.7869170200188,2227.7869170200188,-184.4933675891516,-61.045580879002053,0.34727491423841683,0.2822215130226326,-0.056342969972792437,-0.05872606283896712,-110.69602055357301,-135.21295432572015,27.129819060989231,151.98010461395015,0.34727491423844919,0.28222151302258869,-0.05634296997275659,-0.058726062838987216
14.202500000000001,2227.8654044764812,2227.8654044764812,-154.54652236550507,-99.117592933595176,0.29885116046558957,0.33307405045280619,-0.06483291650831495,-0.049193685944264605,-92.727913419344532,-144.88042506597961,3.1868864240779882,146.85002919424508,0.29885116046561289,0.33307405045275618,-0.064832916508276647,-0.049193685944278559
14.203000000000001,2227.9438919329436,2227.9438919329436,-120.79733230719768,-134.75138101777043,0.24306826545521648,0.37572549590772142,-0.071727906632334415,-0.03845098509800967,-72.478399384319061,-150.98362506221844,-20.834612648720242,138.10712630276907,0.24306826545523,0.3757254959076668,-0.071727906632293809,-0.03845098509801724
14.2035,2228.0223793894056,2228.0223793894056,-84.076066563031446,-167.07026878883505,0.18129974818875261,0.40912555777947729,-0.076858299469315272,-0.026762243178459388,-50.445639937778807,-153.37237960194159,-44.343703591551581,125.96646359521154,0.18129974818875599,0.40912555777941911,-0.07685829946927393,-0.026762243178460571
14.204000000000001,2228.100866845868,2228.100866845868,-45.286118725298991,-195.27912688331443,0.11506652520930337,0.43245173869289444,-0.080097865487259556,-0.014415019297155588,-27.171671235099254,-151.98789547521861,-66.762014046995432,110.72670163668023,0.11506652520929658,0.43245173869283438,-0.080097865487218395,-0.014415019297150122
14.204499999999999,2228.1793543023305,2228.1793543023305,-5.3817820975093866,-218.68393519215022,0.04599946133199731,0.44512959001349173,-0.08136689228372615,-0.0017130744469242094,-3.2290692583869998,-146.86420802312492,-87.538003030550001,92.762746842862768,0.045999461331980532,0.44512959001343116,-0.081366892283686057,-0.0017130744469122789
14.205,2228.2578417587929,2228.2578417587929,34.655227422572437,-236.70885778565133,-0.024200787245369101,0.44684685866302137,-0.080634145981185512,0.011031101496552372,20.793136453696661,-138.12734443294809,-106.16053008880566,72.516528574276649,-0.024200787245395452,0.44684685866296181,-0.080634145981147903,0.011031101496570429
14.205500000000001,2228.3363292152553,2228.3363292152553,73.839923263434002,-248.91041039180129,-0.093805648638699293,0.43756117785009502,-0.077917639969911509,0.023503977569803484,44.303953958244477,-125.99222385069726,-122.17143061592286,50.486127275785606,-0.093805648638734557,0.43756117785003756,-0.077917639969876995,0.023503977569826962
14.206,2228.4148166717173,2228.4148166717173,111.20828073448419,-254.98837186669579,-0.1611011986709017,0.41750111229640319,-0.073284192078077778,0.035398695183288684,66.724968440901648,-110.75737055752444,-135.17678794976374,27.213521114472062,-0.16110119867094497,0.41750111229634979,-0.073284192078047136,0.035398695183317362
14.2065,2228.4933041281797,2228.4933041281797,145.84095403914509,-254.79317118628492,-0.22443036390233476,0.38716053217067925,-0.066847781054879291,0.0464226174811357,87.50457242371985,-92.797570262103264,-144.8566249188417,3.2712525666171204,-0.22443036390238508,0.38716053217063118,-0.066847781054853325,0.046422617481168854
14.207000000000001,2228.5717915846421,2228.5717915846421,176.88589426285031,-248.32956820391126,-0.28223372510462752,0.34728645421622428,-0.058766742792410918,0.056304528870325894,106.13153655795813,-72.554650163958556,-150.9727764008758,-20.751657027751985,-0.28223372510468364,0.34728645421618271,-0.058766742792390483,0.056304528870362434
14.2075,2228.6502790411041,2228.6502790411041,203.57931187954873,-235.75653759351309,-0.33308791644494612,0.29886064941700208,-0.049239875256838476,0.064801307593753577,122.14758712798724,-50.526609603851718,-153.37474919920052,-44.264198417260879,-0.33308791644500668,0.29886064941696772,-0.049239875256823523,0.06480130759379292
14.208,2228.7287664975665,2228.7287664975665,225.26446804812204,-217.38335880869812,-0.37574067483554646,0.24307547004074007,-0.038501547947802847,0.071703907185649868,135.15868082913425,-27.25536869712537,-152.00342505961115,-66.687914396115318,-0.37574067483560969,0.24307547004071406,-0.038501547947794444,0.07170390718569071
14.208500000000001,2228.807253954029,2228.807253954029,241.40783238218847,-193.66200822618345,-0.40914167638269694,0.18130449124276959,-0.02681593619585811,0.07684249964945003,144.8446994295719,-3.3134363474760002,-146.89251571163018,-87.471131055277226,-0.40914167638276155,0.18130449124275241,-0.026815936195856004,0.076842499649491844
14.209,2228.8857414104909,2228.8857414104909,251.61220966180824,-165.17604061718708,-0.43246840060398284,0.11506869009744256,-0.014470522139918845,0.080090653819902255,150.96732579733333,20.710174372404985,-138.16773412203196,-106.10253020835044,-0.43246840060404695,0.11506869009743464,-0.014470522139923099,0.080090653819943458
14.2095,2228.9642288669534,2228.9642288669534,255.62651252400428,-132.62623345967899,-0.44514638550512003,0.045998994817509326,-0.001769022268056963,0.081368446107075151,153.3759075146358,44.224436969962802,-126.04370233368108,-122.12372908000778,-0.44514638550518232,0.045998994817510894,-0.0017690222680677625,0.0813684461071153
14.210000000000001,2229.0427163234158,2229.0427163234158,253.35193968357601,-96.813347247890675,-0.44686337472301463,-0.02420387369086369,0.010976084486060843,0.080644427085121692,152.01116381035726,66.650851914194419,-110.81867194809185,-135.14055776618039,-0.44686337472307369,-0.02420387369085265,0.010976084486043914,0.080644427085159523
14.2105,2229.1212037798778,2229.1212037798778,244.84440766211603,-58.618425909705451,-0.43757700833792013,-0.09381127911807112,0.023451244270077751,0.077936395535665823,146.90664459745483,87.437678927090843,-92.867187122988611,-144.83275700862566,-0.43757700833797408,-0.093811279118050955,0.023451244270055106,0.077936395535700267
14.211,2229.1996912363402,2229.1996912363402,230.31317617571682,-18.981121963404107,-0.4175158679300896,-0.16110923472863672,0.035349542336714251,0.073310960895119778,138.18790570558431,106.0735110415083,-72.630870575811443,-150.96185768977338,-0.41751586793013745,-0.16110923472860786,0.035349542336686433,0.073310960895150268
14.211500000000001,2229.2781786928026,2229.2781786928026,210.11570097351762,21.123420357353663,-0.38717385009975164,-0.22444060792780873,0.046378253784934993,0.066881904862307814,126.06942058422891,122.0998564733364,-50.607559262180111,-153.37704818494922,-0.38717385009979238,-0.22444060792777215,0.046378253784902984,0.066881904862332933
14.212,2229.356666149265,2229.356666149265,184.74884073214531,60.708555297764129,-0.34729800694430085,-0.28224592519225594,0.056266045253749467,0.058807382466036472,110.84930443936831,135.12241876150361,-27.339057002662177,-152.01888520942313,-0.34729800694433322,-0.28224592519221203,0.056266045253713828,0.058807382466056421
14.2125,2229.4351536057275,2229.4351536057275,154.83663430722146,98.800408900177416,-0.29887015285448987,-0.33310177258920715,0.064769650391913583,0.049286031443412918,92.90198058437457,144.82079765562375,-3.3978053553697714,-146.92075685229781,-0.2988701528545129,-0.3331017725891573,0.064769650391875336,0.049286031443427088
14.213000000000001,2229.5136410621894,2229.5136410621894,121.11494902621118,134.46183826977892,-0.24308269049161879,-0.37575584630708397,0.071679854868336446,0.038552085639688913,72.668969415727403,150.95637207691522,20.627199346099605,-138.2080617882043,-0.24308269049163225,-0.37575584630702952,0.071679854868296131,0.038552085639696664
14.2135,2229.5921285186519,2229.5921285186519,84.413377681358895,166.81548734785119,-0.18130925115095625,-0.40915779010778752,0.076826643677787854,0.026869612642142715,50.648026608775609,153.37817120743935,44.14489632960175,-126.09512484580435,-0.18130925115095969,-0.40915779010772974,0.076826643677746692,0.026869612642144027
14.214,2229.6706159751143,2229.6706159751143,45.634829566710465,195.06537197293173,-0.11507087241212273,-0.43248506033868211,0.080083384102510355,0.014526017405396323,27.380897739946789,152.02658925260397,66.576701611725909,-110.87992479760078,-0.115070872412116,-0.43248506033862244,0.080083384102469429,0.014526017405391093
14.214500000000001,2229.7491034315767,2229.7491034315767,5.7333176596720534,218.51646317051092,-0.045998545872869397,-0.44516318157852397,0.081369941411652727,0.0018249716917057607,3.4399905956853729,146.93485247032316,87.370742362736678,-92.936764067750062,-0.045998545872852598,-0.44516318157846368,0.081369941411613106,0.001824971691694081
14.215,2229.8275908880387,2229.8275908880387,-34.309511603020184,236.59178688822519,0.024206942856630394,-0.44687989411164958,0.080654650642450712,-0.010921056733378773,-20.585706961965684,138.22820236290048,106.01543422582066,-72.707060679181978,0.024206942856656768,-0.44687989411159046,0.080654650642413062,-0.010921056733396887
14.2155,2229.9060783445011,2229.9060783445011,-73.508528539907843,248.84661946237742,0.093816893034940743,-0.43759284482202288,0.077955095943763472,-0.023398491353075965,-44.105117124128583,126.12081510960876,122.05206755046963,-50.688488966147091,0.093816893034976048,-0.43759284482196598,0.077955095943728792,-0.023398491353099397
14.216000000000001,2229.9845658009635,2229.9845658009635,-110.89935629702885,254.97942956463976,0.16111725534908947,-0.41753063208281999,0.073337678301358081,-0.035300361480762862,-66.539613778428702,110.9105330131877,135.08609289069094,-27.422736199254196,0.16111725534913277,-0.41753063208276714,0.073337678301327369,-0.035300361480791596
14.2165,2230.0630532574255,2230.0630532574255,-145.5620965214753,254.83929741222042,0.22445083802222715,-0.38718717886346038,0.06691598227140827,-0.046333854376424725,-87.337257913117128,92.971537562337176,144.79682811271454,-3.4821763254553413,0.2244508380222775,-0.38718717886341275,0.066915982271382499,-0.046333854376457637
14.217000000000001,2230.1415407138879,2230.1415407138879,-176.64396093611063,248.42962869188122,0.28225811319947042,-0.34730957255782297,0.058847981895881855,-0.056227519100627323,-105.98637656191448,72.745144353470835,150.94534828860938,20.544211332612459,0.28225811319952637,-0.34730957255778133,0.058847981895861337,-0.056227519100663821
14.217500000000001,2230.2200281703504,2230.2200281703504,-203.38025202824909,235.90807180312655,0.33311561880115609,-0.29887967091368656,0.049332154531754949,-0.064737944875142617,-122.02815121720799,50.728946321464214,153.38036425707526,44.065331996266693,0.33311561880121671,-0.29887967091365247,0.049332154531740557,-0.064737944875181946
14.218,2230.2985156268123,2230.2985156268123,-225.113176674047,217.58264043122355,0.37577101023956744,-0.24308992694287024,0.038602598194404598,-0.071655749645587449,-135.06790600468969,27.464572366770803,152.04194521357942,66.502517490873458,0.37577101023963078,-0.2430899269428444,0.038602598194396195,-0.071655749645628666
14.218500000000001,2230.3770030832748,2230.3770030832748,-241.30802983294876,193.90413681662227,0.40917389887337263,-0.18131402804590674,0.02692327253114677,-0.076810731511360683,-144.78481790002752,3.5243625307664259,146.96299373247783,87.303762684329413,0.40917389887343741,-0.18131402804588986,0.026923272531144762,-0.076810731511402455
14.218999999999999,2230.4554905397372,2230.4554905397372,-251.56635014516502,165.45506209911252,0.4325017178153267,-0.11507307228508394,0.014581505102423281,-0.080076056282379113,-150.93981008734784,-20.502712471342665,138.26843691827577,105.95730605812592,0.43250171781539115,-0.11507307228507624,0.014581505102427561,-0.080076056282420649
14.2195,2230.5339779961992,2230.5339779961992,-255.63572375814525,132.93528653781175,0.44517997815119642,-0.045998114627874447,0.0018809227230045889,-0.08137137813396618,-153.38143425512109,-44.025540959570762,126.17215356881469,122.00422029882523,0.44517997815125915,-0.045998114627876188,0.0018809227230153929,-0.081371378134006397
14.220000000000001,2230.6124654526616,2230.6124654526616,-253.4159951647178,97.144832133875113,0.44689641674458497,0.02420999461485876,-0.010866018234589504,-0.080664816578033385,-152.04959709904293,-66.465412761707228,110.97171293585717,135.04970314580632,0.44689641674464403,0.024209994614847574,-0.010866018234572375,-0.080664816578071147
14.220499999999999,2230.690952909124,2230.690952909124,-244.96173223516078,58.964191204206124,0.43760868721567708,0.093822490260954905,-0.02334571881390379,-0.077973741107158254,-146.9770393412818,-87.270256687954728,93.041054501075749,144.77279071867929,0.43760868721573137,0.09382249026093456,-0.023345718813880874,-0.077973741107192643
14.221,2230.7694403655864,2230.7694403655864,-230.4808847678039,19.332665102470973,0.41754540466495738,0.16112526040356837,-0.035251152607287048,-0.073364344197979048,-138.28853086083669,-105.92822272558483,72.821288848472605,150.93425433843308,0.41754540466500523,0.16112526040353925,-0.035251152607259154,-0.073364344198009482
