"Time","total_AV_B_a","total_AV_B_b","total_A_VB_a","total_A_VB_b","total_AV_VB_a","total_AV_VB_b","total_A_V_B_a","total_A_V_B_b"
18.1,293605.31,282742.41,293605.19,284628.56,293605.22,283910.56,293605.28,283516.34
18.200001,293605.28,282958.38,293605.16,284802.31,293605.19,284097.56,293605.25,283717.88
18.299999,293605.28,283167.62,293605.16,284970.78,293605.19,284278.88,293605.25,283913
18.4,293605.25,283370.41,293605.12,285134.16,293605.16,284454.78,293605.22,284102.03
18.5,293605.25,283566.94,293605.12,285292.66,293605.16,284625.44,293605.22,284285.19
18.6,293605.22,283757.53,293605.09,285446.53,293605.12,284791.19,293605.19,284462.75
18.700001,293605.22,283942.44,293605.09,285595.97,293605.12,284952.12,293605.19,284634.94
18.799999,293605.19,284121.81,293605.06,285741.19,293605.12,285108.53,293605.16,284801.97
18.9,293605.19,284295.88,293605.06,285882.28,293605.09,285260.5,293605.16,284964
19,293605.16,284464.94,293605.03,286019.56,293605.09,285408.34,293605.12,285121.34
19.1,293605.16,284629.12,293605.03,286153.12,293605.06,285552.16,293605.12,285274.16
19.200001,293605.12,284788.69,293605.03,286283.12,293605.06,285692.16,293605.09,285422.62
19.299999,293605.12,284943.78,293605,286409.75,293605.03,285828.47,293605.09,285566.91
19.4,293605.12,285094.59,293605,286533.16,293605.03,285961.28,293605.06,285707.25
19.5,293605.09,285241.34,293604.97,286653.47,293605.03,286090.75,293605.06,285843.78
19.6,293605.09,285384.16,293604.97,286770.84,293605,286217,293605.06,285976.69
19.700001,293605.06,285523.22,293604.97,286885.38,293605,286340.19,293605.03,286106.12
19.799999,293605.06,285658.69,293604.94,286997.22,293604.97,286460.41,293605.03,286232.22
19.9,293605.06,285790.72,293604.94,287106.47,293604.97,286577.84,293605,286355.12
20,293605.03,285919.47,293604.94,287213.28,293604.97,286692.56,293605,286475
20.1,293605.03,286045.03,293604.91,287317.72,293604.94,286804.72,293605,286591.97
20.200001,293605,286167.59,293604.91,287419.91,293604.94,286914.41,293604.97,286706.16
20.299999,293605,286287.25,293604.91,287519.94,293604.94,287021.72,293604.97,286817.66
20.4,293605,286404.12,293604.88,287617.91,293604.91,287126.78,293604.97,286926.62
20.5,293604.97,286518.34,293604.88,287713.91,293604.91,287229.66,293604.94,287033.16
20.6,293604.97,286630.03,293604.88,287808,293604.91,287330.47,293604.94,287137.34
20.700001,293604.97,286739.28,293604.84,287900.28,293604.88,287429.28,293604.94,287239.31
20.799999,293604.94,286846.19,293604.84,287990.84,293604.88,287526.19,293604.91,287339.12
20.9,293604.94,286950.84,293604.84,288079.72,293604.88,287621.28,293604.91,287436.91
21,293604.94,287053.34,293604.84,288166.97,293604.88,287714.59,293604.91,287532.69
21.1,293604.91,287153.81,293604.81,288252.72,293604.84,287806.19,293604.88,287626.62
21.200001,293604.91,287252.31,293604.81,288336.97,293604.84,287896.19,293604.88,287718.75
21.299999,293604.91,287348.88,293604.81,288419.78,293604.84,287984.62,293604.88,287809.16
21.4,293604.88,287443.66,293604.81,288501.25,293604.81,288071.53,293604.84,287897.88
21.5,293604.88,287536.69,293604.78,288581.38,293604.81,288157,293604.84,287985.03
21.6,293604.88,287628.03,293604.78,288660.25,293604.81,288241.09,293604.84,288070.66
21.700001,293604.88,287717.78,293604.78,288737.88,293604.81,288323.81,293604.84,288154.78
21.799999,293604.84,287805.97,293604.78,288814.34,293604.78,288405.25,293604.81,288237.53
21.9,293604.84,287892.66,293604.75,288889.62,293604.78,288485.44,293604.81,288318.91
22,293604.84,287977.91,293604.75,288963.81,293604.78,288564.41,293604.81,288398.97
22.1,293604.81,288061.78,293604.75,289036.94,293604.78,288642.19,293604.81,288477.75
22.200001,293604.81,288144.31,293604.75,289109,293604.75,288718.84,293604.78,288555.34
22.299999,293604.81,288225.56,293604.72,289180.06,293604.75,288794.38,293604.78,288631.75
22.4,293604.81,288305.59,293604.72,289250.12,293604.75,288868.88,293604.78,288707.03
22.5,293604.78,288384.41,293604.72,289319.25,293604.75,288942.28,293604.78,288781.19
22.6,293604.78,288462.06,293604.72,289387.44,293604.72,289014.72,293604.75,288854.31
22.700001,293604.78,288538.59,293604.69,289454.69,293604.72,289086.16,293604.75,288926.38
22.799999,293604.78,288614.03,293604.69,289521.06,293604.72,289156.62,293604.75,288997.47
22.9,293604.75,288688.41,293604.69,289586.56,293604.72,289226.19,293604.75,289067.56
23,293604.75,288761.75,293604.69,289651.19,293604.72,289294.81,293604.72,289136.75
23.1,293604.75,288834.12,293604.69,289715,293604.69,289362.53,293604.72,289205
23.200001,293604.75,288905.53,293604.66,289778,293604.69,289429.38,293604.72,289272.34
23.299999,293604.75,288975.97,293604.66,289840.16,293604.69,289495.38,293604.72,289338.81
23.4,293604.72,289045.53,293604.66,289901.56,293604.69,289560.53,293604.72,289404.44
23.5,293604.72,289114.16,293604.66,289962.16,293604.69,289624.84,293604.69,289469.25
23.6,293604.72,289181.94,293604.66,290022,293604.66,289688.34,293604.69,289533.22
23.700001,293604.72,289248.84,293604.66,290081.09,293604.66,289751.06,293604.69,289596.41
23.799999,293604.72,289314.94,293604.62,290139.41,293604.66,289813,293604.69,289658.81
23.9,293604.69,289380.19,293604.62,290197.03,293604.66,289874.12,293604.69,289720.47
24,293604.69,289444.66,293604.62,290253.88,293604.66,289934.53,293604.66,289781.38
24.1,293604.69,289508.34,293604.62,290310.03,293604.62,289994.16,293604.66,289841.53
24.200001,293604.69,289571.25,293604.62,290365.5,293604.62,290053.06,293604.66,289900.97
24.299999,293604.69,289633.41,293604.62,290420.22,293604.62,290111.22,293604.66,289959.66
24.4,293604.66,289694.81,293604.59,290474.25,293604.62,290168.62,293604.66,290017.66
24.5,293604.66,289755.47,293604.59,290527.56,293604.62,290225.34,293604.66,290074.97
