"Time","rootMeanSquareVoltage.mean.y","pulse2.twoPulse.timerPositive[1].entryTime","idealthyristor.off","meanCurrent.x","rootMeanSquareVoltage.mean.x","meanVoltage.x","pulse2.twoPulse.timerNegative[1].entryTime","meanCurrent.y","meanVoltage.y"
4.9721971,3091.6016,4.96,1,0.025034899,61.347649,0.50069797,4.9699998,1.259105,25.182098
4.9723969,3091.6016,4.96,1,0.025034696,61.347649,0.50069392,4.9699998,1.259105,25.182098
4.9725971,3091.6016,4.96,1,0.02503448,61.347649,0.50068963,4.9699998,1.259105,25.182098
4.9727969,3091.6016,4.96,1,0.025034253,61.347649,0.50068504,4.9699998,1.259105,25.182098
4.9729972,3091.6016,4.96,1,0.025034012,61.347649,0.50068021,4.9699998,1.259105,25.182098
4.973197,3091.6016,4.96,1,0.025033757,61.347649,0.50067514,4.9699998,1.259105,25.182098
4.9733968,3091.6016,4.96,1,0.025033496,61.347649,0.5006699,4.9699998,1.259105,25.182098
4.973597,3091.6016,4.96,1,0.025033226,61.347649,0.50066453,4.9699998,1.259105,25.182098
4.9737968,3091.6016,4.96,1,0.025032945,61.347649,0.50065893,4.9699998,1.259105,25.182098
4.9739971,3091.6016,4.96,1,0.025032654,61.347649,0.50065309,4.9699998,1.259105,25.182098
4.9741969,3091.6016,4.96,1,0.025032362,61.347649,0.50064725,4.9699998,1.259105,25.182098
4.9743972,3091.6016,4.96,1,0.025032064,61.347649,0.50064129,4.9699998,1.259105,25.182098
4.974597,3091.6016,4.96,1,0.025031762,61.347649,0.50063527,4.9699998,1.259105,25.182098
4.9747972,3091.6016,4.96,1,0.025031457,61.347649,0.50062913,4.9699998,1.259105,25.182098
4.9749751,3091.6016,4.96,1,0.025031185,61.347649,0.5006237,4.9699998,1.259105,25.182098
4.9749751,3091.6016,4.96,1,0.025031185,61.347649,0.5006237,4.9699998,1.259105,25.182098
4.974997,3091.6016,4.96,1,0.025031151,61.347649,0.50062299,4.9699998,1.259105,25.182098
4.9751968,3091.6016,4.96,1,0.02503084,61.347649,0.50061679,4.9699998,1.259105,25.182098
4.9753971,3091.6016,4.96,1,0.025030533,61.347649,0.50061065,4.9699998,1.259105,25.182098
4.9755969,3091.6016,4.96,1,0.025030229,61.347649,0.50060457,4.9699998,1.259105,25.182098
4.9757972,3091.6016,4.96,1,0.025029937,61.347649,0.50059873,4.9699998,1.259105,25.182098
4.975997,3091.6016,4.96,1,0.025029656,61.347649,0.50059313,4.9699998,1.259105,25.182098
4.9761972,3091.6016,4.96,1,0.025029376,61.347649,0.50058752,4.9699998,1.259105,25.182098
4.976397,3091.6016,4.96,1,0.025029095,61.347649,0.50058192,4.9699998,1.259105,25.182098
4.9765973,3091.6016,4.96,1,0.025028847,61.347649,0.50057691,4.9699998,1.259105,25.182098
4.9767971,3091.6016,4.96,1,0.025028603,61.347652,0.50057209,4.9699998,1.259105,25.182098
4.9769969,3091.6016,4.96,1,0.025028361,61.347652,0.5005672,4.9699998,1.259105,25.182098
4.9771972,3091.6016,4.96,1,0.02502813,61.347652,0.50056261,4.9699998,1.259105,25.182098
4.977397,3091.6016,4.96,1,0.025027931,61.347652,0.50055861,4.9699998,1.259105,25.182098
4.9775972,3091.6016,4.96,1,0.025027731,61.347652,0.50055462,4.9699998,1.259105,25.182098
4.977797,3091.6016,4.96,1,0.025027534,61.347652,0.50055069,4.9699998,1.259105,25.182098
4.9779973,3091.6016,4.96,1,0.025027381,61.347652,0.50054765,4.9699998,1.259105,25.182098
4.9781971,3091.6016,4.96,1,0.025027229,61.347652,0.50054461,4.9699998,1.259105,25.182098
