"Time","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.airGap.V_mrr.re","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imc.airGap.V_msr.im","loadInertia.w","imc.airGap.V_mrr.im","loadInertiaQS.w","imc.airGap.V_msr.re","loadInertiaQS.phi","imc.stator.port_p.V_m.im","loadInertia.phi","imc.stator.port_p.V_m.re","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imcQS.rotorCage.port_p.reference.gamma","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
0.46027672,0.43484116,-0.002480885,0.04356464,0.4509927,157.07961,-2.4985104e-05,157.07964,45.01371,71.514702,-4.3566961,72.300087,-44.804649,0.0043566758,1.5707964,0.44802263
0.46037674,0.43484116,-0.002480885,0.057618212,0.45099294,157.07961,-2.4988331e-05,157.07964,45.01371,71.530411,-5.7621279,72.315796,-44.645664,0.0043566781,1.5707964,0.44643286
0.46047676,0.43484116,-0.0024808834,0.071614899,0.45099315,157.07961,-2.4981206e-05,157.07964,45.01371,71.54612,-7.1618719,72.331512,-44.442604,0.00435668,1.5707964,0.44440237
0.46057677,0.43484116,-0.0024808797,0.085540898,0.45099327,157.07961,-2.496231e-05,157.07964,45.01371,71.561829,-8.5545454,72.347221,-44.195667,0.0043566814,1.5707964,0.44193316
0.46067679,0.43484116,-0.0024808743,0.099382438,0.45099348,157.07961,-2.4938745e-05,157.07964,45.01371,71.577538,-9.9387732,72.36293,-43.905102,0.0043566837,1.5707964,0.43902767
0.46077681,0.43484116,-0.0024808676,0.11312588,0.45099366,157.07961,-2.4910325e-05,157.07964,45.01371,71.593254,-11.31319,72.378639,-43.571194,0.0043566856,1.5707964,0.43568876
0.46087682,0.43484116,-0.0024808596,0.12675764,0.45099381,157.07961,-2.4878378e-05,157.07964,45.01371,71.608963,-12.676438,72.394348,-43.194275,0.0043566874,1.5707964,0.43191972
0.46097684,0.43484116,-0.0024808515,0.14026424,0.45099401,157.07961,-2.4846042e-05,157.07964,45.01371,71.624672,-14.027172,72.410065,-42.774708,0.0043566898,1.5707964,0.42772433
0.46107686,0.43484116,-0.0024808436,0.1536324,0.4509941,157.07961,-2.4819698e-05,157.07964,45.01371,71.640381,-15.364058,72.425774,-42.31292,0.0043566911,1.5707964,0.42310667
0.46117687,0.43484116,-0.0024808357,0.16684888,0.45099434,157.07961,-2.4794899e-05,157.07964,45.01371,71.656097,-16.685776,72.441483,-41.809357,0.0043566935,1.5707964,0.4180713
0.46127689,0.43484116,-0.0024808277,0.17990065,0.45099455,157.07961,-2.477481e-05,157.07964,45.01371,71.671806,-17.991022,72.457191,-41.264519,0.0043566958,1.5707964,0.4126232
0.46137691,0.43484116,-0.0024808198,0.19277482,0.45099467,157.07961,-2.4759087e-05,157.07964,45.01371,71.687515,-19.278507,72.472908,-40.678944,0.0043566972,1.5707964,0.40676779
0.46147692,0.43484116,-0.0024808119,0.20545867,0.45099488,157.07961,-2.4747014e-05,157.07964,45.01371,71.703224,-20.546961,72.488617,-40.053211,0.0043566995,1.5707964,0.40051079
0.46157694,0.43484116,-0.0024808038,0.2179397,0.45099509,157.07961,-2.4735156e-05,157.07964,45.01371,71.718933,-21.795132,72.504326,-39.387936,0.0043567014,1.5707964,0.3938584
0.46167696,0.43484116,-0.0024807951,0.23020558,0.45099524,157.07961,-2.4722298e-05,157.07964,45.01371,71.73465,-23.021784,72.520035,-38.683781,0.0043567028,1.5707964,0.38681719
0.46177697,0.43484116,-0.0024807856,0.2422442,0.45099545,157.07961,-2.4709976e-05,157.07964,45.01371,71.750359,-24.22571,72.535744,-37.941433,0.0043567051,1.5707964,0.37939411
0.46187699,0.43484116,-0.0024807749,0.25404367,0.45099562,157.07961,-2.4695344e-05,157.07964,45.01371,71.766068,-25.40572,72.55146,-37.161629,0.004356707,1.5707964,0.37159652
0.46197701,0.43484116,-0.002480763,0.26559234,0.4509958,157.07961,-2.467899e-05,157.07964,45.01371,71.781776,-26.560648,72.567169,-36.345142,0.0043567088,1.5707964,0.36343205
0.46207702,0.43484116,-0.00248075,0.27687883,0.45099601,157.07961,-2.4661966e-05,157.07964,45.013706,71.797493,-27.689356,72.582878,-35.492771,0.0043567112,1.5707964,0.35490882
0.46217704,0.43484116,-0.0024807358,0.28789198,0.45099613,157.07961,-2.4646017e-05,157.07964,45.01371,71.813202,-28.79073,72.598587,-34.605366,0.0043567126,1.5707964,0.34603521
0.46227705,0.43484116,-0.0024807211,0.29862091,0.45099637,157.07961,-2.4629522e-05,157.07964,45.01371,71.828911,-29.86368,72.614296,-33.683792,0.0043567144,1.5707964,0.33682001
0.46237707,0.43484116,-0.0024807071,0.30905503,0.45099658,157.07961,-2.4615007e-05,157.07964,45.013706,71.84462,-30.90715,72.630013,-32.72897,0.0043567168,1.5707964,0.32727227
0.46247709,0.43484116,-0.0024806941,0.31918406,0.4509967,157.07961,-2.4603461e-05,157.07964,45.01371,71.860329,-31.920107,72.645721,-31.741835,0.0043567182,1.5707964,0.31740147
0.4625771,0.43484116,-0.0024806811,0.328998,0.45099694,157.07961,-2.4593341e-05,157.07964,45.013706,71.876045,-32.90155,72.66143,-30.723366,0.0043567205,1.5707964,0.3072173
0.46267712,0.43484116,-0.0024806682,0.33848715,0.45099711,157.07961,-2.4584937e-05,157.07964,45.013706,71.891754,-33.850517,72.677139,-29.674566,0.0043567223,1.5707964,0.29672986
0.46277714,0.43484116,-0.0024806559,0.34764212,0.45099729,157.07961,-2.4578061e-05,157.07964,45.01371,71.907463,-34.766064,72.692856,-28.59647,0.0043567242,1.5707964,0.28594947
0.46287715,0.43484116,-0.0024806438,0.35645393,0.45099753,157.07961,-2.4572468e-05,157.07964,45.013706,71.923172,-35.647289,72.708565,-27.490145,0.0043567265,1.5707964,0.27488682
0.46297717,0.43484116,-0.0024806312,0.36491382,0.45099768,157.07961,-2.4566611e-05,157.07964,45.01371,71.938881,-36.493324,72.724274,-26.35668,0.0043567279,1.5707964,0.26355278
0.46307719,0.43484116,-0.0024806182,0.37301347,0.45099789,157.07961,-2.4561254e-05,157.07964,45.013706,71.954597,-37.303333,72.739983,-25.197197,0.0043567303,1.5707964,0.25195855
0.4631772,0.43484116,-0.0024806042,0.38074487,0.4509981,157.07961,-2.4556055e-05,157.07964,45.013706,71.970306,-38.076515,72.755692,-24.012838,0.0043567321,1.5707964,0.2401156
